date,Susan Robinson,Grace Kim,Jimmy Lin,Jennifer Pluznick,Iraola,isPartial
2017-10-01,2,14,6,0,5,False
2017-11-01,2,11,5,0,4,False
2017-12-01,2,10,5,0,4,False
2018-01-01,2,12,5,0,6,False
2018-02-01,2,19,3,0,5,False
2018-03-01,2,9,5,0,4,False
2018-04-01,2,11,4,0,5,False
2018-05-01,3,8,3,0,5,False
2018-06-01,3,9,4,0,5,False
2018-07-01,2,10,4,0,5,False
2018-08-01,2,10,5,0,5,False
2018-09-01,2,8,3,0,5,False
2018-10-01,2,7,3,0,6,False
2018-11-01,2,8,4,0,5,False
2018-12-01,2,8,7,0,5,False
2019-01-01,2,10,6,0,5,False
2019-02-01,2,9,4,0,6,False
2019-03-01,2,7,3,0,5,False
2019-04-01,2,8,3,0,6,False
2019-05-01,2,8,3,0,5,False
2019-06-01,2,7,5,0,5,False
2019-07-01,2,6,4,0,7,False
2019-08-01,2,6,3,0,6,False
2019-09-01,2,7,4,0,5,False
2019-10-01,2,7,4,0,5,False
2019-11-01,2,7,3,0,5,False
2019-12-01,2,6,4,0,6,False
2020-01-01,2,7,3,0,8,False
2020-02-01,3,8,3,0,16,False
2020-03-01,2,7,6,0,6,False
2020-04-01,2,10,3,0,5,False
2020-05-01,2,7,5,0,4,False
2020-06-01,2,7,4,0,5,False
2020-07-01,2,8,6,0,10,False
2020-08-01,1,7,4,0,8,False
2020-09-01,2,8,3,0,6,False
2020-10-01,2,6,3,0,6,False
