date,Dave Eggers,Karen Armstrong,Neil Turok,Norman Foster,Iraola,isPartial
2017-11-01,4,3,0,13,2,False
2017-12-01,4,4,0,9,2,False
2018-01-01,5,3,0,10,3,False
2018-02-01,5,3,0,9,2,False
2018-03-01,4,3,0,10,2,False
2018-04-01,4,3,0,10,2,False
2018-05-01,3,3,0,9,2,False
2018-06-01,3,2,0,8,2,False
2018-07-01,3,2,0,8,2,False
2018-08-01,3,2,0,10,3,False
2018-09-01,3,3,0,10,3,False
2018-10-01,3,8,0,11,3,False
2018-11-01,3,5,0,12,2,False
2018-12-01,3,5,0,8,2,False
2019-01-01,3,9,0,8,2,False
2019-02-01,3,9,0,8,3,False
2019-03-01,4,5,0,10,2,False
2019-04-01,3,3,0,11,3,False
2019-05-01,3,3,0,9,2,False
2019-06-01,2,3,0,8,2,False
2019-07-01,2,10,0,8,4,False
2019-08-01,3,5,0,7,3,False
2019-09-01,3,4,0,9,3,False
2019-10-01,3,3,0,10,2,False
2019-11-01,3,4,0,8,2,False
2019-12-01,3,4,0,7,3,False
2020-01-01,3,4,0,8,4,False
2020-02-01,3,3,0,8,8,False
2020-03-01,2,3,0,7,3,False
2020-04-01,3,3,0,8,2,False
2020-05-01,5,4,0,8,2,False
2020-06-01,3,3,0,8,2,False
2020-07-01,3,3,0,6,5,False
2020-08-01,2,3,0,6,4,False
2020-09-01,2,3,0,8,3,False
2020-10-01,2,2,0,7,3,False
