date,His Holiness Pope Francis,Serena Williams and Gayle King,Lisa Genova,Deborah Lipstadt,Iraola,isPartial
2004-01-01,0,0,15,0,23,False
2004-02-01,0,0,0,30,60,False
2004-03-01,0,0,0,18,18,False
2004-04-01,0,0,0,15,19,False
2004-05-01,0,0,0,0,17,False
2004-06-01,0,0,0,12,19,False
2004-07-01,0,0,0,0,17,False
2004-08-01,0,0,12,24,20,False
2004-09-01,0,0,0,17,28,False
2004-10-01,0,0,11,11,26,False
2004-11-01,0,0,0,11,34,False
2004-12-01,0,0,0,21,21,False
2005-01-01,0,0,0,23,31,False
2005-02-01,0,0,0,15,24,False
2005-03-01,0,0,0,22,19,False
2005-04-01,0,0,0,12,24,False
2005-05-01,0,0,0,8,27,False
2005-06-01,0,0,8,8,29,False
2005-07-01,0,0,8,20,25,False
2005-08-01,0,0,0,0,21,False
2005-09-01,0,0,7,7,29,False
2005-10-01,0,0,0,7,27,False
2005-11-01,0,0,7,7,27,False
2005-12-01,0,0,0,7,22,False
2006-01-01,0,0,0,10,17,False
2006-02-01,0,0,0,22,22,False
2006-03-01,0,0,0,9,38,False
2006-04-01,0,0,6,6,24,False
2006-05-01,0,0,0,5,24,False
2006-06-01,0,0,0,8,27,False
2006-07-01,0,0,0,5,32,False
2006-08-01,0,0,5,5,20,False
2006-09-01,0,0,5,6,17,False
2006-10-01,0,0,0,0,27,False
2006-11-01,0,0,0,4,25,False
2006-12-01,0,0,4,9,22,False
2007-01-01,0,0,0,7,27,False
2007-02-01,0,0,4,4,24,False
2007-03-01,0,0,0,5,39,False
2007-04-01,0,0,7,4,25,False
2007-05-01,0,0,3,6,25,False
2007-06-01,0,0,3,6,27,False
2007-07-01,0,0,3,5,22,False
2007-08-01,0,0,3,9,17,False
2007-09-01,0,0,0,6,32,False
2007-10-01,0,0,3,7,24,False
2007-11-01,0,0,3,10,21,False
2007-12-01,0,0,0,5,28,False
2008-01-01,0,0,0,2,18,False
2008-02-01,0,0,4,5,29,False
2008-03-01,0,0,0,5,25,False
2008-04-01,0,0,7,5,27,False
2008-05-01,0,0,7,4,27,False
2008-06-01,0,0,2,6,24,False
2008-07-01,0,0,2,3,15,False
2008-08-01,0,0,2,6,32,False
2008-09-01,0,0,3,5,35,False
2008-10-01,0,0,2,7,30,False
2008-11-01,0,0,0,3,31,False
2008-12-01,0,0,2,5,25,False
2009-01-01,0,0,7,4,30,False
2009-02-01,0,0,7,4,35,False
2009-03-01,0,0,10,4,24,False
2009-04-01,0,0,10,2,32,False
2009-05-01,0,0,8,3,39,False
2009-06-01,0,0,10,4,27,False
2009-07-01,0,0,6,4,26,False
2009-08-01,0,0,5,2,32,False
2009-09-01,0,0,7,4,38,False
2009-10-01,0,0,8,1,28,False
2009-11-01,0,0,9,5,36,False
2009-12-01,0,0,5,1,27,False
2010-01-01,0,0,7,4,35,False
2010-02-01,0,0,6,3,18,False
2010-03-01,0,0,8,3,26,False
2010-04-01,0,0,6,6,27,False
2010-05-01,0,0,5,2,24,False
2010-06-01,0,0,5,2,29,False
2010-07-01,0,0,8,1,20,False
2010-08-01,0,0,7,3,27,False
2010-09-01,0,0,7,2,32,False
2010-10-01,0,0,11,1,34,False
2010-11-01,0,0,6,3,42,False
2010-12-01,0,0,6,3,34,False
2011-01-01,0,0,28,2,28,False
2011-02-01,0,0,14,1,38,False
2011-03-01,0,0,14,4,46,False
2011-04-01,0,0,11,5,34,False
2011-05-01,0,0,11,3,31,False
2011-06-01,0,0,9,3,33,False
2011-07-01,0,0,11,4,28,False
2011-08-01,0,0,13,0,42,False
2011-09-01,0,0,9,2,34,False
2011-10-01,0,0,10,4,32,False
2011-11-01,0,0,7,4,28,False
2011-12-01,0,0,7,2,27,False
2012-01-01,0,0,8,3,25,False
2012-02-01,0,0,7,2,30,False
2012-03-01,0,0,7,3,54,False
2012-04-01,0,0,9,3,34,False
2012-05-01,0,0,8,3,41,False
2012-06-01,0,0,8,2,32,False
2012-07-01,0,0,9,2,23,False
2012-08-01,0,0,8,2,24,False
2012-09-01,0,0,13,1,26,False
2012-10-01,0,0,13,2,25,False
2012-11-01,0,0,11,1,27,False
2012-12-01,0,0,11,1,23,False
2013-01-01,0,0,13,2,24,False
2013-02-01,0,0,9,1,25,False
2013-03-01,2,0,9,1,23,False
2013-04-01,1,0,8,4,25,False
2013-05-01,0,0,7,2,21,False
2013-06-01,1,0,6,2,23,False
2013-07-01,1,0,9,1,23,False
2013-08-01,1,0,10,3,24,False
2013-09-01,1,0,6,3,30,False
2013-10-01,1,0,9,2,26,False
2013-11-01,1,0,8,1,24,False
2013-12-01,1,0,7,2,25,False
2014-01-01,1,0,10,2,22,False
2014-02-01,1,0,7,1,25,False
2014-03-01,1,0,5,2,28,False
2014-04-01,1,0,8,1,22,False
2014-05-01,1,0,6,1,25,False
2014-06-01,1,0,7,2,21,False
2014-07-01,1,0,6,1,26,False
2014-08-01,1,0,6,4,34,False
2014-09-01,2,0,8,3,35,False
2014-10-01,1,0,8,2,27,False
2014-11-01,1,0,7,1,26,False
2014-12-01,1,0,14,1,22,False
2015-01-01,3,0,36,2,21,False
2015-02-01,1,0,49,1,26,False
2015-03-01,2,0,38,2,37,False
2015-04-01,1,0,27,3,38,False
2015-05-01,1,0,28,2,100,False
2015-06-01,1,0,20,1,44,False
2015-07-01,0,0,20,3,50,False
2015-08-01,2,0,18,2,34,False
2015-09-01,3,0,17,1,30,False
2015-10-01,0,0,15,1,24,False
2015-11-01,1,0,12,1,23,False
2015-12-01,1,0,11,1,20,False
2016-01-01,1,0,13,1,24,False
2016-02-01,1,0,14,2,23,False
2016-03-01,1,0,14,1,26,False
2016-04-01,0,0,9,2,18,False
2016-05-01,1,0,9,1,32,False
2016-06-01,2,0,8,8,26,False
2016-07-01,1,0,7,4,28,False
2016-08-01,1,0,8,4,18,False
2016-09-01,1,0,9,10,25,False
2016-10-01,0,0,10,26,24,False
2016-11-01,0,0,7,9,33,False
2016-12-01,0,0,7,16,19,False
2017-01-01,1,0,7,35,18,False
2017-02-01,1,0,6,25,21,False
2017-03-01,0,0,7,12,18,False
2017-04-01,1,0,9,23,19,False
2017-05-01,1,0,11,20,24,False
2017-06-01,1,0,9,16,19,False
2017-07-01,0,0,12,11,20,False
2017-08-01,1,0,7,9,18,False
2017-09-01,0,0,8,7,18,False
2017-10-01,1,0,7,7,16,False
2017-11-01,1,0,8,10,14,False
2017-12-01,1,0,9,7,14,False
2018-01-01,1,0,9,9,19,False
2018-02-01,1,0,7,7,17,False
2018-03-01,1,0,14,8,14,False
2018-04-01,1,0,11,11,16,False
2018-05-01,1,0,10,8,17,False
2018-06-01,0,0,9,6,17,False
2018-07-01,0,0,10,9,16,False
2018-08-01,1,0,12,8,17,False
2018-09-01,0,0,8,5,18,False
2018-10-01,0,0,9,5,20,False
2018-11-01,0,0,8,7,17,False
2018-12-01,1,0,10,9,16,False
2019-01-01,1,0,7,14,16,False
2019-02-01,0,0,8,11,19,False
2019-03-01,0,0,11,8,15,False
2019-04-01,1,0,7,5,19,False
2019-05-01,0,0,6,11,16,False
2019-06-01,1,0,7,4,17,False
2019-07-01,1,0,8,5,24,False
2019-08-01,0,0,7,5,20,False
2019-09-01,0,0,7,9,17,False
2019-10-01,0,0,7,3,16,False
2019-11-01,1,0,7,5,16,False
2019-12-01,1,0,6,11,19,False
2020-01-01,1,0,7,11,28,False
2020-02-01,0,0,5,10,54,False
2020-03-01,1,0,4,3,21,False
2020-04-01,1,0,3,6,17,False
2020-05-01,1,0,5,6,14,False
2020-06-01,1,0,5,4,16,False
2020-07-01,1,0,4,3,34,False
2020-08-01,0,0,5,2,27,False
2020-09-01,1,0,3,3,19,False
2020-10-01,0,0,4,2,21,False
