date,Joel Levine,Robert Gupta,Patsy Rodenburg,Kevin Bales,Iraola,isPartial
2017-07-01,1,2,1,1,19,False
2017-08-01,2,3,2,2,19,False
2017-09-01,3,2,1,1,17,False
2017-10-01,2,3,1,2,16,False
2017-11-01,2,2,2,2,15,False
2017-12-01,2,2,1,1,13,False
2018-01-01,1,4,1,1,18,False
2018-02-01,1,4,1,2,15,False
2018-03-01,1,2,1,2,12,False
2018-04-01,1,3,3,1,16,False
2018-05-01,1,1,1,2,18,False
2018-06-01,1,2,1,1,19,False
2018-07-01,1,3,1,1,15,False
2018-08-01,1,2,1,1,17,False
2018-09-01,1,2,1,1,19,False
2018-10-01,3,3,1,2,21,False
2018-11-01,2,2,2,2,17,False
2018-12-01,2,1,2,1,15,False
2019-01-01,2,3,2,1,14,False
2019-02-01,2,2,1,2,18,False
2019-03-01,2,2,2,2,16,False
2019-04-01,2,2,2,2,20,False
2019-05-01,2,4,1,1,15,False
2019-06-01,1,3,2,1,18,False
2019-07-01,1,2,2,1,24,False
2019-08-01,2,2,1,1,19,False
2019-09-01,1,2,2,2,17,False
2019-10-01,1,2,1,1,17,False
2019-11-01,2,2,2,2,18,False
2019-12-01,2,2,1,1,18,False
2020-01-01,1,2,1,1,28,False
2020-02-01,2,1,2,2,52,False
2020-03-01,1,1,1,1,22,False
2020-04-01,1,3,1,1,16,False
2020-05-01,1,1,1,1,12,False
2020-06-01,1,2,1,1,16,False
2020-07-01,1,1,1,1,35,False
2020-08-01,2,3,1,1,26,False
2020-09-01,2,2,2,1,19,False
2020-10-01,1,2,1,1,21,False
