date,Philip Evans,Christopher Soghoian,Gabe Barcia-Colombo,Manu Prakash,Iraola,isPartial
2004-01-01,23,0,0,0,23,False
2004-02-01,23,0,0,0,60,False
2004-03-01,18,0,0,0,18,False
2004-04-01,22,0,0,0,19,False
2004-05-01,25,12,0,0,17,False
2004-06-01,25,0,0,0,19,False
2004-07-01,32,13,0,0,17,False
2004-08-01,12,0,0,0,20,False
2004-09-01,0,0,0,0,28,False
2004-10-01,11,0,0,0,26,False
2004-11-01,11,0,0,0,34,False
2004-12-01,11,0,0,0,21,False
2005-01-01,19,0,0,0,31,False
2005-02-01,15,0,0,10,24,False
2005-03-01,12,0,0,0,19,False
2005-04-01,9,0,0,0,24,False
2005-05-01,8,0,0,0,27,False
2005-06-01,8,0,0,0,29,False
2005-07-01,14,0,0,0,25,False
2005-08-01,21,0,0,0,21,False
2005-09-01,14,0,0,7,29,False
2005-10-01,20,0,0,7,27,False
2005-11-01,20,0,0,0,27,False
2005-12-01,10,0,0,0,22,False
2006-01-01,10,0,0,0,17,False
2006-02-01,16,0,0,0,22,False
2006-03-01,22,0,0,5,38,False
2006-04-01,11,0,0,0,24,False
2006-05-01,10,0,0,0,24,False
2006-06-01,14,0,0,5,27,False
2006-07-01,5,0,0,0,32,False
2006-08-01,15,0,0,0,20,False
2006-09-01,23,0,0,0,17,False
2006-10-01,9,34,0,0,27,False
2006-11-01,15,18,0,0,25,False
2006-12-01,6,4,0,0,22,False
2007-01-01,7,0,0,4,27,False
2007-02-01,8,0,0,8,24,False
2007-03-01,11,0,0,0,39,False
2007-04-01,10,0,0,0,25,False
2007-05-01,20,3,0,0,25,False
2007-06-01,10,3,0,6,27,False
2007-07-01,13,0,0,0,22,False
2007-08-01,10,3,0,0,17,False
2007-09-01,7,0,0,0,32,False
2007-10-01,7,0,0,3,24,False
2007-11-01,8,0,0,0,21,False
2007-12-01,12,3,0,0,28,False
2008-01-01,7,2,0,0,18,False
2008-02-01,8,0,0,2,29,False
2008-03-01,12,0,0,0,25,False
2008-04-01,5,0,0,2,27,False
2008-05-01,10,2,0,2,27,False
2008-06-01,8,2,0,0,24,False
2008-07-01,8,0,0,2,15,False
2008-08-01,8,2,0,0,32,False
2008-09-01,7,0,0,2,35,False
2008-10-01,11,0,0,0,30,False
2008-11-01,3,2,0,2,31,False
2008-12-01,9,0,0,0,25,False
2009-01-01,10,0,0,2,30,False
2009-02-01,8,2,0,2,35,False
2009-03-01,10,0,0,0,24,False
2009-04-01,9,2,0,2,32,False
2009-05-01,12,0,0,0,39,False
2009-06-01,11,2,0,2,27,False
2009-07-01,14,0,0,0,26,False
2009-08-01,8,3,0,2,32,False
2009-09-01,10,2,0,2,38,False
2009-10-01,6,1,0,3,28,False
2009-11-01,11,1,0,1,36,False
2009-12-01,10,0,0,0,27,False
2010-01-01,9,1,0,1,35,False
2010-02-01,11,0,0,1,18,False
2010-03-01,8,0,0,3,26,False
2010-04-01,10,1,0,1,27,False
2010-05-01,10,1,0,0,24,False
2010-06-01,10,0,0,0,29,False
2010-07-01,9,0,0,3,20,False
2010-08-01,8,0,0,2,27,False
2010-09-01,7,0,0,1,32,False
2010-10-01,8,0,0,2,34,False
2010-11-01,8,1,0,1,42,False
2010-12-01,5,2,0,2,34,False
2011-01-01,8,1,0,1,28,False
2011-02-01,8,0,0,1,38,False
2011-03-01,6,1,0,1,46,False
2011-04-01,7,1,0,2,34,False
2011-05-01,6,9,0,2,31,False
2011-06-01,9,2,0,2,33,False
2011-07-01,10,1,0,2,28,False
2011-08-01,10,1,0,1,42,False
2011-09-01,8,1,0,1,34,False
2011-10-01,7,0,0,2,32,False
2011-11-01,6,1,0,1,28,False
2011-12-01,6,2,0,1,27,False
2012-01-01,8,2,0,1,25,False
