date,Adam Spencer,Kelly McGonigal,Chrystia Freeland,Alexa Meade,Iraola,isPartial
2004-01-01,17,0,0,0,15,False
2004-02-01,21,0,0,0,41,False
2004-03-01,25,0,0,0,13,False
2004-04-01,20,10,10,0,13,False
2004-05-01,21,0,0,0,11,False
2004-06-01,23,0,0,0,13,False
2004-07-01,27,0,9,0,12,False
2004-08-01,30,0,0,0,14,False
2004-09-01,20,0,0,0,19,False
2004-10-01,41,0,0,0,18,False
2004-11-01,39,8,16,0,23,False
2004-12-01,14,0,0,0,14,False
2005-01-01,13,0,6,0,21,False
2005-02-01,27,0,0,0,17,False
2005-03-01,9,0,0,0,13,False
2005-04-01,12,0,0,0,17,False
2005-05-01,15,0,0,0,18,False
2005-06-01,11,0,5,0,20,False
2005-07-01,19,0,0,0,17,False
2005-08-01,5,0,5,0,14,False
2005-09-01,15,0,0,0,20,False
2005-10-01,18,0,0,0,18,False
2005-11-01,41,5,5,0,18,False
2005-12-01,14,0,0,4,15,False
2006-01-01,18,0,0,0,12,False
2006-02-01,11,4,0,0,15,False
2006-03-01,12,3,0,0,26,False
2006-04-01,11,0,0,0,16,False
2006-05-01,19,0,0,0,16,False
2006-06-01,11,0,0,0,18,False
2006-07-01,9,0,4,0,22,False
2006-08-01,17,0,3,0,13,False
2006-09-01,13,0,5,0,12,False
2006-10-01,14,0,3,0,18,False
2006-11-01,10,0,0,0,17,False
2006-12-01,11,3,3,0,15,False
2007-01-01,31,3,0,0,19,False
2007-02-01,8,0,3,3,16,False
2007-03-01,13,2,2,0,26,False
2007-04-01,11,0,0,2,17,False
2007-05-01,11,2,4,2,17,False
2007-06-01,14,0,2,0,18,False
2007-07-01,17,0,2,0,15,False
2007-08-01,14,0,2,0,12,False
2007-09-01,14,4,2,0,22,False
2007-10-01,8,2,2,0,16,False
2007-11-01,12,0,5,0,14,False
2007-12-01,11,2,3,0,19,False
2008-01-01,13,2,2,0,13,False
2008-02-01,11,0,5,0,20,False
2008-03-01,10,0,2,2,17,False
2008-04-01,8,0,5,0,18,False
2008-05-01,14,2,4,0,18,False
2008-06-01,10,2,4,0,16,False
2008-07-01,7,0,3,0,10,False
2008-08-01,13,2,6,0,22,False
2008-09-01,8,0,6,0,24,False
2008-10-01,11,1,4,0,21,False
2008-11-01,9,3,3,0,21,False
2008-12-01,15,3,3,0,17,False
2009-01-01,9,1,5,0,20,False
2009-02-01,11,1,12,0,24,False
2009-03-01,13,0,3,0,16,False
2009-04-01,15,1,6,1,21,False
2009-05-01,11,1,3,0,27,False
2009-06-01,11,0,3,0,18,False
2009-07-01,12,1,5,0,18,False
2009-08-01,13,1,3,0,22,False
2009-09-01,7,1,0,0,26,False
2009-10-01,13,1,6,0,19,False
2009-11-01,9,1,3,0,25,False
2009-12-01,10,1,3,1,18,False
2010-01-01,8,1,4,0,24,False
2010-02-01,10,1,6,1,12,False
2010-03-01,8,2,5,19,18,False
2010-04-01,10,1,3,19,19,False
2010-05-01,13,1,3,6,16,False
2010-06-01,11,1,1,8,20,False
2010-07-01,14,1,2,4,14,False
2010-08-01,13,1,4,7,18,False
2010-09-01,10,2,3,8,22,False
2010-10-01,11,1,4,7,23,False
2010-11-01,14,1,1,7,29,False
2010-12-01,10,2,2,5,23,False
2011-01-01,8,1,12,6,19,False
2011-02-01,12,1,3,6,26,False
2011-03-01,15,1,4,7,31,False
2011-04-01,16,1,4,6,23,False
2011-05-01,13,1,4,4,21,False
2011-06-01,12,2,3,8,22,False
2011-07-01,25,1,12,3,19,False
2011-08-01,14,1,6,39,29,False
2011-09-01,10,1,8,21,23,False
2011-10-01,11,1,3,26,22,False
2011-11-01,10,3,4,13,19,False
2011-12-01,11,2,4,7,18,False
2012-01-01,11,5,7,5,17,False
2012-02-01,14,2,4,8,20,False
2012-03-01,28,3,3,6,37,False
2012-04-01,15,3,8,6,23,False
2012-05-01,18,3,4,10,28,False
2012-06-01,17,3,2,8,22,False
2012-07-01,16,5,3,3,16,False
2012-08-01,14,6,1,5,16,False
2012-09-01,13,6,3,5,18,False
2012-10-01,12,5,33,8,17,False
2012-11-01,13,6,11,5,18,False
2012-12-01,16,5,7,6,16,False
2013-01-01,14,6,4,3,16,False
2013-02-01,19,7,3,4,17,False
2013-03-01,18,5,3,6,16,False
2013-04-01,15,5,3,4,17,False
2013-05-01,18,5,2,2,14,False
2013-06-01,15,4,2,4,16,False
2013-07-01,17,4,7,4,16,False
2013-08-01,17,4,8,2,16,False
2013-09-01,18,29,15,21,20,False
2013-10-01,14,15,8,10,18,False
2013-11-01,20,14,21,25,16,False
2013-12-01,21,11,4,8,17,False
2014-01-01,16,17,6,8,15,False
2014-02-01,15,21,13,8,17,False
2014-03-01,20,14,8,8,19,False
2014-04-01,14,11,4,5,15,False
2014-05-01,13,9,3,6,17,False
2014-06-01,18,11,4,2,14,False
2014-07-01,17,8,4,8,17,False
2014-08-01,12,10,2,8,23,False
2014-09-01,11,10,2,8,24,False
2014-10-01,15,8,4,8,19,False
2014-11-01,17,7,6,6,18,False
2014-12-01,18,8,3,4,15,False
2015-01-01,18,8,2,5,15,False
2015-02-01,17,10,3,5,18,False
2015-03-01,13,10,2,4,25,False
2015-04-01,12,12,3,5,26,False
2015-05-01,12,10,1,4,68,False
2015-06-01,13,10,1,7,30,False
2015-07-01,13,7,1,2,34,False
2015-08-01,17,8,3,5,23,False
2015-09-01,12,8,4,2,20,False
2015-10-01,10,8,13,5,17,False
2015-11-01,17,10,43,4,15,False
2015-12-01,17,9,7,3,14,False
2016-01-01,15,8,5,2,16,False
2016-02-01,14,13,5,3,16,False
2016-03-01,13,10,4,3,17,False
2016-04-01,13,8,4,6,12,False
2016-05-01,11,7,3,4,22,False
2016-06-01,13,6,2,5,17,False
2016-07-01,11,8,3,3,19,False
2016-08-01,9,6,2,16,12,False
2016-09-01,10,11,3,11,17,False
2016-10-01,12,8,20,14,16,False
2016-11-01,12,8,5,7,23,False
2016-12-01,16,7,3,7,13,False
2017-01-01,11,8,33,5,12,False
2017-02-01,10,8,14,5,14,False
2017-03-01,9,8,10,6,12,False
2017-04-01,8,7,11,3,13,False
2017-05-01,10,8,6,3,16,False
2017-06-01,8,6,17,3,13,False
2017-07-01,9,7,4,3,13,False
2017-08-01,12,6,18,3,12,False
2017-09-01,9,7,10,3,12,False
2017-10-01,10,8,11,3,11,False
2017-11-01,11,7,6,5,10,False
2017-12-01,14,6,8,2,9,False
2018-01-01,11,6,10,3,13,False
2018-02-01,11,7,7,4,11,False
2018-03-01,9,7,10,3,9,False
2018-04-01,8,6,11,2,11,False
2018-05-01,9,7,8,3,12,False
2018-06-01,8,5,52,2,12,False
2018-07-01,7,5,13,3,11,False
2018-08-01,10,5,59,2,12,False
2018-09-01,7,6,65,3,12,False
2018-10-01,6,6,34,2,14,False
2018-11-01,10,6,12,3,11,False
2018-12-01,11,4,16,5,11,False
2019-01-01,12,6,20,2,11,False
2019-02-01,8,7,11,3,13,False
2019-03-01,9,7,9,2,10,False
2019-04-01,6,6,10,3,13,False
2019-05-01,5,5,10,3,11,False
2019-06-01,8,4,7,1,11,False
2019-07-01,7,4,6,2,16,False
2019-08-01,8,6,11,1,13,False
2019-09-01,7,6,11,5,12,False
2019-10-01,7,6,18,4,11,False
2019-11-01,10,6,39,3,11,False
2019-12-01,8,6,16,3,13,False
2020-01-01,10,12,9,2,19,False
2020-02-01,9,10,7,3,36,False
2020-03-01,8,8,26,2,15,False
2020-04-01,10,9,23,2,12,False
2020-05-01,9,7,9,1,9,False
2020-06-01,8,5,8,2,11,False
2020-07-01,9,5,11,1,23,False
2020-08-01,7,6,100,1,18,False
2020-09-01,6,8,16,1,13,False
2020-10-01,7,5,9,2,14,False
