date,David Lang,Enrique Peñalosa,Boyd Varty,Diébédo Francis Kéré,Iraola,isPartial
2004-01-01,39,12,0,0,17,False
2004-02-01,29,17,0,0,46,False
2004-03-01,14,0,0,0,14,False
2004-04-01,19,11,0,0,15,False
2004-05-01,48,10,0,0,13,False
2004-06-01,48,10,0,0,14,False
2004-07-01,47,0,0,0,13,False
2004-08-01,44,0,0,0,15,False
2004-09-01,20,9,0,0,21,False
2004-10-01,35,0,0,0,20,False
2004-11-01,32,9,0,0,26,False
2004-12-01,16,8,0,0,16,False
2005-01-01,31,7,0,0,24,False
2005-02-01,35,8,0,0,19,False
2005-03-01,29,6,0,0,15,False
2005-04-01,38,7,0,0,19,False
2005-05-01,76,6,0,0,20,False
2005-06-01,29,6,0,0,23,False
2005-07-01,30,0,6,0,19,False
2005-08-01,20,12,0,0,16,False
2005-09-01,37,8,0,0,22,False
2005-10-01,33,5,0,5,21,False
2005-11-01,31,8,0,0,21,False
2005-12-01,29,5,0,0,17,False
2006-01-01,22,9,0,0,13,False
2006-02-01,17,11,0,0,17,False
2006-03-01,18,11,0,4,29,False
2006-04-01,24,6,0,0,18,False
2006-05-01,18,0,0,0,18,False
2006-06-01,21,4,0,0,20,False
2006-07-01,21,4,0,0,24,False
2006-08-01,30,4,0,0,15,False
2006-09-01,19,0,0,0,13,False
2006-10-01,22,0,0,0,21,False
2006-11-01,50,6,0,0,19,False
2006-12-01,22,0,3,0,17,False
2007-01-01,20,3,0,0,21,False
2007-02-01,19,3,0,0,18,False
2007-03-01,17,4,0,0,30,False
2007-04-01,23,3,3,0,19,False
2007-05-01,26,9,0,0,19,False
2007-06-01,18,5,0,2,21,False
2007-07-01,34,7,0,0,17,False
2007-08-01,19,20,0,0,13,False
2007-09-01,30,18,0,2,25,False
2007-10-01,32,35,0,0,18,False
2007-11-01,20,5,0,0,16,False
2007-12-01,28,6,0,0,22,False
2008-01-01,28,2,0,0,14,False
2008-02-01,24,3,0,0,22,False
2008-03-01,28,3,0,0,19,False
2008-04-01,40,2,0,0,20,False
2008-05-01,17,3,0,0,21,False
2008-06-01,24,3,0,0,18,False
2008-07-01,31,3,0,0,11,False
2008-08-01,23,3,0,0,25,False
2008-09-01,15,3,0,0,27,False
2008-10-01,27,1,0,0,23,False
2008-11-01,27,3,0,0,24,False
2008-12-01,16,2,0,0,19,False
2009-01-01,24,1,0,0,23,False
2009-02-01,19,3,0,1,27,False
2009-03-01,26,2,0,1,18,False
2009-04-01,23,2,0,0,24,False
2009-05-01,24,3,0,0,30,False
2009-06-01,20,3,0,0,21,False
2009-07-01,32,3,0,1,20,False
2009-08-01,25,3,0,1,25,False
2009-09-01,21,3,0,0,29,False
2009-10-01,28,6,1,1,21,False
2009-11-01,26,1,0,0,28,False
2009-12-01,22,2,0,1,20,False
2010-01-01,38,1,1,1,27,False
2010-02-01,30,5,0,2,14,False
2010-03-01,28,6,0,2,20,False
2010-04-01,19,3,0,2,21,False
2010-05-01,22,6,0,0,18,False
2010-06-01,24,5,0,1,22,False
2010-07-01,25,2,1,1,16,False
2010-08-01,18,2,0,0,21,False
2010-09-01,21,1,0,1,25,False
2010-10-01,18,3,0,1,26,False
2010-11-01,23,4,0,1,32,False
2010-12-01,24,2,0,1,26,False
2011-01-01,27,3,0,1,22,False
2011-02-01,21,2,0,2,29,False
2011-03-01,18,4,0,1,35,False
2011-04-01,25,3,0,0,26,False
2011-05-01,25,6,0,1,24,False
2011-06-01,22,5,2,1,25,False
2011-07-01,21,7,0,0,21,False
2011-08-01,21,10,0,1,32,False
2011-09-01,26,12,0,0,26,False
2011-10-01,22,33,0,0,24,False
2011-11-01,23,8,0,0,22,False
2011-12-01,19,5,0,1,21,False
2012-01-01,22,6,0,1,20,False
2012-02-01,18,3,1,1,23,False
2012-03-01,22,2,1,1,42,False
2012-04-01,23,3,1,1,26,False
2012-05-01,21,2,0,0,31,False
2012-06-01,20,3,0,1,25,False
2012-07-01,18,1,0,1,17,False
2012-08-01,18,2,1,1,18,False
2012-09-01,23,3,0,1,20,False
2012-10-01,24,1,1,1,19,False
2012-11-01,18,2,0,1,20,False
2012-12-01,24,1,1,0,18,False
2013-01-01,24,1,0,0,18,False
