date,Brian Greene,Brian Cox,They Might Be Giants,Hector Ruiz,Iraola,isPartial
2004-01-01,6,11,27,2,2,False
2004-02-01,13,9,25,2,5,False
2004-03-01,17,5,28,3,1,False
2004-04-01,12,9,33,2,1,False
2004-05-01,8,17,37,2,1,False
2004-06-01,7,9,36,2,1,False
2004-07-01,8,7,72,2,1,False
2004-08-01,9,5,52,2,2,False
2004-09-01,7,4,41,2,2,False
2004-10-01,6,5,35,1,2,False
2004-11-01,7,7,27,2,3,False
2004-12-01,14,8,33,2,2,False
2005-01-01,9,9,30,2,2,False
2005-02-01,11,7,38,3,2,False
2005-03-01,16,5,32,2,1,False
2005-04-01,10,5,25,2,2,False
2005-05-01,8,4,33,2,2,False
2005-06-01,6,5,28,2,2,False
2005-07-01,4,7,34,2,2,False
2005-08-01,4,8,25,1,2,False
2005-09-01,6,5,25,2,2,False
2005-10-01,8,5,27,2,2,False
2005-11-01,7,5,27,2,2,False
2005-12-01,6,8,26,2,2,False
2006-01-01,7,8,25,2,1,False
2006-02-01,5,10,26,2,2,False
2006-03-01,6,7,20,1,3,False
2006-04-01,5,5,26,1,2,False
2006-05-01,4,8,24,2,2,False
2006-06-01,4,8,22,2,2,False
2006-07-01,4,11,20,1,2,False
2006-08-01,3,6,21,2,1,False
2006-09-01,2,6,18,2,1,False
2006-10-01,5,5,17,2,2,False
2006-11-01,4,5,16,2,2,False
2006-12-01,3,5,19,2,2,False
2007-01-01,3,6,15,2,2,False
2007-02-01,4,8,14,1,2,False
2007-03-01,4,8,12,1,3,False
2007-04-01,3,5,18,1,2,False
2007-05-01,4,4,20,1,2,False
2007-06-01,3,6,16,1,2,False
2007-07-01,3,6,20,1,2,False
2007-08-01,3,9,17,1,1,False
2007-09-01,3,6,20,3,2,False
2007-10-01,3,7,16,1,2,False
2007-11-01,3,5,16,2,2,False
2007-12-01,3,5,14,2,2,False
2008-01-01,3,9,15,1,1,False
2008-02-01,4,8,20,1,2,False
2008-03-01,3,7,15,1,2,False
2008-04-01,3,6,14,2,2,False
2008-05-01,4,7,13,2,2,False
2008-06-01,3,7,15,1,2,False
2008-07-01,3,7,13,3,1,False
2008-08-01,4,5,11,1,2,False
2008-09-01,5,18,10,2,3,False
2008-10-01,7,6,10,1,2,False
2008-11-01,3,6,10,2,2,False
2008-12-01,4,12,11,1,2,False
2009-01-01,3,7,11,2,2,False
2009-02-01,4,11,14,1,3,False
2009-03-01,3,8,12,1,2,False
2009-04-01,3,7,10,1,2,False
2009-05-01,3,7,12,2,3,False
2009-06-01,4,5,13,2,2,False
2009-07-01,3,7,12,2,2,False
2009-08-01,3,7,13,1,2,False
2009-09-01,3,6,18,1,3,False
2009-10-01,3,9,17,2,2,False
2009-11-01,3,9,16,2,3,False
2009-12-01,3,8,12,1,2,False
2010-01-01,3,7,13,1,3,False
2010-02-01,3,12,12,1,1,False
2010-03-01,3,55,12,1,2,False
2010-04-01,3,30,11,1,2,False
2010-05-01,3,14,10,1,2,False
2010-06-01,5,13,11,1,2,False
2010-07-01,3,10,9,1,2,False
2010-08-01,3,17,12,2,2,False
2010-09-01,3,15,10,2,2,False
2010-10-01,3,19,10,1,3,False
2010-11-01,3,12,9,1,3,False
2010-12-01,3,16,9,1,3,False
2011-01-01,7,31,9,2,2,False
2011-02-01,8,27,8,1,3,False
2011-03-01,5,100,8,1,3,False
2011-04-01,8,35,9,1,3,False
2011-05-01,4,22,9,1,2,False
2011-06-01,4,20,10,1,2,False
2011-07-01,4,28,16,1,2,False
2011-08-01,4,23,10,1,3,False
2011-09-01,3,21,14,1,3,False
2011-10-01,4,28,12,1,2,False
2011-11-01,9,22,12,1,2,False
2011-12-01,5,50,9,1,2,False
2012-01-01,5,52,11,1,2,False
2012-02-01,4,26,10,1,2,False
2012-03-01,5,21,9,1,4,False
2012-04-01,5,17,7,1,3,False
2012-05-01,5,16,6,1,3,False
2012-06-01,5,18,6,1,2,False
2012-07-01,6,25,6,1,2,False
2012-08-01,4,16,6,1,2,False
2012-09-01,4,21,6,1,2,False
2012-10-01,4,17,7,1,2,False
2012-11-01,5,20,6,1,2,False
2012-12-01,4,21,6,1,2,False
2013-01-01,4,42,8,1,2,False
2013-02-01,4,58,9,1,2,False
2013-03-01,4,22,12,1,2,False
2013-04-01,4,20,8,1,2,False
2013-05-01,4,16,8,1,2,False
2013-06-01,4,18,8,1,2,False
2013-07-01,3,22,6,1,2,False
2013-08-01,3,23,7,1,2,False
2013-09-01,4,21,7,1,2,False
2013-10-01,3,18,7,1,2,False
2013-11-01,3,26,7,1,2,False
2013-12-01,4,20,6,1,2,False
2014-01-01,3,21,5,1,2,False
2014-02-01,5,13,6,1,2,False
2014-03-01,5,15,5,1,2,False
2014-04-01,3,12,5,1,2,False
2014-05-01,3,13,5,1,2,False
2014-06-01,3,12,5,1,2,False
2014-07-01,3,13,5,1,2,False
2014-08-01,4,15,5,1,3,False
2014-09-01,3,18,5,1,3,False
2014-10-01,3,35,5,1,2,False
2014-11-01,4,29,5,1,2,False
2014-12-01,3,17,5,1,2,False
2015-01-01,3,18,5,1,2,False
2015-02-01,3,20,5,1,2,False
2015-03-01,3,20,5,1,3,False
2015-04-01,3,13,7,1,3,False
2015-05-01,3,13,7,1,8,False
2015-06-01,3,14,5,1,3,False
2015-07-01,2,15,5,1,4,False
2015-08-01,3,12,5,1,3,False
2015-09-01,3,15,5,1,2,False
2015-10-01,3,12,5,1,2,False
2015-11-01,3,13,5,1,2,False
2015-12-01,3,18,6,1,2,False
2016-01-01,3,20,5,1,2,False
2016-02-01,4,14,5,1,2,False
2016-03-01,3,11,5,1,2,False
2016-04-01,3,10,5,1,1,False
2016-05-01,2,11,4,1,2,False
2016-06-01,2,18,4,1,2,False
2016-07-01,2,32,4,1,2,False
2016-08-01,2,27,3,1,1,False
2016-09-01,2,15,3,1,2,False
2016-10-01,2,16,4,1,2,False
2016-11-01,2,15,3,1,2,False
2016-12-01,2,21,3,1,1,False
2017-01-01,2,16,3,1,1,False
2017-02-01,2,13,4,1,2,False
2017-03-01,3,21,3,1,1,False
2017-04-01,2,18,4,1,1,False
2017-05-01,2,19,3,1,2,False
2017-06-01,3,14,3,1,1,False
2017-07-01,2,12,3,1,1,False
2017-08-01,2,13,4,1,1,False
2017-09-01,1,15,3,1,1,False
2017-10-01,2,13,4,1,1,False
2017-11-01,2,17,5,1,1,False
2017-12-01,2,13,4,1,1,False
2018-01-01,2,14,6,1,1,False
2018-02-01,2,12,5,1,1,False
2018-03-01,2,14,6,1,1,False
2018-04-01,2,16,5,1,1,False
2018-05-01,1,14,4,1,1,False
2018-06-01,2,10,3,1,1,False
2018-07-01,2,11,3,1,1,False
2018-08-01,2,13,3,1,1,False
2018-09-01,2,10,4,1,1,False
2018-10-01,2,13,4,1,1,False
2018-11-01,2,17,3,1,1,False
2018-12-01,2,13,3,1,1,False
2019-01-01,2,20,3,1,1,False
2019-02-01,2,31,5,1,1,False
2019-03-01,2,14,5,1,1,False
2019-04-01,2,11,3,1,1,False
2019-05-01,2,18,3,1,1,False
2019-06-01,2,31,3,1,1,False
2019-07-01,2,19,3,1,2,False
2019-08-01,2,15,3,1,1,False
2019-09-01,2,18,3,1,1,False
2019-10-01,1,16,3,1,1,False
2019-11-01,2,13,4,1,1,False
2019-12-01,2,16,3,1,1,False
2020-01-01,2,29,4,1,2,False
2020-02-01,9,13,4,1,4,False
2020-03-01,4,15,4,1,2,False
2020-04-01,3,16,3,1,1,False
2020-05-01,3,13,3,1,1,False
2020-06-01,3,15,3,1,1,False
2020-07-01,3,13,3,1,3,False
2020-08-01,3,13,3,1,2,False
2020-09-01,2,14,3,1,1,False
2020-10-01,2,11,3,1,2,False
