date,Doris Kearns Goodwin,James Burchfield,Garrett Lisi,Virginia Postrel,Iraola,isPartial
2004-01-01,14,0,0,10,8,False
2004-02-01,5,0,5,8,21,False
2004-03-01,15,0,0,9,6,False
2004-04-01,7,5,0,5,7,False
2004-05-01,17,0,0,6,6,False
2004-06-01,7,4,0,6,6,False
2004-07-01,7,0,0,9,6,False
2004-08-01,8,0,0,12,7,False
2004-09-01,6,0,0,4,10,False
2004-10-01,14,0,0,5,9,False
2004-11-01,10,4,0,8,12,False
2004-12-01,5,0,0,0,7,False
2005-01-01,13,0,0,3,11,False
2005-02-01,6,0,0,3,8,False
2005-03-01,7,0,0,6,7,False
2005-04-01,3,0,0,5,8,False
2005-05-01,4,0,0,3,9,False
2005-06-01,5,0,3,3,10,False
2005-07-01,4,0,0,3,9,False
2005-08-01,5,0,0,3,7,False
2005-09-01,7,0,0,4,10,False
2005-10-01,15,0,0,6,9,False
2005-11-01,22,0,0,3,9,False
2005-12-01,21,0,0,6,8,False
2006-01-01,14,0,0,5,6,False
2006-02-01,7,0,0,4,8,False
2006-03-01,12,0,0,2,13,False
2006-04-01,4,0,0,7,8,False
2006-05-01,12,2,0,3,8,False
2006-06-01,10,0,0,5,9,False
2006-07-01,6,2,0,2,11,False
2006-08-01,12,0,0,3,7,False
2006-09-01,12,0,0,4,6,False
2006-10-01,6,0,0,1,9,False
2006-11-01,8,0,0,3,9,False
2006-12-01,8,2,0,4,7,False
2007-01-01,7,0,0,2,9,False
2007-02-01,14,0,0,1,8,False
2007-03-01,11,0,0,4,13,False
2007-04-01,11,0,0,1,9,False
2007-05-01,6,0,0,3,9,False
2007-06-01,4,1,0,1,9,False
2007-07-01,9,0,0,2,8,False
2007-08-01,6,0,2,4,6,False
2007-09-01,11,1,0,2,11,False
2007-10-01,5,0,0,3,8,False
2007-11-01,3,0,100,1,7,False
2007-12-01,4,0,30,2,10,False
2008-01-01,6,1,14,3,6,False
2008-02-01,9,0,7,2,10,False
2008-03-01,9,2,9,1,9,False
2008-04-01,7,0,7,2,9,False
2008-05-01,9,1,5,2,9,False
2008-06-01,11,0,4,3,8,False
2008-07-01,5,0,8,1,5,False
2008-08-01,6,0,3,1,11,False
2008-09-01,11,1,4,2,12,False
2008-10-01,6,1,5,1,11,False
2008-11-01,29,1,5,1,11,False
2008-12-01,14,1,4,2,9,False
2009-01-01,18,1,4,1,10,False
2009-02-01,13,1,3,2,12,False
2009-03-01,9,0,3,2,8,False
2009-04-01,9,1,3,2,11,False
2009-05-01,9,1,3,1,14,False
2009-06-01,8,0,3,1,9,False
2009-07-01,5,1,2,2,9,False
2009-08-01,10,1,3,1,11,False
2009-09-01,6,1,1,1,13,False
2009-10-01,6,1,2,0,10,False
2009-11-01,5,0,3,1,13,False
2009-12-01,6,1,1,1,9,False
2010-01-01,10,0,4,1,12,False
2010-02-01,5,1,2,1,6,False
2010-03-01,5,0,1,1,9,False
2010-04-01,6,0,2,0,10,False
2010-05-01,3,0,2,1,8,False
2010-06-01,4,0,6,1,10,False
2010-07-01,4,0,3,1,7,False
2010-08-01,3,0,4,1,9,False
2010-09-01,3,0,3,0,11,False
2010-10-01,4,0,2,0,12,False
2010-11-01,9,0,2,1,15,False
2010-12-01,4,0,2,1,12,False
2011-01-01,3,0,2,1,10,False
2011-02-01,3,0,3,1,13,False
2011-03-01,3,0,2,1,16,False
2011-04-01,6,0,2,1,12,False
2011-05-01,3,0,1,0,11,False
2011-06-01,3,0,3,0,11,False
2011-07-01,6,1,2,1,10,False
2011-08-01,3,0,2,1,15,False
