date,Morgan Spurlock,Mick Ebeling,Caroline Casey,Jackson Browne,Iraola,isPartial
2004-01-01,25,0,0,61,3,False
2004-02-01,8,0,6,68,8,False
2004-03-01,20,0,0,100,2,False
2004-04-01,10,0,4,71,3,False
2004-05-01,27,2,5,58,2,False
2004-06-01,26,0,4,55,2,False
2004-07-01,13,0,2,60,2,False
2004-08-01,7,0,2,51,3,False
2004-09-01,11,0,2,47,4,False
2004-10-01,20,0,2,67,4,False
2004-11-01,12,0,3,62,5,False
2004-12-01,11,0,4,42,3,False
2005-01-01,15,0,1,38,4,False
2005-02-01,17,1,3,47,3,False
2005-03-01,14,0,2,34,3,False
2005-04-01,26,0,0,41,3,False
2005-05-01,17,0,2,36,4,False
2005-06-01,44,0,2,39,4,False
2005-07-01,28,0,3,34,3,False
2005-08-01,17,0,2,36,3,False
2005-09-01,13,0,1,43,4,False
2005-10-01,24,0,1,51,4,False
2005-11-01,15,2,1,55,4,False
2005-12-01,12,0,2,48,3,False
2006-01-01,12,0,1,42,2,False
2006-02-01,10,0,1,52,3,False
2006-03-01,18,1,3,52,5,False
2006-04-01,19,0,2,38,3,False
2006-05-01,14,0,1,38,3,False
2006-06-01,12,0,1,41,4,False
2006-07-01,21,0,1,37,4,False
2006-08-01,17,0,2,42,3,False
2006-09-01,13,0,1,29,2,False
2006-10-01,12,0,1,31,4,False
2006-11-01,10,0,1,31,3,False
2006-12-01,7,0,1,32,3,False
2007-01-01,12,0,1,30,4,False
2007-02-01,8,0,1,31,3,False
2007-03-01,8,0,1,29,5,False
2007-04-01,9,0,1,29,3,False
2007-05-01,8,0,1,29,3,False
2007-06-01,6,0,1,31,4,False
2007-07-01,6,0,1,28,3,False
2007-08-01,5,0,1,28,2,False
2007-09-01,6,0,1,27,4,False
2007-10-01,7,0,1,30,3,False
2007-11-01,9,0,1,26,3,False
2007-12-01,19,0,1,30,4,False
2008-01-01,12,0,1,32,2,False
2008-02-01,8,0,1,39,4,False
2008-03-01,8,0,1,42,3,False
2008-04-01,14,0,1,38,4,False
2008-05-01,15,0,1,27,4,False
2008-06-01,14,0,1,26,3,False
2008-07-01,9,0,1,29,2,False
2008-08-01,12,0,1,55,4,False
2008-09-01,11,0,1,56,5,False
2008-10-01,7,0,1,52,4,False
2008-11-01,7,0,1,38,4,False
2008-12-01,6,0,1,31,3,False
2009-01-01,5,0,1,29,4,False
2009-02-01,6,0,1,30,5,False
2009-03-01,8,0,1,40,3,False
2009-04-01,9,0,1,43,4,False
2009-05-01,5,0,2,36,5,False
2009-06-01,5,0,1,33,4,False
2009-07-01,7,0,1,50,3,False
2009-08-01,5,0,1,42,4,False
2009-09-01,6,0,1,31,5,False
2009-10-01,6,0,1,28,4,False
