date,Courtney E. Martin,Sal Khan,Deb Roy,Rob Harmon,Iraola,isPartial
2004-01-01,15,15,23,0,23,False
2004-02-01,0,15,30,0,60,False
2004-03-01,0,0,28,19,18,False
2004-04-01,0,0,14,0,19,False
2004-05-01,0,25,13,0,17,False
2004-06-01,0,0,19,0,19,False
2004-07-01,0,0,0,13,17,False
2004-08-01,0,0,0,0,20,False
2004-09-01,0,0,11,11,28,False
2004-10-01,0,0,11,0,26,False
2004-11-01,0,0,11,11,34,False
2004-12-01,0,21,16,0,21,False
2005-01-01,0,0,9,0,31,False
2005-02-01,0,0,13,0,24,False
2005-03-01,0,8,0,0,19,False
2005-04-01,0,0,9,0,24,False
2005-05-01,0,0,8,0,27,False
2005-06-01,0,8,8,8,29,False
2005-07-01,0,8,25,0,25,False
2005-08-01,0,0,8,0,21,False
2005-09-01,0,0,14,7,29,False
2005-10-01,0,0,7,7,27,False
2005-11-01,7,0,9,7,27,False
2005-12-01,0,0,13,0,22,False
2006-01-01,0,0,12,0,17,False
2006-02-01,0,0,6,0,22,False
2006-03-01,0,0,10,10,38,False
2006-04-01,0,6,0,0,24,False
2006-05-01,5,0,10,5,24,False
2006-06-01,5,0,16,5,27,False
2006-07-01,0,0,5,5,32,False
2006-08-01,0,5,5,5,20,False
2006-09-01,0,0,6,0,17,False
2006-10-01,0,0,4,0,27,False
2006-11-01,4,4,6,4,25,False
2006-12-01,0,4,11,4,22,False
2007-01-01,0,0,15,0,27,False
2007-02-01,4,0,6,6,24,False
2007-03-01,0,3,5,0,39,False
2007-04-01,4,0,5,0,25,False
2007-05-01,3,3,9,6,25,False
2007-06-01,3,4,4,5,27,False
2007-07-01,0,3,9,3,22,False
2007-08-01,0,3,12,3,17,False
2007-09-01,3,0,0,0,32,False
2007-10-01,0,3,3,4,24,False
2007-11-01,0,3,3,6,21,False
2007-12-01,3,0,3,3,28,False
2008-01-01,0,4,2,5,18,False
2008-02-01,3,5,4,2,29,False
2008-03-01,0,2,2,2,25,False
2008-04-01,0,2,8,3,27,False
2008-05-01,0,2,5,4,27,False
2008-06-01,2,0,3,2,24,False
2008-07-01,0,2,3,2,15,False
2008-08-01,0,2,5,0,32,False
2008-09-01,0,2,3,5,35,False
2008-10-01,4,6,6,4,30,False
2008-11-01,2,2,5,2,31,False
2008-12-01,0,4,5,4,25,False
2009-01-01,0,2,3,2,30,False
2009-02-01,0,3,2,0,35,False
2009-03-01,2,3,2,3,24,False
2009-04-01,2,3,4,4,32,False
2009-05-01,0,4,3,5,39,False
2009-06-01,2,2,2,2,27,False
2009-07-01,0,2,4,3,26,False
2009-08-01,0,5,4,2,32,False
2009-09-01,2,4,3,5,38,False
2009-10-01,1,4,2,3,28,False
2009-11-01,1,12,4,2,36,False
2009-12-01,1,4,3,2,27,False
2010-01-01,1,3,3,3,35,False
2010-02-01,0,3,4,2,18,False
2010-03-01,0,2,4,0,26,False
2010-04-01,0,3,4,1,27,False
2010-05-01,1,5,5,2,24,False
2010-06-01,1,9,2,2,29,False
2010-07-01,0,6,4,1,20,False
2010-08-01,1,20,2,4,27,False
2010-09-01,0,21,2,3,32,False
2010-10-01,1,14,3,1,34,False
2010-11-01,1,17,3,2,42,False
2010-12-01,1,12,2,1,34,False
2011-01-01,1,17,4,3,28,False
2011-02-01,1,8,3,3,38,False
2011-03-01,1,23,26,2,46,False
2011-04-01,1,24,9,2,34,False
2011-05-01,2,22,8,1,31,False
2011-06-01,1,23,5,2,33,False
2011-07-01,1,19,5,1,28,False
2011-08-01,1,15,8,1,42,False
2011-09-01,0,29,4,2,34,False
2011-10-01,0,26,3,3,32,False
2011-11-01,1,25,8,2,28,False
2011-12-01,1,22,8,2,27,False
2012-01-01,0,26,7,2,25,False
2012-02-01,1,22,7,1,30,False
2012-03-01,1,44,5,1,54,False
2012-04-01,0,23,5,3,34,False
2012-05-01,0,28,4,2,41,False
2012-06-01,1,30,4,1,32,False
2012-07-01,1,22,4,3,23,False
2012-08-01,1,20,3,2,24,False
2012-09-01,0,42,4,2,26,False
2012-10-01,1,36,5,1,25,False
2012-11-01,1,32,4,2,27,False
2012-12-01,0,26,4,3,23,False
2013-01-01,1,31,3,3,24,False
2013-02-01,1,25,7,2,25,False
2013-03-01,0,25,5,2,23,False
2013-04-01,0,39,4,1,25,False
2013-05-01,1,45,3,1,21,False
2013-06-01,1,28,3,2,23,False
2013-07-01,0,27,4,2,23,False
2013-08-01,1,36,5,1,24,False
2013-09-01,1,43,4,1,30,False
2013-10-01,1,43,4,2,26,False
2013-11-01,1,35,4,2,24,False
2013-12-01,1,41,3,1,25,False
2014-01-01,1,33,4,2,22,False
2014-02-01,1,35,5,2,25,False
2014-03-01,1,36,5,2,28,False
2014-04-01,1,32,4,2,22,False
2014-05-01,1,27,5,2,25,False
