date,Tim Ferriss,Matthew Childs,Margaret Wertheim,Niels Diffrient,Iraola,isPartial
2004-01-01,0,9,0,0,4,False
2004-02-01,0,0,0,0,13,False
2004-03-01,0,0,0,0,5,False
2004-04-01,0,0,0,4,6,False
2004-05-01,0,0,0,0,4,False
2004-06-01,0,0,0,0,5,False
2004-07-01,0,4,0,4,4,False
2004-08-01,0,0,0,0,5,False
2004-09-01,0,3,3,0,8,False
2004-10-01,0,0,0,3,5,False
2004-11-01,0,0,0,0,8,False
2004-12-01,0,3,0,0,6,False
2005-01-01,0,4,0,0,8,False
2005-02-01,0,3,0,0,7,False
2005-03-01,0,2,0,0,5,False
2005-04-01,0,0,0,3,8,False
2005-05-01,0,0,0,0,9,False
2005-06-01,0,2,0,0,9,False
2005-07-01,0,2,0,0,6,False
2005-08-01,0,0,0,3,5,False
2005-09-01,0,0,0,2,7,False
2005-10-01,0,2,0,0,10,False
2005-11-01,0,2,2,2,10,False
2005-12-01,0,2,2,0,8,False
2006-01-01,2,2,2,0,5,False
2006-02-01,0,2,0,0,6,False
2006-03-01,0,0,1,2,10,False
2006-04-01,0,0,0,0,6,False
2006-05-01,0,0,1,0,9,False
2006-06-01,0,0,0,0,8,False
2006-07-01,0,0,0,0,8,False
2006-08-01,1,0,1,0,6,False
2006-09-01,1,1,1,0,3,False
2006-10-01,0,0,4,1,6,False
2006-11-01,0,0,0,2,9,False
2006-12-01,0,1,1,1,7,False
2007-01-01,1,1,1,0,7,False
2007-02-01,0,1,0,1,6,False
2007-03-01,0,0,0,1,10,False
2007-04-01,2,0,0,1,8,False
2007-05-01,6,1,4,0,6,False
2007-06-01,9,1,1,2,6,False
2007-07-01,7,0,0,0,8,False
2007-08-01,5,1,0,0,5,False
2007-09-01,5,0,1,0,8,False
2007-10-01,3,1,1,1,6,False
2007-11-01,4,1,0,1,6,False
2007-12-01,3,0,0,0,8,False
2008-01-01,7,0,1,0,6,False
2008-02-01,8,0,0,0,10,False
2008-03-01,10,1,1,0,5,False
2008-04-01,10,1,1,0,8,False
2008-05-01,9,1,0,0,9,False
2008-06-01,10,1,0,0,6,False
2008-07-01,9,1,1,0,4,False
2008-08-01,8,1,1,0,9,False
2008-09-01,6,1,1,0,10,False
2008-10-01,6,1,1,1,9,False
2008-11-01,6,1,1,0,10,False
2008-12-01,14,1,0,0,7,False
2009-01-01,10,1,1,0,7,False
2009-02-01,11,1,0,0,11,False
2009-03-01,8,1,0,0,9,False
2009-04-01,15,1,2,5,10,False
2009-05-01,14,1,1,2,12,False
2009-06-01,12,1,0,0,7,False
2009-07-01,16,0,0,0,7,False
2009-08-01,16,2,1,0,10,False
2009-09-01,12,1,0,0,13,False
2009-10-01,11,0,0,0,7,False
2009-11-01,12,1,0,0,11,False
2009-12-01,14,1,0,0,7,False
2010-01-01,21,1,1,0,10,False
2010-02-01,18,0,0,0,5,False
2010-03-01,16,1,1,0,7,False
2010-04-01,12,0,1,0,9,False
2010-05-01,13,1,0,1,6,False
2010-06-01,14,1,1,0,8,False
2010-07-01,14,0,0,0,6,False
2010-08-01,16,0,1,0,7,False
2010-09-01,16,0,0,0,9,False
2010-10-01,19,1,0,0,9,False
2010-11-01,17,1,0,0,11,False
2010-12-01,41,1,0,0,11,False
2011-01-01,47,0,0,0,7,False
2011-02-01,38,1,1,0,11,False
2011-03-01,33,0,1,0,13,False
2011-04-01,30,0,1,0,9,False
2011-05-01,26,0,0,0,9,False
2011-06-01,33,0,1,0,10,False
2011-07-01,38,0,0,0,8,False
2011-08-01,30,1,0,0,11,False
2011-09-01,38,1,0,0,11,False
2011-10-01,31,0,0,0,10,False
2011-11-01,22,0,1,0,8,False
2011-12-01,27,0,0,0,8,False
2012-01-01,27,0,0,0,7,False
2012-02-01,32,1,1,0,9,False
2012-03-01,29,1,1,0,15,False
2012-04-01,32,0,0,0,10,False
2012-05-01,29,0,1,0,11,False
2012-06-01,24,1,0,0,9,False
2012-07-01,31,1,0,0,7,False
2012-08-01,23,0,1,0,6,False
2012-09-01,21,0,1,0,7,False
2012-10-01,21,0,1,0,8,False
2012-11-01,56,0,0,0,7,False
2012-12-01,41,0,0,0,7,False
2013-01-01,56,0,0,0,7,False
2013-02-01,48,0,0,0,8,False
2013-03-01,36,0,1,0,7,False
2013-04-01,33,1,0,1,7,False
2013-05-01,32,0,1,0,5,False
2013-06-01,36,0,0,1,7,False
2013-07-01,33,0,1,0,6,False
2013-08-01,29,0,0,0,6,False
2013-09-01,25,1,0,1,8,False
2013-10-01,27,0,0,0,7,False
2013-11-01,31,0,0,0,7,False
2013-12-01,36,0,0,0,7,False
2014-01-01,33,0,0,0,6,False
2014-02-01,32,0,0,0,7,False
2014-03-01,27,0,0,0,8,False
2014-04-01,28,0,0,0,6,False
2014-05-01,31,0,1,0,7,False
2014-06-01,30,0,0,0,6,False
2014-07-01,32,0,0,1,8,False
2014-08-01,35,0,0,0,10,False
2014-09-01,30,0,0,0,10,False
2014-10-01,33,0,0,0,8,False
2014-11-01,31,0,0,0,9,False
2014-12-01,32,1,0,0,7,False
2015-01-01,36,0,0,0,7,False
2015-02-01,43,0,0,0,7,False
2015-03-01,38,0,0,0,11,False
2015-04-01,49,0,1,0,11,False
2015-05-01,66,0,1,0,29,False
2015-06-01,51,0,0,0,12,False
2015-07-01,51,0,0,0,14,False
2015-08-01,55,0,0,0,11,False
2015-09-01,51,0,0,0,8,False
2015-10-01,48,0,0,0,7,False
2015-11-01,46,0,0,0,7,False
2015-12-01,52,0,0,0,6,False
2016-01-01,62,0,0,0,6,False
2016-02-01,53,0,1,0,7,False
2016-03-01,47,0,0,0,7,False
2016-04-01,47,0,0,0,6,False
2016-05-01,59,0,0,0,9,False
2016-06-01,52,0,0,0,8,False
2016-07-01,48,0,0,0,9,False
2016-08-01,50,0,0,0,5,False
2016-09-01,45,0,0,0,7,False
2016-10-01,48,0,0,0,7,False
2016-11-01,47,0,0,0,10,False
2016-12-01,75,0,0,0,5,False
2017-01-01,100,0,0,0,5,False
2017-02-01,74,0,1,0,7,False
2017-03-01,71,0,0,0,5,False
2017-04-01,61,0,0,0,5,False
2017-05-01,60,0,0,0,7,False
2017-06-01,74,0,0,0,5,False
2017-07-01,73,0,0,0,6,False
2017-08-01,62,0,0,0,6,False
2017-09-01,59,0,0,0,5,False
2017-10-01,54,0,0,0,5,False
2017-11-01,62,0,0,0,4,False
2017-12-01,73,0,0,0,4,False
2018-01-01,62,0,0,0,5,False
2018-02-01,50,0,0,0,4,False
2018-03-01,52,0,0,0,4,False
2018-04-01,48,0,0,0,5,False
2018-05-01,43,0,0,0,5,False
2018-06-01,44,0,0,0,5,False
2018-07-01,46,0,0,0,4,False
2018-08-01,47,0,0,0,5,False
2018-09-01,40,0,0,0,6,False
2018-10-01,40,0,0,0,6,False
2018-11-01,38,0,0,0,5,False
2018-12-01,42,0,0,0,4,False
2019-01-01,48,0,0,0,4,False
2019-02-01,39,0,0,0,5,False
2019-03-01,36,0,0,0,5,False
2019-04-01,35,1,0,0,6,False
2019-05-01,33,0,0,0,4,False
2019-06-01,39,0,0,0,5,False
2019-07-01,39,0,0,0,7,False
2019-08-01,38,0,0,0,6,False
2019-09-01,33,0,0,0,5,False
2019-10-01,33,0,0,0,5,False
2019-11-01,36,0,0,0,5,False
2019-12-01,28,0,0,0,5,False
2020-01-01,32,0,0,0,8,False
2020-02-01,37,0,0,0,15,False
2020-03-01,30,0,0,0,6,False
2020-04-01,33,0,0,0,5,False
2020-05-01,33,0,0,0,4,False
2020-06-01,29,0,0,0,5,False
2020-07-01,31,0,0,0,10,False
2020-08-01,30,0,0,0,8,False
2020-09-01,30,0,0,0,6,False
2020-10-01,26,0,0,0,6,False
