date,Wes Moore,Sebastian Junger,Jon Mooallem,Kitra Cahana,Iraola,isPartial
2004-01-01,20,33,13,0,20,False
2004-02-01,13,33,0,0,52,False
2004-03-01,0,27,16,0,16,False
2004-04-01,12,13,0,0,17,False
2004-05-01,0,25,0,0,14,False
2004-06-01,0,11,11,0,16,False
2004-07-01,11,22,0,0,15,False
2004-08-01,10,14,0,0,17,False
2004-09-01,19,24,0,0,24,False
2004-10-01,10,10,0,0,23,False
2004-11-01,10,23,0,0,29,False
2004-12-01,9,14,0,0,18,False
2005-01-01,8,13,0,0,27,False
2005-02-01,17,17,0,0,21,False
2005-03-01,11,16,0,0,16,False
2005-04-01,0,8,0,0,21,False
2005-05-01,7,9,0,0,23,False
2005-06-01,7,12,0,0,25,False
2005-07-01,0,11,0,0,21,False
2005-08-01,7,7,0,0,18,False
2005-09-01,6,29,6,0,25,False
2005-10-01,6,19,6,6,23,False
2005-11-01,6,10,6,6,23,False
2005-12-01,0,15,0,6,19,False
2006-01-01,7,7,0,5,15,False
2006-02-01,5,5,8,0,19,False
2006-03-01,4,15,4,4,32,False
2006-04-01,5,75,0,0,21,False
2006-05-01,4,30,0,0,20,False
2006-06-01,5,9,0,5,23,False
2006-07-01,5,7,0,9,28,False
2006-08-01,6,15,0,4,17,False
2006-09-01,6,15,0,4,15,False
2006-10-01,4,10,4,0,23,False
2006-11-01,5,10,0,4,22,False
2006-12-01,4,7,0,0,19,False
2007-01-01,5,16,3,3,24,False
2007-02-01,3,11,3,0,20,False
2007-03-01,6,6,0,0,34,False
2007-04-01,3,8,0,3,22,False
2007-05-01,3,9,3,3,21,False
2007-06-01,6,5,0,3,23,False
2007-07-01,10,8,3,4,19,False
2007-08-01,4,10,3,5,15,False
2007-09-01,4,10,0,0,28,False
2007-10-01,3,11,0,0,20,False
2007-11-01,2,6,2,2,18,False
2007-12-01,4,8,0,2,24,False
2008-01-01,3,8,0,2,16,False
2008-02-01,3,9,0,0,25,False
2008-03-01,3,10,0,0,22,False
2008-04-01,9,8,0,2,23,False
2008-05-01,3,8,2,0,23,False
