date,Peter Saul,Donald Sadoway,Regina Dugan,Leymah Gbowee,Iraola,isPartial
2017-11-01,8,1,2,5,14,False
2017-12-01,7,1,1,3,14,False
2018-01-01,8,1,2,3,19,False
2018-02-01,8,1,2,5,17,False
2018-03-01,7,0,1,7,14,False
2018-04-01,10,1,2,5,16,False
2018-05-01,7,2,1,6,17,False
2018-06-01,6,0,1,2,17,False
2018-07-01,6,1,1,3,16,False
2018-08-01,8,1,1,3,17,False
2018-09-01,7,1,0,5,18,False
2018-10-01,7,1,1,6,20,False
2018-11-01,7,1,2,6,17,False
2018-12-01,7,4,1,3,16,False
2019-01-01,8,2,1,5,16,False
2019-02-01,7,2,2,5,19,False
2019-03-01,7,1,1,8,15,False
2019-04-01,6,1,1,4,19,False
2019-05-01,6,1,1,3,16,False
2019-06-01,6,1,1,2,17,False
2019-07-01,6,1,1,2,24,False
2019-08-01,7,1,2,3,20,False
2019-09-01,8,1,1,4,17,False
2019-10-01,13,1,1,5,16,False
2019-11-01,10,1,1,5,16,False
2019-12-01,9,1,1,3,19,False
2020-01-01,11,1,1,3,28,False
2020-02-01,17,1,1,6,53,False
2020-03-01,12,1,1,6,21,False
2020-04-01,18,1,1,4,17,False
2020-05-01,12,1,1,3,14,False
2020-06-01,7,1,0,3,16,False
2020-07-01,7,1,0,2,34,False
2020-08-01,6,0,1,3,27,False
2020-09-01,8,1,1,3,19,False
2020-10-01,7,1,0,2,21,False
