date,Mac Stone,Martin Pistorius,Emilie Wapnick,Alice Bows-Larkin,Iraola,isPartial
2012-12-01,23,1,0,0,6,False
2013-01-01,24,1,0,0,6,False
2013-02-01,21,5,0,0,7,False
2013-03-01,20,2,0,0,6,False
2013-04-01,20,1,0,0,7,False
2013-05-01,18,1,0,0,6,False
2013-06-01,18,1,0,0,6,False
2013-07-01,22,1,0,0,6,False
2013-08-01,18,1,0,0,7,False
2013-09-01,17,0,0,0,8,False
2013-10-01,19,1,0,0,7,False
2013-11-01,15,0,0,0,6,False
2013-12-01,17,1,0,0,7,False
2014-01-01,17,0,0,0,6,False
2014-02-01,17,1,0,0,7,False
2014-03-01,16,3,0,0,8,False
2014-04-01,15,2,0,0,6,False
2014-05-01,16,2,0,0,7,False
2014-06-01,14,1,0,0,6,False
2014-07-01,15,1,0,0,7,False
2014-08-01,17,1,0,0,9,False
2014-09-01,15,2,0,0,10,False
2014-10-01,17,3,0,0,7,False
2014-11-01,15,0,0,0,7,False
2014-12-01,15,1,0,0,6,False
2015-01-01,19,100,0,0,6,False
2015-02-01,14,44,0,0,7,False
2015-03-01,15,17,0,0,10,False
2015-04-01,15,10,0,0,10,False
2015-05-01,16,12,0,0,27,False
2015-06-01,20,7,0,0,12,False
2015-07-01,18,5,0,0,14,False
2015-08-01,24,5,0,0,9,False
2015-09-01,25,11,0,0,8,False
2015-10-01,29,11,5,0,7,False
2015-11-01,33,7,2,0,6,False
2015-12-01,33,4,1,0,5,False
2016-01-01,32,7,2,0,7,False
2016-02-01,34,5,1,0,6,False
2016-03-01,25,2,1,0,7,False
2016-04-01,27,3,1,0,5,False
2016-05-01,23,3,1,0,9,False
2016-06-01,23,4,1,0,7,False
2016-07-01,19,5,0,0,8,False
2016-08-01,18,7,1,0,5,False
2016-09-01,18,4,1,0,7,False
2016-10-01,17,3,1,0,6,False
2016-11-01,17,4,0,0,9,False
2016-12-01,17,6,0,0,5,False
2017-01-01,18,4,1,0,5,False
2017-02-01,17,3,1,0,6,False
2017-03-01,14,3,1,0,5,False
2017-04-01,13,4,0,0,5,False
2017-05-01,11,9,1,0,6,False
2017-06-01,12,5,1,0,5,False
2017-07-01,15,7,0,0,5,False
2017-08-01,12,9,0,0,5,False
2017-09-01,13,3,1,0,5,False
2017-10-01,12,5,1,0,4,False
2017-11-01,12,2,1,0,4,False
2017-12-01,12,4,0,0,4,False
2018-01-01,11,3,1,0,5,False
2018-02-01,10,3,1,0,5,False
2018-03-01,10,4,1,0,4,False
2018-04-01,9,4,1,0,4,False
2018-05-01,9,4,1,0,5,False
2018-06-01,8,3,1,0,5,False
2018-07-01,9,7,0,0,4,False
2018-08-01,9,4,1,0,5,False
2018-09-01,14,3,0,0,5,False
2018-10-01,8,3,1,0,5,False
2018-11-01,11,3,0,0,5,False
2018-12-01,9,2,0,0,4,False
2019-01-01,8,3,0,0,4,False
2019-02-01,9,3,0,0,5,False
2019-03-01,8,2,1,0,4,False
2019-04-01,8,2,1,0,5,False
2019-05-01,8,1,1,0,4,False
2019-06-01,7,2,0,0,5,False
2019-07-01,7,1,0,0,7,False
2019-08-01,9,3,0,0,5,False
2019-09-01,8,2,1,0,5,False
2019-10-01,8,2,1,0,4,False
2019-11-01,7,2,0,0,4,False
2019-12-01,8,2,0,0,5,False
2020-01-01,8,2,1,0,8,False
2020-02-01,7,3,0,0,15,False
2020-03-01,7,3,0,0,6,False
2020-04-01,10,2,1,0,5,False
2020-05-01,10,5,0,0,4,False
2020-06-01,7,9,0,0,4,False
2020-07-01,7,6,0,0,9,False
2020-08-01,7,3,0,0,7,False
2020-09-01,7,9,0,0,5,False
2020-10-01,8,4,0,0,6,False
