date,James B. Glattfelder,Esther Perel,Young-ha Kim,Miguel Nicolelis,Iraola,isPartial
2004-01-01,0,0,0,7,11,False
2004-02-01,0,0,0,7,30,False
2004-03-01,0,0,0,15,9,False
2004-04-01,0,0,0,14,10,False
2004-05-01,0,0,0,6,8,False
2004-06-01,0,0,0,0,9,False
2004-07-01,0,0,0,6,9,False
2004-08-01,0,0,0,6,10,False
2004-09-01,0,0,0,5,14,False
2004-10-01,0,0,0,6,13,False
2004-11-01,0,0,0,11,17,False
2004-12-01,0,0,0,5,10,False
2005-01-01,0,5,0,5,15,False
2005-02-01,0,0,0,5,12,False
2005-03-01,0,0,0,12,9,False
2005-04-01,0,0,0,4,12,False
2005-05-01,0,0,0,6,13,False
2005-06-01,0,0,0,4,15,False
2005-07-01,0,4,4,0,12,False
2005-08-01,0,0,0,4,10,False
2005-09-01,0,4,0,4,14,False
2005-10-01,0,0,0,5,13,False
2005-11-01,0,3,0,5,13,False
2005-12-01,0,3,0,0,11,False
2006-01-01,0,3,0,4,9,False
2006-02-01,0,3,0,6,11,False
2006-03-01,0,0,0,5,19,False
2006-04-01,0,3,0,3,12,False
2006-05-01,0,0,0,3,12,False
2006-06-01,0,4,0,4,13,False
2006-07-01,0,0,0,8,16,False
2006-08-01,0,4,0,2,10,False
2006-09-01,0,2,2,2,9,False
2006-10-01,0,4,0,4,13,False
2006-11-01,0,3,0,2,12,False
2006-12-01,0,3,2,4,11,False
2007-01-01,0,7,2,3,14,False
2007-02-01,0,7,0,2,12,False
2007-03-01,0,5,0,2,19,False
2007-04-01,0,3,0,2,12,False
2007-05-01,0,2,0,0,12,False
2007-06-01,0,4,2,2,13,False
2007-07-01,0,3,0,2,11,False
2007-08-01,0,2,0,0,8,False
2007-09-01,0,3,1,2,16,False
2007-10-01,0,14,0,0,12,False
2007-11-01,0,6,0,1,10,False
2007-12-01,0,6,0,3,14,False
2008-01-01,0,2,0,4,9,False
2008-02-01,0,2,0,2,14,False
2008-03-01,0,1,1,3,13,False
2008-04-01,0,2,0,2,13,False
2008-05-01,0,3,0,2,13,False
2008-06-01,0,2,0,3,12,False
2008-07-01,0,1,0,3,7,False
2008-08-01,0,3,0,4,16,False
2008-09-01,0,3,0,3,18,False
2008-10-01,0,2,0,7,15,False
2008-11-01,0,1,0,5,15,False
2008-12-01,0,2,0,2,12,False
2009-01-01,0,1,0,1,15,False
2009-02-01,0,1,1,4,17,False
2009-03-01,0,1,0,6,12,False
2009-04-01,0,1,0,3,16,False
2009-05-01,0,2,1,4,19,False
2009-06-01,0,1,0,7,13,False
2009-07-01,0,2,0,3,13,False
2009-08-01,0,1,1,6,16,False
2009-09-01,0,1,0,4,19,False
2009-10-01,0,1,0,3,14,False
2009-11-01,0,3,0,2,18,False
2009-12-01,0,2,1,1,13,False
2010-01-01,0,1,1,1,17,False
