date,Malcolm Gladwell,Dan Gilbert,Barry Schwartz,Eva Vertes,Iraola,isPartial
2004-01-01,4,1,3,0,1,False
2004-02-01,6,5,2,0,3,False
2004-03-01,5,2,4,0,1,False
2004-04-01,4,0,2,0,3,False
2004-05-01,3,3,1,0,1,False
2004-06-01,5,2,0,0,3,False
2004-07-01,4,3,0,0,2,False
2004-08-01,2,2,1,0,2,False
2004-09-01,5,1,1,0,4,False
2004-10-01,6,1,2,0,3,False
2004-11-01,8,2,1,0,3,False
2004-12-01,8,4,3,0,3,False
2005-01-01,22,3,2,0,2,False
2005-02-01,20,2,2,0,1,False
2005-03-01,16,4,1,0,1,False
2005-04-01,17,4,2,0,1,False
2005-05-01,10,2,2,0,3,False
2005-06-01,11,4,2,0,2,False
2005-07-01,7,2,1,0,2,False
2005-08-01,11,1,2,1,1,False
2005-09-01,11,1,1,0,4,False
2005-10-01,14,2,2,1,3,False
2005-11-01,10,2,1,0,2,False
2005-12-01,8,1,1,0,2,False
2006-01-01,12,2,1,0,1,False
2006-02-01,15,2,1,0,2,False
2006-03-01,17,2,1,0,2,False
2006-04-01,12,1,1,0,2,False
2006-05-01,11,2,2,0,3,False
2006-06-01,9,2,1,0,2,False
2006-07-01,10,1,1,0,2,False
2006-08-01,11,1,0,0,1,False
2006-09-01,10,1,2,0,2,False
2006-10-01,11,1,1,0,2,False
2006-11-01,8,2,1,1,3,False
2006-12-01,8,2,1,0,2,False
2007-01-01,12,1,0,0,2,False
2007-02-01,7,2,0,1,3,False
2007-03-01,8,1,1,0,2,False
2007-04-01,8,2,1,0,2,False
2007-05-01,7,2,1,0,2,False
2007-06-01,8,5,1,0,2,False
2007-07-01,6,3,1,1,2,False
2007-08-01,7,2,1,0,2,False
2007-09-01,7,1,2,0,2,False
2007-10-01,5,2,2,0,2,False
2007-11-01,6,2,1,0,2,False
2007-12-01,7,2,1,0,2,False
2008-01-01,9,2,1,0,2,False
2008-02-01,7,2,1,0,2,False
2008-03-01,6,1,1,0,2,False
2008-04-01,5,1,1,0,3,False
2008-05-01,7,1,1,1,2,False
2008-06-01,4,2,0,0,2,False
2008-07-01,5,2,1,0,1,False
2008-08-01,7,1,1,0,3,False
2008-09-01,6,2,1,0,3,False
2008-10-01,8,2,1,0,2,False
2008-11-01,28,1,1,0,2,False
2008-12-01,31,2,1,0,2,False
2009-01-01,23,2,1,0,2,False
2009-02-01,14,2,2,0,3,False
2009-03-01,15,3,2,0,2,False
2009-04-01,16,2,1,0,3,False
2009-05-01,23,3,1,0,3,False
2009-06-01,16,2,1,0,3,False
2009-07-01,18,2,1,0,3,False
2009-08-01,20,1,1,0,2,False
2009-09-01,19,2,1,0,4,False
2009-10-01,23,2,1,0,3,False
2009-11-01,29,3,1,0,3,False
2009-12-01,26,1,1,0,2,False
2010-01-01,23,2,2,0,3,False
2010-02-01,19,2,1,0,2,False
2010-03-01,18,2,2,0,2,False
2010-04-01,16,2,1,0,3,False
2010-05-01,15,5,1,0,2,False
2010-06-01,14,4,1,0,2,False
2010-07-01,15,100,1,0,2,False
2010-08-01,15,5,1,0,2,False
2010-09-01,16,5,1,0,3,False
2010-10-01,20,5,1,0,3,False
2010-11-01,15,3,1,0,3,False
2010-12-01,15,5,1,0,3,False
2011-01-01,18,4,3,0,2,False
2011-02-01,31,3,1,0,3,False
2011-03-01,18,3,2,0,4,False
2011-04-01,14,2,1,0,3,False
2011-05-01,14,6,1,0,3,False
2011-06-01,15,9,1,0,3,False
2011-07-01,13,2,1,0,2,False
2011-08-01,16,2,1,0,3,False
2011-09-01,15,1,1,0,3,False
2011-10-01,16,3,2,0,3,False
2011-11-01,16,2,1,0,2,False
2011-12-01,15,11,1,0,2,False
2012-01-01,13,4,1,0,2,False
2012-02-01,11,3,1,0,3,False
2012-03-01,13,2,1,0,4,False
2012-04-01,13,2,1,0,3,False
2012-05-01,12,3,2,0,3,False
2012-06-01,15,10,1,0,2,False
2012-07-01,13,3,1,0,2,False
2012-08-01,13,2,1,0,2,False
2012-09-01,13,2,1,0,2,False
2012-10-01,13,3,1,0,2,False
2012-11-01,13,2,1,0,2,False
2012-12-01,13,2,1,0,2,False
2013-01-01,12,3,1,0,2,False
2013-02-01,13,3,1,0,2,False
2013-03-01,11,4,1,0,2,False
2013-04-01,10,4,1,0,2,False
2013-05-01,11,7,1,0,2,False
2013-06-01,10,4,1,0,2,False
2013-07-01,15,3,1,0,2,False
2013-08-01,13,2,1,0,2,False
2013-09-01,18,3,1,0,2,False
2013-10-01,39,4,1,0,2,False
2013-11-01,36,3,1,0,2,False
2013-12-01,26,3,1,0,2,False
2014-01-01,24,3,1,0,2,False
2014-02-01,17,3,1,0,2,False
2014-03-01,17,4,1,0,2,False
2014-04-01,16,3,1,0,2,False
2014-05-01,15,4,1,0,2,False
2014-06-01,15,6,1,0,1,False
2014-07-01,21,40,1,0,2,False
2014-08-01,19,4,0,0,3,False
2014-09-01,17,4,1,0,3,False
2014-10-01,14,4,1,0,2,False
2014-11-01,13,5,1,0,2,False
2014-12-01,12,6,1,0,2,False
2015-01-01,13,6,1,0,2,False
2015-02-01,12,5,1,0,2,False
2015-03-01,12,4,1,0,3,False
2015-04-01,13,4,1,0,4,False
2015-05-01,10,6,1,0,8,False
2015-06-01,12,6,1,0,3,False
2015-07-01,11,5,1,0,4,False
2015-08-01,13,4,1,0,3,False
2015-09-01,12,3,2,0,2,False
2015-10-01,12,4,1,0,2,False
2015-11-01,12,3,1,0,2,False
2015-12-01,11,2,1,0,2,False
2016-01-01,11,4,1,0,2,False
2016-02-01,10,3,1,0,2,False
2016-03-01,9,3,1,0,2,False
2016-04-01,9,4,1,0,2,False
2016-05-01,9,6,1,0,2,False
2016-06-01,15,21,1,0,2,False
2016-07-01,18,5,1,0,2,False
2016-08-01,24,3,0,0,2,False
2016-09-01,17,3,1,0,2,False
2016-10-01,13,5,1,0,2,False
2016-11-01,18,3,1,0,2,False
2016-12-01,12,3,1,0,2,False
2017-01-01,12,4,1,0,1,False
2017-02-01,13,5,1,0,2,False
2017-03-01,11,3,1,0,1,False
2017-04-01,10,3,1,0,1,False
2017-05-01,10,3,1,0,1,False
2017-06-01,13,10,1,0,1,False
2017-07-01,18,8,1,0,1,False
2017-08-01,15,5,1,0,1,False
2017-09-01,14,4,1,0,1,False
2017-10-01,12,5,1,0,1,False
2017-11-01,11,3,1,0,1,False
2017-12-01,11,3,1,0,1,False
2018-01-01,10,5,1,0,1,False
2018-02-01,12,7,1,0,1,False
2018-03-01,11,3,1,0,1,False
2018-04-01,11,4,1,0,1,False
2018-05-01,14,7,1,0,2,False
2018-06-01,14,11,1,0,1,False
2018-07-01,14,8,0,0,1,False
2018-08-01,14,2,1,0,1,False
2018-09-01,14,3,1,0,2,False
2018-10-01,11,3,1,0,1,False
2018-11-01,11,4,0,0,1,False
2018-12-01,10,2,1,0,1,False
2019-01-01,12,3,1,0,1,False
2019-02-01,10,2,1,0,2,False
2019-03-01,10,2,1,0,1,False
2019-04-01,9,3,1,0,1,False
2019-05-01,10,12,1,0,1,False
2019-06-01,10,6,0,0,1,False
2019-07-01,12,3,1,0,2,False
2019-08-01,15,3,1,0,2,False
2019-09-01,31,2,0,0,1,False
2019-10-01,21,3,1,0,1,False
2019-11-01,26,2,1,0,1,False
2019-12-01,20,2,1,0,1,False
2020-01-01,20,2,1,0,2,False
2020-02-01,15,4,1,0,4,False
2020-03-01,13,2,1,0,2,False
2020-04-01,14,2,0,0,1,False
2020-05-01,13,2,1,0,1,False
2020-06-01,17,3,1,0,1,False
2020-07-01,14,2,1,0,3,False
2020-08-01,14,5,1,0,2,False
2020-09-01,12,3,1,0,2,False
2020-10-01,11,2,1,0,2,False
2020-11-01,9,2,1,0,2,True
