date,Corneille Ewango,Torsten Reil,Clay Shirky,Freeman Dyson,Iraola,isPartial
2004-01-01,0,15,0,25,23,False
2004-02-01,0,0,15,35,60,False
2004-03-01,0,0,19,19,18,False
2004-04-01,0,0,29,29,19,False
2004-05-01,0,0,25,42,17,False
2004-06-01,0,0,12,31,19,False
2004-07-01,0,13,13,30,17,False
2004-08-01,0,12,16,42,20,False
2004-09-01,0,0,11,15,28,False
2004-10-01,0,0,11,57,26,False
2004-11-01,0,0,11,38,34,False
2004-12-01,0,0,21,26,21,False
2005-01-01,0,0,9,25,31,False
2005-02-01,0,10,23,23,24,False
2005-03-01,0,0,16,30,19,False
2005-04-01,0,9,23,30,24,False
2005-05-01,0,0,8,24,27,False
2005-06-01,0,0,13,28,29,False
2005-07-01,0,0,16,19,25,False
2005-08-01,0,0,11,11,21,False
2005-09-01,0,0,7,22,29,False
2005-10-01,0,7,7,16,27,False
2005-11-01,0,7,20,36,27,False
2005-12-01,0,0,10,20,22,False
2006-01-01,0,0,15,12,17,False
2006-02-01,0,0,6,14,22,False
2006-03-01,0,5,8,24,38,False
2006-04-01,0,0,15,28,24,False
2006-05-01,0,0,13,19,24,False
2006-06-01,0,0,16,25,27,False
2006-07-01,0,0,5,21,32,False
2006-08-01,0,0,5,13,20,False
2006-09-01,0,0,8,13,17,False
2006-10-01,0,9,13,20,27,False
2006-11-01,0,0,7,18,25,False
2006-12-01,0,0,7,9,22,False
2007-01-01,0,0,7,17,27,False
2007-02-01,0,0,7,20,24,False
2007-03-01,0,0,12,7,39,False
2007-04-01,0,0,9,18,25,False
2007-05-01,0,3,9,10,25,False
2007-06-01,0,0,8,14,27,False
2007-07-01,0,0,9,16,22,False
2007-08-01,0,0,4,39,17,False
2007-09-01,0,0,3,20,32,False
2007-10-01,0,0,8,25,24,False
2007-11-01,0,0,6,24,21,False
2007-12-01,0,0,6,20,28,False
2008-01-01,0,0,6,20,18,False
2008-02-01,0,0,12,18,29,False
2008-03-01,0,2,18,16,25,False
2008-04-01,0,2,31,18,27,False
2008-05-01,0,0,25,25,27,False
2008-06-01,0,2,16,23,24,False
2008-07-01,0,0,16,27,15,False
2008-08-01,0,2,14,16,32,False
2008-09-01,0,2,19,12,35,False
2008-10-01,0,2,12,12,30,False
2008-11-01,0,0,11,14,31,False
2008-12-01,0,0,18,12,25,False
2009-01-01,0,2,19,19,30,False
2009-02-01,0,0,20,16,35,False
2009-03-01,0,0,37,61,24,False
2009-04-01,0,0,26,52,32,False
2009-05-01,0,2,21,19,39,False
2009-06-01,0,2,33,14,27,False
2009-07-01,0,0,21,19,26,False
2009-08-01,0,2,25,28,32,False
2009-09-01,0,0,14,20,38,False
2009-10-01,0,0,27,24,28,False
2009-11-01,0,1,23,30,36,False
2009-12-01,0,0,19,29,27,False
2010-01-01,0,1,22,17,35,False
2010-02-01,0,1,26,17,18,False
2010-03-01,0,1,18,16,26,False
2010-04-01,0,1,23,8,27,False
2010-05-01,0,1,16,16,24,False
2010-06-01,0,3,38,19,29,False
2010-07-01,0,1,37,13,20,False
2010-08-01,0,1,27,15,27,False
2010-09-01,0,1,23,13,32,False
2010-10-01,0,0,20,12,34,False
2010-11-01,0,1,20,17,42,False
2010-12-01,0,1,27,14,34,False
2011-01-01,0,0,25,14,28,False
2011-02-01,0,1,22,21,38,False
2011-03-01,0,1,29,15,46,False
2011-04-01,0,1,18,15,34,False
2011-05-01,0,1,20,18,31,False
2011-06-01,0,1,16,15,33,False
2011-07-01,0,1,8,13,28,False
2011-08-01,0,2,13,12,42,False
2011-09-01,0,0,12,19,34,False
2011-10-01,0,1,17,10,32,False
2011-11-01,0,2,12,11,28,False
2011-12-01,0,1,9,18,27,False
2012-01-01,0,2,32,12,25,False
2012-02-01,0,1,19,17,30,False
2012-03-01,0,1,18,13,54,False
2012-04-01,0,1,16,13,34,False
2012-05-01,0,1,17,12,41,False
2012-06-01,0,0,11,12,32,False
2012-07-01,0,1,6,10,23,False
2012-08-01,0,1,9,15,24,False
2012-09-01,0,1,11,11,26,False
2012-10-01,0,2,21,18,25,False
2012-11-01,0,1,18,16,27,False
2012-12-01,0,2,13,14,23,False
2013-01-01,0,1,11,11,24,False
2013-02-01,0,1,8,11,25,False
2013-03-01,0,1,12,14,23,False
2013-04-01,0,1,14,17,25,False
2013-05-01,0,1,7,17,21,False
2013-06-01,0,0,7,9,23,False
2013-07-01,0,0,6,13,23,False
2013-08-01,0,1,6,15,24,False
2013-09-01,0,1,9,12,30,False
2013-10-01,0,1,10,12,26,False
2013-11-01,0,1,10,16,24,False
2013-12-01,0,0,6,17,25,False
2014-01-01,0,1,7,14,22,False
