date,Zach Kaplan + Keith Schacht,Newton Aduaka,Jackie Tabick,Dayananda Saraswati,Iraola,isPartial
2015-09-01,1,0,0,40,30,False
2015-10-01,1,0,0,13,24,False
2015-11-01,2,0,0,8,23,False
2015-12-01,1,0,0,9,20,False
2016-01-01,1,0,0,8,24,False
2016-02-01,1,1,0,6,23,False
2016-03-01,1,0,0,6,26,False
2016-04-01,1,0,0,4,18,False
2016-05-01,1,0,0,4,32,False
2016-06-01,1,0,1,6,26,False
2016-07-01,1,1,0,7,28,False
2016-08-01,0,0,0,4,18,False
2016-09-01,1,0,0,6,25,False
2016-10-01,1,0,0,9,24,False
2016-11-01,1,0,0,9,33,False
2016-12-01,0,0,0,5,19,False
2017-01-01,1,0,0,4,18,False
2017-02-01,0,0,0,7,21,False
2017-03-01,1,0,0,3,18,False
2017-04-01,1,0,0,6,19,False
2017-05-01,1,0,0,5,24,False
2017-06-01,1,0,0,5,19,False
2017-07-01,1,0,0,4,20,False
2017-08-01,1,0,0,6,18,False
2017-09-01,1,0,0,6,18,False
2017-10-01,1,0,0,5,16,False
2017-11-01,1,0,0,4,14,False
2017-12-01,1,0,0,5,14,False
2018-01-01,1,0,0,8,19,False
2018-02-01,1,0,0,9,17,False
2018-03-01,1,0,0,6,14,False
2018-04-01,1,0,0,4,16,False
2018-05-01,1,0,0,6,17,False
2018-06-01,0,0,0,6,17,False
2018-07-01,1,0,0,6,16,False
2018-08-01,1,0,0,5,17,False
2018-09-01,1,0,0,5,18,False
2018-10-01,1,0,0,4,20,False
2018-11-01,1,0,0,4,17,False
2018-12-01,1,0,0,3,16,False
2019-01-01,0,0,0,6,16,False
2019-02-01,0,0,0,5,19,False
2019-03-01,1,0,0,3,15,False
2019-04-01,1,0,0,3,19,False
2019-05-01,1,0,0,2,16,False
2019-06-01,0,0,0,2,17,False
2019-07-01,1,0,0,4,24,False
2019-08-01,1,0,0,5,20,False
2019-09-01,0,0,0,7,17,False
2019-10-01,0,0,0,5,16,False
2019-11-01,1,0,0,4,16,False
2019-12-01,0,0,0,5,19,False
