date,Robert Lang,Bruno Bowden + Rufus Cappadocia,Patricia Burchat,Spencer Wells,Iraola,isPartial
2004-01-01,54,0,0,21,16,False
2004-02-01,64,0,11,37,43,False
2004-03-01,62,0,0,46,13,False
2004-04-01,58,0,0,15,14,False
2004-05-01,41,0,0,12,12,False
2004-06-01,53,0,0,53,13,False
2004-07-01,40,0,0,12,12,False
2004-08-01,43,0,0,20,14,False
2004-09-01,34,0,0,47,20,False
2004-10-01,35,0,0,22,19,False
2004-11-01,46,0,0,16,24,False
2004-12-01,50,0,0,11,15,False
2005-01-01,57,0,0,15,22,False
2005-02-01,33,0,7,9,17,False
2005-03-01,45,0,0,23,14,False
2005-04-01,39,0,0,48,17,False
2005-05-01,34,0,0,21,19,False
2005-06-01,40,0,0,17,21,False
2005-07-01,37,0,0,21,18,False
2005-08-01,23,0,0,24,15,False
2005-09-01,39,0,0,22,20,False
2005-10-01,24,0,0,12,19,False
2005-11-01,53,0,0,21,19,False
2005-12-01,61,0,0,24,16,False
2006-01-01,53,0,0,26,12,False
2006-02-01,48,0,0,19,16,False
2006-03-01,36,0,0,22,27,False
2006-04-01,42,0,0,12,17,False
2006-05-01,38,0,0,24,17,False
2006-06-01,32,0,0,19,19,False
2006-07-01,38,0,0,8,23,False
2006-08-01,29,0,0,12,14,False
2006-09-01,38,0,0,15,12,False
2006-10-01,38,0,0,10,19,False
2006-11-01,31,0,3,19,18,False
2006-12-01,32,0,0,12,15,False
2007-01-01,35,0,0,12,20,False
2007-02-01,72,0,0,13,17,False
2007-03-01,57,0,0,12,28,False
2007-04-01,38,0,0,9,18,False
2007-05-01,51,0,0,13,18,False
2007-06-01,33,0,0,11,19,False
2007-07-01,28,0,2,10,16,False
2007-08-01,32,0,0,48,12,False
2007-09-01,24,0,2,16,23,False
2007-10-01,34,0,0,15,17,False
2007-11-01,25,0,0,14,15,False
2007-12-01,33,0,0,14,20,False
2008-01-01,58,0,0,10,13,False
2008-02-01,44,0,0,13,21,False
2008-03-01,39,0,0,13,18,False
2008-04-01,28,0,0,12,19,False
2008-05-01,30,0,0,10,19,False
2008-06-01,29,0,0,9,17,False
2008-07-01,29,0,0,10,11,False
2008-08-01,40,0,2,9,23,False
2008-09-01,100,0,3,14,25,False
2008-10-01,39,0,0,8,22,False
2008-11-01,42,0,1,11,22,False
2008-12-01,53,0,1,11,18,False
2009-01-01,53,0,1,9,21,False
2009-02-01,66,0,0,15,25,False
2009-03-01,38,0,4,8,17,False
2009-04-01,50,0,0,10,22,False
2009-05-01,28,0,1,12,28,False
2009-06-01,31,0,0,8,19,False
2009-07-01,39,0,0,9,19,False
2009-08-01,37,0,1,9,23,False
2009-09-01,55,0,1,12,27,False
2009-10-01,36,0,0,14,20,False
2009-11-01,37,0,1,13,26,False
2009-12-01,31,0,1,12,19,False
2010-01-01,38,0,0,16,25,False
2010-02-01,29,0,1,11,13,False
2010-03-01,29,0,1,10,19,False
2010-04-01,30,0,1,10,20,False
2010-05-01,30,0,0,9,17,False
2010-06-01,24,0,0,26,21,False
2010-07-01,21,0,1,13,15,False
2010-08-01,23,0,1,11,19,False
2010-09-01,22,0,1,14,23,False
2010-10-01,27,0,1,13,24,False
2010-11-01,22,0,1,14,30,False
2010-12-01,34,0,1,15,24,False
2011-01-01,41,0,0,10,20,False
2011-02-01,35,0,0,9,27,False
2011-03-01,25,0,0,10,32,False
2011-04-01,26,0,1,12,24,False
2011-05-01,37,0,0,10,22,False
2011-06-01,26,0,1,9,23,False
2011-07-01,24,0,0,10,20,False
2011-08-01,21,0,0,10,30,False
2011-09-01,20,0,0,14,24,False
2011-10-01,20,0,1,11,23,False
2011-11-01,24,0,1,8,20,False
2011-12-01,29,0,1,15,19,False
2012-01-01,37,0,1,13,18,False
2012-02-01,27,0,1,9,21,False
2012-03-01,41,0,1,8,39,False
2012-04-01,23,0,1,8,24,False
2012-05-01,23,0,1,10,29,False
2012-06-01,21,0,0,8,23,False
2012-07-01,21,0,0,10,16,False
2012-08-01,21,0,1,9,17,False
2012-09-01,18,0,1,10,19,False
2012-10-01,23,0,1,10,18,False
2012-11-01,22,0,0,11,19,False
2012-12-01,24,0,0,9,17,False
2013-01-01,26,0,1,14,17,False
2013-02-01,26,0,0,11,18,False
2013-03-01,20,0,0,13,16,False
2013-04-01,19,0,0,12,18,False
2013-05-01,19,0,1,9,15,False
2013-06-01,17,0,1,10,17,False
2013-07-01,18,0,0,9,17,False
2013-08-01,18,0,0,10,17,False
2013-09-01,15,0,0,8,21,False
2013-10-01,17,0,1,9,18,False
2013-11-01,15,0,0,12,17,False
2013-12-01,21,0,0,12,17,False
2014-01-01,28,0,0,9,16,False
2014-02-01,19,0,0,12,18,False
2014-03-01,19,0,0,11,20,False
2014-04-01,18,0,1,9,16,False
2014-05-01,15,0,0,6,18,False
2014-06-01,14,0,0,8,15,False
2014-07-01,15,0,1,7,18,False
2014-08-01,17,0,0,10,24,False
2014-09-01,15,0,0,7,25,False
2014-10-01,15,0,0,10,20,False
2014-11-01,20,0,1,10,18,False
2014-12-01,24,0,0,11,15,False
2015-01-01,26,0,1,8,15,False
2015-02-01,17,0,0,8,19,False
2015-03-01,16,0,0,11,26,False
2015-04-01,15,0,0,10,27,False
2015-05-01,14,0,0,7,71,False
2015-06-01,14,0,0,8,31,False
2015-07-01,14,0,0,6,36,False
2015-08-01,15,0,0,7,24,False
2015-09-01,14,0,0,9,21,False
2015-10-01,14,0,0,9,17,False
2015-11-01,13,0,0,9,16,False
2015-12-01,18,0,0,10,14,False
2016-01-01,22,0,0,7,17,False
2016-02-01,15,0,0,8,17,False
2016-03-01,15,0,0,7,18,False
2016-04-01,14,0,0,6,13,False
2016-05-01,15,0,0,8,23,False
2016-06-01,15,0,0,6,18,False
2016-07-01,9,0,0,7,20,False
2016-08-01,13,0,0,6,13,False
2016-09-01,13,0,0,7,18,False
2016-10-01,15,0,0,6,17,False
2016-11-01,13,0,0,6,24,False
2016-12-01,13,0,0,6,13,False
2017-01-01,18,0,0,6,13,False
2017-02-01,13,0,0,6,15,False
2017-03-01,25,0,0,10,13,False
2017-04-01,16,0,0,7,13,False
2017-05-01,14,0,0,8,17,False
2017-06-01,13,0,0,5,13,False
2017-07-01,14,0,0,7,14,False
2017-08-01,12,0,0,6,13,False
2017-09-01,11,0,0,5,13,False
2017-10-01,11,0,0,8,11,False
2017-11-01,14,0,0,7,10,False
2017-12-01,16,0,0,8,10,False
2018-01-01,19,0,0,7,14,False
2018-02-01,15,0,0,7,12,False
2018-03-01,11,0,0,6,10,False
2018-04-01,13,0,0,5,12,False
2018-05-01,11,0,0,7,12,False
2018-06-01,13,0,0,7,12,False
2018-07-01,9,0,0,7,11,False
2018-08-01,14,0,0,6,12,False
2018-09-01,13,0,0,6,13,False
2018-10-01,12,0,0,7,14,False
2018-11-01,10,0,0,5,12,False
2018-12-01,14,0,0,8,11,False
2019-01-01,17,0,0,6,11,False
2019-02-01,12,0,0,6,13,False
2019-03-01,13,0,0,8,11,False
2019-04-01,12,0,0,6,14,False
2019-05-01,13,0,0,5,11,False
2019-06-01,10,0,0,6,12,False
2019-07-01,8,0,0,5,17,False
2019-08-01,12,0,0,6,14,False
2019-09-01,11,0,1,7,12,False
2019-10-01,12,0,0,5,12,False
2019-11-01,13,0,0,6,12,False
2019-12-01,14,0,0,7,13,False
2020-01-01,19,0,0,6,20,False
2020-02-01,13,0,0,6,38,False
2020-03-01,14,0,0,6,15,False
2020-04-01,15,0,0,6,12,False
2020-05-01,13,0,0,6,10,False
2020-06-01,10,0,0,7,11,False
2020-07-01,10,0,0,6,24,False
2020-08-01,11,0,0,5,19,False
2020-09-01,12,0,0,6,14,False
2020-10-01,10,0,0,6,15,False
