date,Sarah Lewis,Michel Laberge,Hamish Jolly,James Patten,Iraola,isPartial
2016-02-01,25,1,0,2,23,False
2016-03-01,32,1,0,1,26,False
2016-04-01,30,1,0,2,18,False
2016-05-01,34,1,0,2,32,False
2016-06-01,28,1,2,2,26,False
2016-07-01,26,1,1,1,28,False
2016-08-01,27,1,0,2,18,False
2016-09-01,28,0,0,2,25,False
2016-10-01,27,1,0,1,24,False
2016-11-01,24,1,0,1,33,False
2016-12-01,26,1,1,3,19,False
2017-01-01,34,1,0,2,18,False
2017-02-01,34,1,0,2,21,False
2017-03-01,26,1,1,1,18,False
2017-04-01,27,1,0,2,19,False
2017-05-01,21,1,0,2,24,False
2017-06-01,21,1,0,2,19,False
2017-07-01,26,0,0,1,20,False
2017-08-01,36,1,0,2,18,False
2017-09-01,24,1,0,1,18,False
2017-10-01,27,1,0,2,16,False
2017-11-01,27,1,0,1,14,False
2017-12-01,30,0,0,2,14,False
2018-01-01,29,1,0,2,19,False
2018-02-01,27,1,0,1,17,False
2018-03-01,24,1,1,2,14,False
2018-04-01,22,1,0,1,16,False
2018-05-01,20,0,0,1,17,False
2018-06-01,19,0,1,2,17,False
2018-07-01,24,0,0,2,16,False
2018-08-01,23,0,0,2,17,False
2018-09-01,22,0,0,2,18,False
2018-10-01,27,1,0,2,20,False
2018-11-01,24,1,0,2,17,False
2018-12-01,24,0,0,2,16,False
2019-01-01,23,1,1,2,16,False
2019-02-01,25,0,1,1,19,False
2019-03-01,22,1,0,1,15,False
2019-04-01,24,1,0,2,19,False
2019-05-01,25,1,0,2,16,False
2019-06-01,23,0,1,2,17,False
2019-07-01,23,0,0,1,24,False
2019-08-01,26,0,0,1,20,False
2019-09-01,28,1,0,1,17,False
2019-10-01,32,1,0,2,16,False
2019-11-01,29,1,0,1,16,False
2019-12-01,26,0,0,2,19,False
2020-01-01,27,1,0,1,28,False
2020-02-01,27,1,0,1,54,False
2020-03-01,23,0,0,1,21,False
2020-04-01,22,0,0,1,17,False
2020-05-01,25,0,0,1,14,False
2020-06-01,25,1,0,2,16,False
2020-07-01,32,0,0,3,34,False
2020-08-01,27,0,0,1,27,False
2020-09-01,24,0,0,1,19,False
2020-10-01,32,1,0,1,21,False
