date,Krista Tippett,Patricia Kuhl,Lisa Gansky,Madeleine Albright,Iraola,isPartial
2004-01-01,0,0,7,44,10,False
2004-02-01,0,0,0,44,34,False
2004-03-01,0,0,0,33,8,False
2004-04-01,0,0,0,39,10,False
2004-05-01,6,6,0,17,8,False
2004-06-01,0,0,0,11,6,False
2004-07-01,6,0,0,29,9,False
2004-08-01,5,0,0,22,11,False
2004-09-01,0,0,0,37,15,False
2004-10-01,0,5,0,38,15,False
2004-11-01,0,0,0,48,15,False
2004-12-01,5,0,0,14,10,False
2005-01-01,4,0,4,21,17,False
2005-02-01,4,4,0,26,13,False
2005-03-01,0,4,0,37,7,False
2005-04-01,0,0,4,20,10,False
2005-05-01,0,5,0,13,7,False
2005-06-01,0,0,0,13,13,False
2005-07-01,4,0,0,13,13,False
2005-08-01,4,4,0,18,11,False
2005-09-01,0,0,0,23,13,False
2005-10-01,0,3,3,27,11,False
2005-11-01,3,3,0,12,11,False
2005-12-01,0,0,0,10,13,False
2006-01-01,3,5,0,17,8,False
2006-02-01,0,0,0,13,9,False
2006-03-01,2,6,0,30,18,False
2006-04-01,3,0,2,15,14,False
2006-05-01,3,2,2,41,8,False
2006-06-01,2,2,0,18,10,False
2006-07-01,0,2,0,14,12,False
2006-08-01,2,2,2,9,10,False
2006-09-01,0,0,0,22,9,False
2006-10-01,2,2,2,27,15,False
2006-11-01,2,3,2,7,14,False
2006-12-01,2,2,2,12,8,False
2007-01-01,3,3,2,14,13,False
2007-02-01,4,2,0,17,11,False
2007-03-01,5,0,0,11,18,False
2007-04-01,2,2,0,15,14,False
2007-05-01,2,0,0,13,12,False
2007-06-01,4,1,1,11,13,False
2007-07-01,1,2,0,11,10,False
2007-08-01,2,1,0,7,7,False
2007-09-01,3,1,0,14,14,False
2007-10-01,1,1,1,21,10,False
2007-11-01,1,2,0,14,8,False
2007-12-01,4,1,0,15,12,False
2008-01-01,2,3,0,21,7,False
2008-02-01,3,1,0,18,12,False
2008-03-01,3,1,0,19,12,False
2008-04-01,3,1,0,13,12,False
2008-05-01,3,1,1,15,10,False
2008-06-01,1,1,0,9,11,False
2008-07-01,2,1,0,7,7,False
2008-08-01,4,1,1,7,14,False
2008-09-01,5,1,1,20,15,False
2008-10-01,4,1,0,16,13,False
2008-11-01,1,2,0,34,12,False
2008-12-01,3,1,0,16,13,False
2009-01-01,2,2,0,12,15,False
2009-02-01,1,0,0,10,14,False
2009-03-01,3,2,0,14,9,False
2009-04-01,2,0,0,11,16,False
2009-05-01,3,0,1,9,16,False
2009-06-01,2,1,0,7,12,False
2009-07-01,2,1,0,10,12,False
2009-08-01,1,0,0,14,15,False
2009-09-01,3,1,0,18,15,False
2009-10-01,3,1,0,30,11,False
2009-11-01,4,1,0,22,15,False
2009-12-01,3,0,0,23,12,False
2010-01-01,2,1,0,18,16,False
2010-02-01,3,2,1,15,9,False
2010-03-01,6,1,1,13,12,False
2010-04-01,4,1,1,16,10,False
2010-05-01,3,1,0,20,11,False
2010-06-01,2,1,1,14,14,False
2010-07-01,2,0,0,13,7,False
2010-08-01,3,1,0,16,13,False
2010-09-01,4,1,3,15,15,False
2010-10-01,6,1,1,14,15,False
2010-11-01,7,1,0,18,18,False
2010-12-01,8,1,1,16,15,False
2011-01-01,7,0,1,15,14,False
2011-02-01,8,3,1,22,15,False
2011-03-01,7,2,1,20,21,False
2011-04-01,7,1,0,18,15,False
2011-05-01,5,2,0,24,13,False
2011-06-01,5,0,1,11,15,False
2011-07-01,4,1,2,15,11,False
2011-08-01,5,0,0,11,19,False
2011-09-01,5,1,1,13,16,False
2011-10-01,7,2,0,14,14,False
2011-11-01,5,2,1,20,11,False
2011-12-01,5,1,1,36,12,False
2012-01-01,7,1,1,20,11,False
2012-02-01,5,1,1,16,15,False
2012-03-01,7,1,1,18,25,False
2012-04-01,5,2,0,46,13,False
2012-05-01,5,1,0,36,19,False
2012-06-01,4,0,1,18,15,False
2012-07-01,7,1,0,13,10,False
2012-08-01,3,1,1,19,12,False
2012-09-01,5,1,0,34,13,False
2012-10-01,6,2,0,32,10,False
2012-11-01,6,2,1,29,13,False
2012-12-01,5,1,0,21,10,False
2013-01-01,7,1,1,23,10,False
2013-02-01,6,1,0,23,11,False
2013-03-01,7,1,0,24,10,False
2013-04-01,5,1,0,29,11,False
2013-05-01,5,1,0,17,11,False
2013-06-01,4,1,1,18,11,False
