date,Christiana Figueres,Aditi Gupta,Kenneth Lacovara,Shivani Siroya,Iraola,isPartial
2004-01-01,0,0,0,0,23,False
2004-02-01,0,0,0,0,60,False
2004-03-01,0,0,0,0,18,False
2004-04-01,0,14,0,0,19,False
2004-05-01,0,12,0,0,17,False
2004-06-01,0,0,0,0,19,False
2004-07-01,0,13,0,0,17,False
2004-08-01,0,12,12,0,20,False
2004-09-01,0,11,0,11,28,False
2004-10-01,0,11,0,0,26,False
2004-11-01,0,0,0,0,34,False
2004-12-01,0,0,0,0,21,False
2005-01-01,0,0,0,0,31,False
2005-02-01,0,0,0,0,24,False
2005-03-01,0,0,0,0,19,False
2005-04-01,0,0,0,0,24,False
2005-05-01,8,8,0,0,27,False
2005-06-01,0,8,0,0,29,False
2005-07-01,0,8,0,0,25,False
2005-08-01,0,8,0,0,21,False
2005-09-01,0,0,0,7,29,False
2005-10-01,7,0,0,0,27,False
2005-11-01,0,0,0,0,27,False
2005-12-01,0,0,0,0,22,False
2006-01-01,0,0,0,0,17,False
2006-02-01,0,0,0,0,22,False
2006-03-01,0,0,0,0,38,False
2006-04-01,0,6,0,0,24,False
2006-05-01,0,0,0,0,24,False
2006-06-01,5,11,0,0,27,False
2006-07-01,0,11,0,0,32,False
2006-08-01,0,5,0,0,20,False
2006-09-01,0,9,0,0,17,False
2006-10-01,4,0,0,0,27,False
2006-11-01,0,4,0,0,25,False
2006-12-01,0,4,0,0,22,False
2007-01-01,0,4,0,0,27,False
2007-02-01,0,4,0,0,24,False
2007-03-01,3,3,0,0,39,False
2007-04-01,0,4,0,0,25,False
2007-05-01,0,0,0,0,25,False
2007-06-01,0,3,0,0,27,False
2007-07-01,0,6,0,0,22,False
2007-08-01,0,6,0,0,17,False
2007-09-01,3,3,3,0,32,False
2007-10-01,3,5,0,0,24,False
2007-11-01,0,0,0,0,21,False
2007-12-01,4,5,0,0,28,False
2008-01-01,0,2,0,0,18,False
2008-02-01,2,2,0,0,29,False
2008-03-01,0,5,0,0,25,False
2008-04-01,5,3,0,0,27,False
2008-05-01,2,7,0,0,27,False
2008-06-01,0,12,0,0,24,False
2008-07-01,2,15,0,0,15,False
2008-08-01,0,17,0,0,32,False
2008-09-01,2,10,2,0,35,False
2008-10-01,0,5,0,0,30,False
2008-11-01,0,6,0,0,31,False
2008-12-01,0,10,0,0,25,False
2009-01-01,2,8,0,0,30,False
2009-02-01,0,11,0,2,35,False
2009-03-01,2,15,0,2,24,False
2009-04-01,0,12,0,0,32,False
2009-05-01,2,22,0,0,39,False
2009-06-01,2,29,0,0,27,False
2009-07-01,0,26,0,0,26,False
2009-08-01,2,18,0,2,32,False
2009-09-01,2,20,0,0,38,False
2009-10-01,0,19,0,1,28,False
2009-11-01,1,14,0,0,36,False
2009-12-01,1,19,0,1,27,False
2010-01-01,1,12,0,0,35,False
2010-02-01,0,16,0,1,18,False
2010-03-01,3,12,0,0,26,False
2010-04-01,2,23,1,3,27,False
2010-05-01,14,21,1,1,24,False
2010-06-01,5,22,0,0,29,False
2010-07-01,3,23,0,1,20,False
2010-08-01,3,23,0,0,27,False
2010-09-01,2,14,0,1,32,False
2010-10-01,4,14,0,0,34,False
2010-11-01,5,10,0,1,42,False
2010-12-01,8,13,0,0,34,False
2011-01-01,1,12,0,1,28,False
2011-02-01,3,15,1,1,38,False
2011-03-01,2,12,0,1,46,False
2011-04-01,3,14,0,1,34,False
2011-05-01,3,14,0,1,31,False
2011-06-01,3,9,0,0,33,False
2011-07-01,1,13,0,1,28,False
2011-08-01,1,12,0,1,42,False
2011-09-01,2,10,0,0,34,False
2011-10-01,4,10,0,0,32,False
2011-11-01,3,9,1,0,28,False
2011-12-01,4,11,0,1,27,False
2012-01-01,3,11,0,1,25,False
2012-02-01,1,7,0,1,30,False
2012-03-01,2,8,0,1,54,False
2012-04-01,2,11,0,1,34,False
2012-05-01,2,11,0,0,41,False
2012-06-01,2,12,0,0,32,False
2012-07-01,1,7,0,1,23,False
2012-08-01,1,7,0,1,24,False
2012-09-01,1,7,0,1,26,False
2012-10-01,2,11,0,1,25,False
2012-11-01,4,7,0,1,27,False
2012-12-01,5,9,0,1,23,False
2013-01-01,1,6,1,1,24,False
2013-02-01,2,12,0,1,25,False
2013-03-01,2,15,0,1,23,False
2013-04-01,2,13,0,1,25,False
2013-05-01,3,12,0,0,21,False
2013-06-01,2,9,0,1,23,False
2013-07-01,1,6,0,0,23,False
2013-08-01,1,7,0,1,24,False
2013-09-01,1,9,0,0,30,False
2013-10-01,5,7,0,0,26,False
2013-11-01,6,10,1,0,24,False
2013-12-01,2,7,0,1,25,False
2014-01-01,7,5,0,0,22,False
2014-02-01,1,10,0,1,25,False
2014-03-01,2,6,0,0,28,False
2014-04-01,2,11,0,1,22,False
2014-05-01,3,8,0,0,25,False
2014-06-01,1,10,0,1,21,False
2014-07-01,1,10,1,0,26,False
2014-08-01,1,8,0,0,34,False
2014-09-01,3,10,3,0,35,False
2014-10-01,2,7,1,0,27,False
2014-11-01,2,7,0,1,26,False
2014-12-01,3,22,0,1,22,False
2015-01-01,2,17,1,0,21,False
2015-02-01,6,8,0,1,26,False
2015-03-01,2,9,0,0,37,False
2015-04-01,5,14,0,1,38,False
2015-05-01,6,13,0,0,100,False
2015-06-01,4,14,1,1,44,False
2015-07-01,4,16,0,0,50,False
2015-08-01,8,14,0,0,34,False
2015-09-01,4,9,0,1,30,False
