date,Honor Harger,Joshua Walters,Emiliano Salinas,Rajesh Rao,Iraola,isPartial
2004-01-01,0,0,0,10,15,False
2004-02-01,0,0,10,10,40,False
2004-03-01,0,0,0,0,12,False
2004-04-01,0,10,0,9,13,False
2004-05-01,0,0,0,8,11,False
2004-06-01,0,8,8,8,12,False
2004-07-01,0,8,0,0,11,False
2004-08-01,0,0,0,12,13,False
2004-09-01,0,0,0,7,18,False
2004-10-01,0,0,0,0,17,False
2004-11-01,0,0,0,7,22,False
2004-12-01,0,0,7,7,14,False
2005-01-01,0,6,0,6,20,False
2005-02-01,0,0,0,10,16,False
2005-03-01,0,0,0,11,13,False
2005-04-01,0,6,0,9,16,False
2005-05-01,0,5,5,8,18,False
2005-06-01,0,5,5,8,19,False
2005-07-01,0,0,0,5,16,False
2005-08-01,0,5,0,0,14,False
2005-09-01,5,0,5,5,19,False
2005-10-01,0,0,4,0,18,False
2005-11-01,0,9,9,4,18,False
2005-12-01,0,4,9,4,15,False
2006-01-01,4,0,4,6,11,False
2006-02-01,0,0,4,4,14,False
2006-03-01,0,3,7,7,25,False
2006-04-01,0,0,0,4,16,False
2006-05-01,0,0,3,3,15,False
2006-06-01,0,0,3,4,18,False
2006-07-01,0,3,0,3,21,False
2006-08-01,0,0,3,3,13,False
2006-09-01,0,3,3,3,11,False
2006-10-01,0,3,0,4,18,False
2006-11-01,0,3,0,4,16,False
2006-12-01,0,0,3,6,14,False
2007-01-01,0,2,2,4,18,False
2007-02-01,3,4,3,3,16,False
2007-03-01,0,0,0,5,26,False
2007-04-01,0,2,4,4,17,False
2007-05-01,2,0,2,4,16,False
2007-06-01,0,2,2,2,18,False
2007-07-01,0,2,0,3,14,False
2007-08-01,0,3,6,6,11,False
2007-09-01,0,2,6,3,21,False
2007-10-01,0,3,0,2,16,False
2007-11-01,0,3,2,2,14,False
2007-12-01,2,3,2,4,19,False
2008-01-01,0,2,2,4,12,False
2008-02-01,0,3,0,3,19,False
2008-03-01,0,2,2,2,17,False
2008-04-01,2,1,0,2,18,False
2008-05-01,1,1,1,2,18,False
2008-06-01,0,3,0,2,16,False
2008-07-01,0,2,0,3,10,False
2008-08-01,0,3,1,2,21,False
2008-09-01,0,0,1,1,23,False
2008-10-01,1,1,1,2,20,False
2008-11-01,0,3,0,3,20,False
2008-12-01,0,3,1,2,16,False
2009-01-01,0,1,2,3,20,False
2009-02-01,0,0,1,5,23,False
2009-03-01,0,0,0,2,16,False
2009-04-01,0,3,1,4,21,False
2009-05-01,0,2,1,3,26,False
2009-06-01,0,1,3,2,18,False
2009-07-01,1,3,2,3,17,False
2009-08-01,0,1,1,4,21,False
2009-09-01,0,1,2,3,25,False
2009-10-01,0,1,0,3,18,False
2009-11-01,0,1,2,4,24,False
2009-12-01,0,2,1,3,18,False
2010-01-01,1,1,2,1,23,False
2010-02-01,0,3,2,1,12,False
2010-03-01,0,0,2,2,17,False
2010-04-01,0,2,1,1,18,False
2010-05-01,1,1,1,4,16,False
2010-06-01,0,3,1,2,19,False
2010-07-01,1,2,1,2,13,False
2010-08-01,1,1,14,3,18,False
2010-09-01,0,1,2,3,21,False
2010-10-01,0,1,45,1,23,False
2010-11-01,1,1,8,3,28,False
2010-12-01,1,1,5,2,23,False
2011-01-01,0,2,22,2,18,False
2011-02-01,1,2,17,3,25,False
2011-03-01,0,1,8,2,30,False
2011-04-01,0,1,7,2,22,False
2011-05-01,0,1,4,2,21,False
2011-06-01,1,3,6,2,21,False
2011-07-01,1,3,5,4,18,False
2011-08-01,0,2,2,3,28,False
2011-09-01,0,2,3,2,22,False
2011-10-01,1,1,3,3,21,False
2011-11-01,1,1,3,2,19,False
2011-12-01,1,1,2,2,18,False
2012-01-01,0,1,6,3,17,False
2012-02-01,2,1,3,2,20,False
2012-03-01,0,1,2,2,36,False
2012-04-01,1,1,7,3,22,False
2012-05-01,0,1,9,1,27,False
2012-06-01,0,1,8,4,21,False
2012-07-01,0,1,9,5,15,False
2012-08-01,0,1,8,4,16,False
2012-09-01,0,0,10,5,17,False
2012-10-01,0,1,5,4,17,False
2012-11-01,1,2,7,1,17,False
2012-12-01,1,1,2,3,15,False
2013-01-01,0,1,4,3,15,False
2013-02-01,0,0,3,2,16,False
2013-03-01,1,1,6,6,15,False
2013-04-01,0,1,100,3,17,False
2013-05-01,1,1,15,2,14,False
2013-06-01,0,0,5,3,15,False
2013-07-01,0,1,7,4,15,False
2013-08-01,0,1,7,4,16,False
2013-09-01,0,1,4,4,20,False
2013-10-01,0,1,5,3,17,False
2013-11-01,0,1,3,2,16,False
2013-12-01,0,0,5,2,16,False
2014-01-01,1,1,3,3,15,False
2014-02-01,0,1,4,3,16,False
2014-03-01,0,1,2,2,19,False
