date,Anil Ananthaswamy,Ric Elias,Harvey Fineberg,Bruce Schneier,Iraola,isPartial
2004-01-01,0,15,0,53,23,False
2004-02-01,0,0,15,50,60,False
2004-03-01,0,0,0,46,18,False
2004-04-01,0,0,14,39,19,False
2004-05-01,13,0,13,21,17,False
2004-06-01,0,0,0,46,19,False
2004-07-01,0,0,13,33,17,False
2004-08-01,0,0,0,48,20,False
2004-09-01,0,0,0,30,28,False
2004-10-01,0,0,0,38,26,False
2004-11-01,0,0,11,27,34,False
2004-12-01,0,0,0,39,21,False
2005-01-01,0,0,9,40,31,False
2005-02-01,0,0,0,56,24,False
2005-03-01,0,0,8,55,19,False
2005-04-01,0,9,0,58,24,False
2005-05-01,0,0,8,43,27,False
2005-06-01,0,0,8,35,29,False
2005-07-01,0,0,0,30,25,False
2005-08-01,0,0,0,45,21,False
2005-09-01,0,0,0,60,29,False
2005-10-01,0,0,0,27,27,False
2005-11-01,0,0,0,38,27,False
2005-12-01,0,0,7,33,22,False
2006-01-01,0,0,0,29,17,False
2006-02-01,0,0,6,30,22,False
2006-03-01,0,0,5,44,38,False
2006-04-01,0,0,0,22,24,False
2006-05-01,0,0,0,45,24,False
2006-06-01,0,0,0,25,27,False
2006-07-01,0,0,5,32,32,False
2006-08-01,0,5,0,83,20,False
2006-09-01,5,0,5,50,17,False
2006-10-01,0,0,9,40,27,False
2006-11-01,0,0,4,44,25,False
2006-12-01,0,0,4,56,22,False
2007-01-01,0,0,0,35,27,False
2007-02-01,0,0,4,43,24,False
2007-03-01,0,0,3,31,39,False
2007-04-01,0,4,0,53,25,False
2007-05-01,0,0,3,42,25,False
2007-06-01,3,0,0,28,27,False
2007-07-01,0,0,0,26,22,False
2007-08-01,0,0,0,46,17,False
2007-09-01,3,0,4,30,32,False
2007-10-01,0,0,3,37,24,False
2007-11-01,3,3,3,46,21,False
2007-12-01,0,0,3,43,28,False
2008-01-01,2,0,0,37,18,False
2008-02-01,2,0,2,31,29,False
2008-03-01,6,2,5,31,25,False
2008-04-01,0,0,5,36,27,False
2008-05-01,0,0,4,25,27,False
2008-06-01,0,2,2,32,24,False
2008-07-01,0,0,0,20,15,False
2008-08-01,0,2,2,29,32,False
2008-09-01,0,2,0,31,35,False
2008-10-01,2,2,2,24,30,False
2008-11-01,0,0,2,27,31,False
2008-12-01,0,0,2,31,25,False
2009-01-01,2,0,3,22,30,False
2009-02-01,2,0,0,20,35,False
2009-03-01,2,2,2,24,24,False
2009-04-01,4,0,0,18,32,False
2009-05-01,2,0,2,20,39,False
