date,Qi Zhang,Katherine Fulton,Ray Zahab,Daniel Libeskind,Iraola,isPartial
2004-01-01,14,7,0,100,11,False
2004-02-01,7,0,7,62,28,False
2004-03-01,18,9,0,44,9,False
2004-04-01,14,7,0,61,9,False
2004-05-01,15,0,0,39,8,False
2004-06-01,20,6,0,41,9,False
2004-07-01,10,0,0,86,8,False
2004-08-01,17,0,6,50,10,False
2004-09-01,12,0,0,59,13,False
2004-10-01,13,5,0,73,13,False
2004-11-01,14,0,0,48,16,False
2004-12-01,15,0,0,57,10,False
2005-01-01,9,0,0,48,15,False
2005-02-01,14,5,0,48,12,False
2005-03-01,8,4,0,44,9,False
2005-04-01,4,0,4,53,12,False
2005-05-01,9,4,0,61,13,False
2005-06-01,14,0,0,37,14,False
2005-07-01,6,4,0,30,12,False
2005-08-01,11,4,4,35,10,False
2005-09-01,3,3,0,52,14,False
2005-10-01,7,3,3,43,13,False
2005-11-01,14,0,3,41,13,False
2005-12-01,10,0,0,21,10,False
2006-01-01,11,5,0,37,8,False
2006-02-01,11,0,3,26,10,False
2006-03-01,14,2,2,39,18,False
2006-04-01,9,3,0,33,11,False
2006-05-01,5,3,2,42,11,False
2006-06-01,8,0,3,23,13,False
2006-07-01,8,0,3,23,15,False
2006-08-01,8,2,3,18,9,False
2006-09-01,7,0,0,35,8,False
2006-10-01,8,0,3,38,13,False
2006-11-01,8,2,2,25,12,False
2006-12-01,6,2,2,20,10,False
2007-01-01,7,0,4,26,13,False
2007-02-01,6,2,5,23,11,False
2007-03-01,6,0,3,29,18,False
2007-04-01,5,2,5,24,12,False
2007-05-01,6,1,2,27,12,False
2007-06-01,5,0,2,29,13,False
2007-07-01,5,1,1,19,10,False
2007-08-01,8,2,4,18,8,False
2007-09-01,9,1,1,24,15,False
2007-10-01,8,1,1,36,11,False
2007-11-01,6,0,1,33,10,False
2007-12-01,4,0,3,17,13,False
2008-01-01,8,1,1,21,9,False
2008-02-01,10,1,2,25,14,False
2008-03-01,8,0,2,24,12,False
2008-04-01,6,1,2,23,13,False
2008-05-01,6,1,4,26,13,False
2008-06-01,8,1,2,20,11,False
2008-07-01,9,1,2,17,7,False
2008-08-01,6,1,2,10,15,False
2008-09-01,9,2,1,17,17,False
2008-10-01,7,1,1,26,14,False
2008-11-01,5,0,2,22,15,False
2008-12-01,5,0,2,15,12,False
2009-01-01,4,2,6,20,14,False
2009-02-01,10,1,2,21,16,False
2009-03-01,6,1,1,24,11,False
2009-04-01,6,0,2,25,15,False
2009-05-01,5,1,2,20,19,False
2009-06-01,8,1,2,18,13,False
2009-07-01,6,1,1,20,12,False
2009-08-01,8,1,2,15,15,False
2009-09-01,4,1,1,25,18,False
2009-10-01,4,1,1,26,13,False
2009-11-01,5,2,2,26,17,False
2009-12-01,5,1,1,18,13,False
2010-01-01,4,1,1,20,16,False
2010-02-01,6,1,1,16,8,False
2010-03-01,6,1,1,25,12,False
2010-04-01,5,3,3,23,13,False
