date,David Steindl-Rast,Toby Eccles,Geraldine Hamilton,Sally Kohn,Iraola,isPartial
2010-01-01,2,1,2,0,35,False
2010-02-01,3,1,1,0,18,False
2010-03-01,0,0,2,1,26,False
2010-04-01,6,0,1,0,27,False
2010-05-01,2,0,1,1,24,False
2010-06-01,3,0,0,3,29,False
2010-07-01,4,0,3,3,20,False
2010-08-01,4,0,1,2,27,False
2010-09-01,5,0,0,1,32,False
2010-10-01,3,3,2,2,34,False
2010-11-01,6,1,1,0,42,False
2010-12-01,5,0,0,1,34,False
2011-01-01,2,0,1,1,28,False
2011-02-01,2,0,0,2,38,False
2011-03-01,3,1,0,2,46,False
2011-04-01,1,1,1,4,34,False
2011-05-01,2,0,1,4,31,False
2011-06-01,2,1,2,5,33,False
2011-07-01,3,0,2,3,28,False
2011-08-01,3,1,0,3,42,False
2011-09-01,3,0,0,6,34,False
2011-10-01,4,0,1,6,32,False
2011-11-01,6,0,2,6,28,False
2011-12-01,5,2,2,7,27,False
2012-01-01,5,0,0,12,25,False
2012-02-01,4,0,1,10,30,False
2012-03-01,2,1,1,13,54,False
2012-04-01,4,0,1,7,34,False
2012-05-01,2,1,1,6,41,False
2012-06-01,2,0,2,8,32,False
2012-07-01,3,0,1,8,23,False
2012-08-01,3,1,1,87,24,False
2012-09-01,3,1,1,22,26,False
2012-10-01,4,0,1,6,25,False
2012-11-01,4,1,0,6,27,False
2012-12-01,4,1,1,3,23,False
2013-01-01,4,1,1,3,24,False
2013-02-01,2,1,1,4,25,False
2013-03-01,3,0,1,3,23,False
2013-04-01,3,1,1,5,25,False
2013-05-01,3,1,1,4,21,False
2013-06-01,3,1,1,3,23,False
2013-07-01,2,1,1,19,23,False
2013-08-01,5,0,2,9,24,False
2013-09-01,2,0,2,2,30,False
2013-10-01,4,1,1,22,26,False
2013-11-01,13,0,1,11,24,False
2013-12-01,20,2,8,9,25,False
2014-01-01,8,1,2,14,22,False
2014-02-01,11,1,3,10,25,False
2014-03-01,5,2,2,9,28,False
2014-04-01,7,1,1,13,22,False
2014-05-01,4,0,1,7,25,False
2014-06-01,5,1,1,4,21,False
2014-07-01,6,1,1,10,26,False
2014-08-01,6,0,1,12,34,False
2014-09-01,3,1,1,7,35,False
2014-10-01,3,1,1,7,27,False
2014-11-01,6,1,1,13,26,False
2014-12-01,6,1,1,11,22,False
2015-01-01,3,0,1,15,21,False
2015-02-01,2,0,1,21,26,False
2015-03-01,3,0,1,8,37,False
2015-04-01,3,1,2,7,38,False
2015-05-01,4,0,1,13,100,False
2015-06-01,4,0,1,6,44,False
2015-07-01,2,1,1,8,50,False
2015-08-01,3,0,1,5,34,False
2015-09-01,2,1,0,4,30,False
2015-10-01,4,0,1,7,24,False
2015-11-01,5,0,1,8,23,False
2015-12-01,3,0,1,8,20,False
2016-01-01,5,0,2,4,24,False
2016-02-01,5,0,1,6,23,False
2016-03-01,3,0,1,17,26,False
2016-04-01,4,0,1,10,18,False
2016-05-01,4,0,0,13,32,False
2016-06-01,2,0,1,22,26,False
2016-07-01,2,0,1,26,28,False
2016-08-01,3,0,1,26,18,False
2016-09-01,2,1,1,17,25,False
2016-10-01,2,0,2,38,24,False
2016-11-01,3,0,1,36,33,False
2016-12-01,4,0,1,22,19,False
2017-01-01,5,1,2,14,18,False
2017-02-01,2,0,1,32,21,False
2017-03-01,3,0,0,14,18,False
2017-04-01,3,0,2,11,19,False
2017-05-01,3,0,1,9,24,False
2017-06-01,2,0,0,15,19,False
2017-07-01,2,0,1,16,20,False
2017-08-01,2,0,0,4,18,False
2017-09-01,2,0,1,3,18,False
2017-10-01,5,0,1,6,16,False
2017-11-01,6,0,1,6,14,False
2017-12-01,4,0,1,7,14,False
2018-01-01,3,0,1,9,19,False
2018-02-01,2,0,1,7,17,False
2018-03-01,2,0,1,9,14,False
2018-04-01,3,0,1,31,16,False
2018-05-01,3,0,1,41,17,False
2018-06-01,3,1,1,2,17,False
2018-07-01,2,0,1,4,16,False
2018-08-01,2,0,1,4,17,False
2018-09-01,2,0,0,9,18,False
2018-10-01,2,0,1,9,20,False
2018-11-01,4,0,1,6,17,False
2018-12-01,3,0,1,3,16,False
2019-01-01,5,0,1,7,16,False
2019-02-01,3,0,1,12,19,False
2019-03-01,3,0,1,5,15,False
2019-04-01,2,0,1,3,19,False
2019-05-01,2,0,1,2,16,False
2019-06-01,2,0,0,4,17,False
2019-07-01,2,0,0,4,24,False
2019-08-01,1,0,1,3,20,False
2019-09-01,3,1,1,2,17,False
2019-10-01,2,0,1,2,16,False
2019-11-01,4,0,0,3,16,False
2019-12-01,3,0,1,2,19,False
2020-01-01,3,0,1,1,28,False
2020-02-01,3,0,1,1,54,False
2020-03-01,3,0,1,3,21,False
2020-04-01,4,0,0,2,17,False
2020-05-01,3,0,0,2,14,False
2020-06-01,4,0,1,2,16,False
2020-07-01,3,0,1,1,34,False
2020-08-01,3,0,1,1,27,False
2020-09-01,2,0,1,1,19,False
2020-10-01,2,0,1,1,21,False
