date,Jim Al-Khalili,Robin Murphy,Wendy Freedman,Elizabeth Nyamayaro,Iraola,isPartial
2018-02-01,2,5,1,1,12,False
2018-03-01,3,7,1,0,10,False
2018-04-01,3,5,0,0,12,False
2018-05-01,2,5,1,0,13,False
2018-06-01,2,5,1,0,13,False
2018-07-01,2,7,0,0,11,False
2018-08-01,2,6,1,0,13,False
2018-09-01,2,7,1,0,13,False
2018-10-01,3,9,0,0,15,False
2018-11-01,3,11,1,1,12,False
2018-12-01,2,9,0,0,12,False
2019-01-01,3,8,1,0,12,False
2019-02-01,4,6,1,0,14,False
2019-03-01,2,8,0,1,11,False
2019-04-01,4,6,1,0,14,False
2019-05-01,2,7,0,0,11,False
2019-06-01,3,11,1,0,12,False
2019-07-01,3,8,1,0,18,False
2019-08-01,4,6,1,0,14,False
2019-09-01,3,7,1,0,13,False
2019-10-01,4,8,0,0,12,False
2019-11-01,4,8,1,0,12,False
2019-12-01,3,9,0,0,14,False
2020-01-01,4,8,0,0,21,False
2020-02-01,4,6,1,1,39,False
2020-03-01,3,7,0,0,16,False
2020-04-01,3,10,1,0,12,False
2020-05-01,4,11,1,0,10,False
2020-06-01,5,9,0,0,12,False
2020-07-01,3,8,0,0,25,False
2020-08-01,3,8,0,0,20,False
2020-09-01,4,8,0,0,14,False
2020-10-01,4,8,0,0,16,False
