date,Miwa Matreyek,Tom Chatfield,David Bismark,Greg Stone,Iraola,isPartial
2004-01-01,0,0,0,45,23,False
2004-02-01,0,0,0,30,60,False
2004-03-01,0,0,0,37,18,False
2004-04-01,0,0,0,29,19,False
2004-05-01,0,0,0,25,17,False
2004-06-01,12,0,0,12,19,False
2004-07-01,0,0,0,13,17,False
2004-08-01,0,0,0,16,20,False
2004-09-01,0,0,0,17,28,False
2004-10-01,0,0,0,28,26,False
2004-11-01,0,0,11,15,34,False
2004-12-01,0,0,0,16,21,False
2005-01-01,0,0,0,40,31,False
2005-02-01,10,10,20,23,24,False
2005-03-01,0,0,8,27,19,False
2005-04-01,0,0,0,24,24,False
2005-05-01,0,0,0,13,27,False
2005-06-01,0,0,16,19,29,False
2005-07-01,0,0,0,22,25,False
2005-08-01,0,0,0,13,21,False
2005-09-01,0,0,7,14,29,False
2005-10-01,0,0,0,25,27,False
2005-11-01,0,7,0,25,27,False
2005-12-01,0,0,0,20,22,False
2006-01-01,0,0,0,17,17,False
2006-02-01,0,6,0,16,22,False
2006-03-01,0,10,8,24,38,False
2006-04-01,0,0,11,13,24,False
2006-05-01,0,0,5,24,24,False
2006-06-01,0,0,5,18,27,False
2006-07-01,5,0,5,21,32,False
2006-08-01,0,0,0,16,20,False
2006-09-01,5,0,5,19,17,False
2006-10-01,0,0,0,17,27,False
2006-11-01,0,4,0,11,25,False
2006-12-01,0,4,6,13,22,False
2007-01-01,0,4,0,17,27,False
2007-02-01,0,4,0,14,24,False
2007-03-01,3,0,0,16,39,False
2007-04-01,0,4,0,13,25,False
2007-05-01,3,0,0,11,25,False
2007-06-01,0,3,3,10,27,False
2007-07-01,3,0,3,28,22,False
2007-08-01,0,0,0,9,17,False
2007-09-01,0,0,3,14,32,False
2007-10-01,3,0,3,17,24,False
2007-11-01,0,3,0,16,21,False
2007-12-01,0,0,3,16,28,False
2008-01-01,0,2,7,11,18,False
2008-02-01,0,0,2,17,29,False
2008-03-01,2,0,2,19,25,False
2008-04-01,0,2,2,13,27,False
2008-05-01,2,0,2,14,27,False
2008-06-01,0,2,2,11,24,False
2008-07-01,0,0,0,20,15,False
2008-08-01,0,2,2,13,32,False
2008-09-01,0,0,2,11,35,False
2008-10-01,0,2,0,17,30,False
2008-11-01,0,0,0,12,31,False
2008-12-01,2,0,0,15,25,False
2009-01-01,0,0,2,12,30,False
2009-02-01,2,2,0,12,35,False
2009-03-01,0,0,2,12,24,False
2009-04-01,0,5,2,15,32,False
2009-05-01,0,5,2,17,39,False
2009-06-01,0,2,3,17,27,False
2009-07-01,0,3,2,16,26,False
2009-08-01,3,2,0,10,32,False
2009-09-01,0,0,2,19,38,False
2009-10-01,4,1,1,13,28,False
2009-11-01,0,1,0,14,36,False
2009-12-01,0,1,1,15,27,False
2010-01-01,0,3,2,22,35,False
2010-02-01,0,3,2,18,18,False
2010-03-01,0,3,1,9,26,False
2010-04-01,0,3,1,11,27,False
2010-05-01,1,1,3,15,24,False
2010-06-01,0,1,1,15,29,False
2010-07-01,1,1,1,12,20,False
2010-08-01,0,1,1,12,27,False
2010-09-01,3,0,1,15,32,False
2010-10-01,2,2,1,14,34,False
2010-11-01,9,6,4,16,42,False
2010-12-01,2,4,2,11,34,False
2011-01-01,2,2,2,14,28,False
2011-02-01,1,2,1,20,38,False
2011-03-01,2,2,1,13,46,False
2011-04-01,1,2,1,14,34,False
2011-05-01,1,1,0,10,31,False
2011-06-01,1,2,2,14,33,False
2011-07-01,2,0,1,11,28,False
2011-08-01,1,2,2,16,42,False
2011-09-01,2,3,2,15,34,False
2011-10-01,1,3,1,15,32,False
2011-11-01,2,1,3,11,28,False
2011-12-01,1,1,2,11,27,False
2012-01-01,1,0,1,11,25,False
2012-02-01,2,2,1,12,30,False
2012-03-01,1,2,1,11,54,False
2012-04-01,1,2,1,11,34,False
2012-05-01,1,1,1,15,41,False
2012-06-01,2,1,1,15,32,False
2012-07-01,1,0,1,16,23,False
2012-08-01,1,1,1,14,24,False
2012-09-01,1,1,1,11,26,False
2012-10-01,1,1,3,9,25,False
2012-11-01,1,1,1,10,27,False
2012-12-01,1,1,1,9,23,False
2013-01-01,1,1,1,9,24,False
2013-02-01,1,1,2,8,25,False
2013-03-01,1,1,1,13,23,False
2013-04-01,1,2,1,12,25,False
2013-05-01,1,1,1,9,21,False
2013-06-01,1,1,1,11,23,False
2013-07-01,1,2,0,11,23,False
2013-08-01,1,1,0,12,24,False
2013-09-01,1,2,1,11,30,False
2013-10-01,1,1,1,11,26,False
2013-11-01,2,2,1,11,24,False
2013-12-01,1,1,0,10,25,False
2014-01-01,1,1,1,11,22,False
2014-02-01,1,1,1,10,25,False
2014-03-01,1,2,1,12,28,False
2014-04-01,1,2,1,12,22,False
2014-05-01,1,1,1,10,25,False
2014-06-01,1,1,2,12,21,False
2014-07-01,1,1,2,13,26,False
2014-08-01,1,1,1,12,34,False
2014-09-01,1,1,1,7,35,False
2014-10-01,1,1,1,9,27,False
2014-11-01,1,2,1,8,26,False
2014-12-01,1,1,1,11,22,False
2015-01-01,1,1,1,12,21,False
2015-02-01,1,1,1,10,26,False
2015-03-01,0,1,1,10,37,False
2015-04-01,1,1,1,12,38,False
2015-05-01,0,1,1,12,100,False
2015-06-01,1,1,1,9,44,False
2015-07-01,0,1,1,11,50,False
2015-08-01,0,0,0,12,34,False
2015-09-01,1,1,1,11,30,False
2015-10-01,1,1,1,10,24,False
2015-11-01,0,1,1,9,23,False
2015-12-01,0,1,1,13,20,False
2016-01-01,0,1,0,8,24,False
2016-02-01,1,2,0,12,23,False
2016-03-01,0,1,1,12,26,False
2016-04-01,1,1,1,10,18,False
2016-05-01,1,0,1,10,32,False
2016-06-01,0,1,1,14,26,False
2016-07-01,1,1,1,9,28,False
2016-08-01,1,0,1,18,18,False
2016-09-01,1,1,0,9,25,False
2016-10-01,1,1,0,13,24,False
2016-11-01,1,0,1,10,33,False
2016-12-01,0,0,0,11,19,False
2017-01-01,0,0,1,13,18,False
2017-02-01,0,1,1,13,21,False
2017-03-01,1,1,0,10,18,False
2017-04-01,1,0,1,9,19,False
2017-05-01,1,1,1,10,24,False
2017-06-01,1,1,0,10,19,False
