date,Miwa Matreyek,Tom Chatfield,David Bismark,Greg Stone,Iraola,isPartial
2017-07-01,0,1,0,10,20,False
2017-08-01,0,1,0,7,18,False
2017-09-01,0,1,1,9,18,False
2017-10-01,1,0,0,9,16,False
2017-11-01,1,1,1,9,14,False
2017-12-01,0,1,1,7,14,False
2018-01-01,0,1,0,9,19,False
2018-02-01,0,1,0,9,17,False
2018-03-01,0,0,0,8,14,False
2018-04-01,1,2,0,10,16,False
2018-05-01,0,1,1,8,17,False
2018-06-01,0,1,1,7,17,False
2018-07-01,0,1,0,9,16,False
2018-08-01,0,1,0,9,17,False
2018-09-01,0,1,0,9,18,False
2018-10-01,0,1,1,7,20,False
2018-11-01,0,1,0,9,17,False
2018-12-01,0,1,0,9,16,False
2019-01-01,0,0,0,9,16,False
2019-02-01,0,1,0,11,19,False
2019-03-01,0,1,0,8,15,False
2019-04-01,0,0,0,9,19,False
2019-05-01,0,0,1,8,16,False
2019-06-01,0,1,1,6,17,False
2019-07-01,0,1,1,8,24,False
2019-08-01,0,1,1,9,20,False
2019-09-01,0,1,0,8,17,False
2019-10-01,0,1,0,7,16,False
2019-11-01,0,1,0,10,16,False
2019-12-01,0,1,0,8,19,False
2020-01-01,1,1,1,6,28,False
2020-02-01,0,1,1,8,54,False
2020-03-01,1,1,0,7,21,False
2020-04-01,0,1,0,7,17,False
2020-05-01,0,1,0,6,14,False
2020-06-01,1,1,0,9,16,False
2020-07-01,0,1,0,6,34,False
2020-08-01,1,1,0,11,27,False
2020-09-01,0,1,0,7,19,False
2020-10-01,0,1,1,9,21,False
