date,John Kasaona,Stewart Brand + Mark Z. Jacobson,David Byrne,Margaret Gould Stewart,Iraola,isPartial
2017-10-01,0,1,12,0,2,False
2017-11-01,0,2,14,0,2,False
2017-12-01,0,1,19,0,2,False
2018-01-01,0,1,52,0,3,False
2018-02-01,0,1,34,0,3,False
2018-03-01,0,1,76,0,2,False
2018-04-01,0,2,40,0,3,False
2018-05-01,0,2,42,0,3,False
2018-06-01,0,1,51,0,3,False
2018-07-01,0,1,47,0,2,False
2018-08-01,0,1,47,0,3,False
2018-09-01,0,1,36,0,3,False
2018-10-01,0,1,35,0,3,False
2018-11-01,0,1,29,0,3,False
2018-12-01,0,1,17,0,2,False
2019-01-01,0,2,15,0,2,False
2019-02-01,0,1,15,0,3,False
2019-03-01,0,1,15,0,2,False
2019-04-01,0,1,15,0,3,False
2019-05-01,0,1,17,0,2,False
2019-06-01,0,1,14,0,3,False
2019-07-01,0,1,13,0,4,False
2019-08-01,0,1,18,0,3,False
2019-09-01,0,1,20,0,3,False
2019-10-01,0,1,22,0,3,False
2019-11-01,0,1,27,0,3,False
2019-12-01,0,1,27,0,3,False
2020-01-01,0,1,30,0,4,False
2020-02-01,0,1,25,0,8,False
2020-03-01,0,1,99,0,3,False
2020-04-01,0,1,25,0,3,False
2020-05-01,0,1,20,0,2,False
2020-06-01,0,1,14,0,2,False
2020-07-01,0,1,18,0,5,False
2020-08-01,0,1,14,0,4,False
2020-09-01,0,1,17,0,3,False
2020-10-01,0,1,37,0,3,False
