date,Jane Fonda,Paddy Ashdown,Nate Garvis,Michelle Borkin,Iraola,isPartial
2004-01-01,19,1,0,0,1,False
2004-02-01,54,1,0,0,2,False
2004-03-01,22,2,0,0,1,False
2004-04-01,22,1,0,0,1,False
2004-05-01,16,1,0,0,1,False
2004-06-01,13,2,0,0,1,False
2004-07-01,15,1,0,0,1,False
2004-08-01,20,0,0,0,1,False
2004-09-01,18,1,0,0,1,False
2004-10-01,19,1,0,0,1,False
2004-11-01,16,1,0,0,1,False
2004-12-01,18,1,0,0,1,False
2005-01-01,17,1,0,0,1,False
2005-02-01,18,0,0,0,1,False
2005-03-01,29,1,0,0,1,False
2005-04-01,100,1,0,0,1,False
2005-05-01,51,2,0,0,1,False
2005-06-01,27,0,0,0,1,False
2005-07-01,30,1,0,0,1,False
2005-08-01,28,0,0,0,1,False
2005-09-01,25,1,0,0,1,False
2005-10-01,28,1,0,0,1,False
2005-11-01,22,1,0,0,1,False
2005-12-01,17,1,0,0,1,False
2006-01-01,17,1,0,0,1,False
2006-02-01,14,1,0,0,1,False
2006-03-01,24,0,0,0,2,False
2006-04-01,24,0,0,0,1,False
2006-05-01,20,0,0,0,1,False
2006-06-01,19,0,0,0,1,False
2006-07-01,16,0,0,0,1,False
2006-08-01,15,1,0,0,1,False
2006-09-01,19,0,0,0,1,False
2006-10-01,17,0,0,0,1,False
2006-11-01,16,0,0,0,1,False
2006-12-01,17,1,0,0,1,False
2007-01-01,28,0,0,0,1,False
2007-02-01,28,0,0,0,1,False
2007-03-01,26,0,0,0,2,False
2007-04-01,24,1,0,0,1,False
2007-05-01,43,1,0,0,1,False
2007-06-01,21,1,0,0,1,False
2007-07-01,21,0,0,0,1,False
2007-08-01,20,0,0,0,1,False
2007-09-01,18,0,0,0,1,False
2007-10-01,19,0,0,0,1,False
2007-11-01,17,0,0,0,1,False
2007-12-01,21,0,0,0,1,False
2008-01-01,18,1,0,0,1,False
2008-02-01,68,0,0,0,1,False
2008-03-01,15,0,0,0,1,False
2008-04-01,17,0,0,0,1,False
2008-05-01,15,0,0,0,1,False
2008-06-01,15,0,0,0,1,False
2008-07-01,15,0,0,0,1,False
2008-08-01,15,0,0,0,1,False
2008-09-01,13,0,0,0,1,False
2008-10-01,15,0,0,0,1,False
2008-11-01,19,0,0,0,1,False
2008-12-01,16,0,0,0,1,False
2009-01-01,19,0,0,0,1,False
2009-02-01,17,1,0,0,1,False
2009-03-01,19,0,0,0,1,False
2009-04-01,15,1,0,0,1,False
2009-05-01,17,0,0,0,2,False
2009-06-01,17,0,0,0,1,False
2009-07-01,15,0,0,0,1,False
2009-08-01,14,0,0,0,1,False
2009-09-01,14,0,0,0,2,False
2009-10-01,15,0,0,0,1,False
2009-11-01,16,0,0,0,1,False
2009-12-01,14,0,0,0,1,False
2010-01-01,18,0,0,0,1,False
2010-02-01,15,0,0,0,1,False
2010-03-01,15,0,0,0,1,False
2010-04-01,16,1,0,0,1,False
2010-05-01,15,2,0,0,1,False
2010-06-01,14,0,0,0,1,False
2010-07-01,14,0,0,0,1,False
2010-08-01,14,0,0,0,1,False
2010-09-01,16,0,0,0,1,False
2010-10-01,20,0,0,0,1,False
2010-11-01,20,0,0,0,2,False
2010-12-01,32,0,0,0,1,False
2011-01-01,27,0,0,0,1,False
2011-02-01,17,0,0,0,2,False
2011-03-01,16,0,0,0,2,False
2011-04-01,14,0,0,0,1,False
2011-05-01,27,1,0,0,1,False
2011-06-01,17,0,0,0,1,False
2011-07-01,18,0,0,0,1,False
2011-08-01,32,0,0,0,2,False
2011-09-01,20,0,0,0,1,False
2011-10-01,17,0,0,0,1,False
2011-11-01,15,1,0,0,1,False
2011-12-01,35,0,0,0,1,False
2012-01-01,40,1,0,0,1,False
2012-02-01,20,0,0,0,1,False
2012-03-01,19,0,0,0,2,False
2012-04-01,16,0,0,0,1,False
2012-05-01,24,0,0,0,2,False
2012-06-01,24,0,0,0,1,False
2012-07-01,24,0,0,0,1,False
2012-08-01,20,0,0,0,1,False
2012-09-01,17,0,0,0,1,False
2012-10-01,20,0,0,0,1,False
2012-11-01,18,0,0,0,1,False
2012-12-01,27,0,0,0,1,False
2013-01-01,23,0,0,0,1,False
2013-02-01,45,0,0,0,1,False
2013-03-01,28,0,0,0,1,False
2013-04-01,33,0,0,0,1,False
2013-05-01,26,0,0,0,1,False
2013-06-01,17,0,0,0,1,False
2013-07-01,19,0,0,0,1,False
2013-08-01,31,0,0,0,1,False
2013-09-01,18,0,0,0,1,False
2013-10-01,16,0,0,0,1,False
2013-11-01,17,0,0,0,1,False
2013-12-01,18,0,0,0,1,False
2014-01-01,19,0,0,0,1,False
2014-02-01,15,0,0,0,1,False
2014-03-01,22,0,0,0,1,False
2014-04-01,14,0,0,0,1,False
2014-05-01,19,0,0,0,1,False
2014-06-01,24,0,0,0,1,False
2014-07-01,18,0,0,0,1,False
2014-08-01,24,0,0,0,1,False
2014-09-01,33,0,0,0,1,False
2014-10-01,21,0,0,0,1,False
2014-11-01,18,0,0,0,1,False
