date,Bruce Aylward,Shirin Neshat,Mustafa Akyol,Robert Gupta + Joshua Roman,Iraola,isPartial
2004-01-01,0,30,0,15,23,False
2004-02-01,0,50,0,15,60,False
2004-03-01,0,25,0,37,18,False
2004-04-01,0,39,0,14,19,False
2004-05-01,0,46,0,25,17,False
2004-06-01,0,56,0,0,19,False
2004-07-01,0,30,0,0,17,False
2004-08-01,0,48,12,0,20,False
2004-09-01,0,37,0,22,28,False
2004-10-01,0,30,11,0,26,False
2004-11-01,0,42,0,11,34,False
2004-12-01,0,25,0,11,21,False
2005-01-01,0,22,9,14,31,False
2005-02-01,10,42,10,0,24,False
2005-03-01,0,44,0,8,19,False
2005-04-01,0,49,9,9,24,False
2005-05-01,0,43,8,8,27,False
2005-06-01,8,40,8,32,29,False
2005-07-01,0,16,29,20,25,False
2005-08-01,0,18,16,8,21,False
2005-09-01,0,29,0,7,29,False
2005-10-01,7,47,14,10,27,False
2005-11-01,7,52,7,9,27,False
2005-12-01,0,44,13,0,22,False
2006-01-01,0,42,17,6,17,False
2006-02-01,0,56,12,18,22,False
2006-03-01,0,46,12,8,38,False
2006-04-01,0,57,20,9,24,False
2006-05-01,0,40,8,13,24,False
2006-06-01,0,36,16,11,27,False
2006-07-01,0,12,16,5,32,False
2006-08-01,0,21,10,12,20,False
2006-09-01,0,42,9,9,17,False
2006-10-01,0,46,9,15,27,False
2006-11-01,0,35,12,12,25,False
2006-12-01,0,23,25,4,22,False
2007-01-01,0,31,15,9,27,False
2007-02-01,0,29,11,14,24,False
2007-03-01,0,26,10,7,39,False
2007-04-01,0,26,19,9,25,False
2007-05-01,3,27,13,6,25,False
2007-06-01,3,24,10,11,27,False
2007-07-01,0,17,24,12,22,False
2007-08-01,0,16,10,9,17,False
2007-09-01,0,19,12,7,32,False
2007-10-01,0,28,7,11,24,False
2007-11-01,3,22,7,10,21,False
2007-12-01,3,21,14,5,28,False
2008-01-01,0,22,10,9,18,False
2008-02-01,0,32,17,10,29,False
2008-03-01,0,29,20,9,25,False
2008-04-01,0,29,10,5,27,False
2008-05-01,0,22,19,9,27,False
2008-06-01,0,14,15,11,24,False
2008-07-01,0,15,19,5,15,False
2008-08-01,0,12,8,4,32,False
2008-09-01,2,17,9,10,35,False
2008-10-01,3,17,8,9,30,False
2008-11-01,0,28,5,9,31,False
2008-12-01,2,19,9,6,25,False
2009-01-01,0,26,10,11,30,False
2009-02-01,2,28,14,4,35,False
2009-03-01,2,25,11,7,24,False
2009-04-01,0,21,7,12,32,False
2009-05-01,0,22,11,5,39,False
2009-06-01,0,19,4,5,27,False
2009-07-01,2,20,7,5,26,False
2009-08-01,0,20,10,7,32,False
2009-09-01,0,61,9,7,38,False
2009-10-01,1,32,9,6,28,False
2009-11-01,0,26,12,8,36,False
2009-12-01,1,28,7,5,27,False
2010-01-01,0,25,9,8,35,False
2010-02-01,1,31,9,5,18,False
2010-03-01,0,38,9,9,26,False
2010-04-01,0,40,11,15,27,False
2010-05-01,1,34,6,10,24,False
2010-06-01,2,31,4,5,29,False
2010-07-01,1,25,10,5,20,False
2010-08-01,1,24,9,7,27,False
2010-09-01,0,32,16,5,32,False
2010-10-01,0,27,14,6,34,False
2010-11-01,1,35,16,6,42,False
2010-12-01,0,18,9,8,34,False
2011-01-01,1,18,9,7,28,False
2011-02-01,0,27,12,3,38,False
2011-03-01,2,26,13,8,46,False
2011-04-01,1,20,11,7,34,False
2011-05-01,3,25,14,7,31,False
2011-06-01,0,23,18,8,33,False
2011-07-01,5,12,10,7,28,False
2011-08-01,0,19,14,8,42,False
2011-09-01,1,24,13,7,34,False
2011-10-01,2,26,11,5,32,False
2011-11-01,0,31,24,8,28,False
2011-12-01,2,17,10,3,27,False
2012-01-01,2,19,34,4,25,False
2012-02-01,1,23,22,6,30,False
2012-03-01,1,24,12,6,54,False
2012-04-01,0,22,12,8,34,False
2012-05-01,1,19,15,7,41,False
2012-06-01,1,11,10,9,32,False
2012-07-01,1,12,9,5,23,False
2012-08-01,1,13,8,5,24,False
2012-09-01,1,15,14,7,26,False
2012-10-01,1,16,10,10,25,False
2012-11-01,0,22,10,6,27,False
2012-12-01,1,14,12,6,23,False
2013-01-01,1,13,6,8,24,False
2013-02-01,1,20,7,7,25,False
2013-03-01,1,19,8,6,23,False
2013-04-01,1,19,8,7,25,False
2013-05-01,1,20,6,6,21,False
2013-06-01,1,19,19,7,23,False
2013-07-01,1,13,13,6,23,False
2013-08-01,1,10,9,6,24,False
2013-09-01,1,15,7,4,30,False
2013-10-01,1,21,4,6,26,False
2013-11-01,1,16,8,6,24,False
2013-12-01,1,14,14,6,25,False
2014-01-01,2,17,12,6,22,False
2014-02-01,1,18,12,4,25,False
2014-03-01,1,19,21,5,28,False
2014-04-01,1,16,8,6,22,False
2014-05-01,1,14,8,5,25,False
2014-06-01,1,12,10,5,21,False
2014-07-01,1,7,12,4,26,False
2014-08-01,1,7,12,7,34,False
2014-09-01,1,13,7,6,35,False
2014-10-01,5,15,8,6,27,False
2014-11-01,1,15,9,6,26,False
2014-12-01,1,10,13,6,22,False
2015-01-01,1,16,10,6,21,False
2015-02-01,2,19,12,5,26,False
2015-03-01,0,17,5,6,37,False
2015-04-01,1,11,7,6,38,False
2015-05-01,1,17,12,6,100,False
2015-06-01,1,14,7,7,44,False
2015-07-01,1,10,7,5,50,False
2015-08-01,0,9,6,4,34,False
2015-09-01,0,15,5,5,30,False
2015-10-01,1,13,5,6,24,False
2015-11-01,0,16,9,6,23,False
2015-12-01,1,30,10,6,20,False
2016-01-01,1,13,7,7,24,False
