date,Elora Hardy,Roman Mars,The Lady Lifers,Martine Rothblatt,Iraola,isPartial
2004-01-01,0,42,0,0,21,False
2004-02-01,0,52,0,0,56,False
2004-03-01,0,79,0,0,17,False
2004-04-01,0,36,0,14,18,False
2004-05-01,0,51,0,12,16,False
2004-06-01,0,23,0,12,17,False
2004-07-01,0,20,0,18,16,False
2004-08-01,11,17,0,11,19,False
2004-09-01,0,34,0,0,26,False
2004-10-01,0,39,0,0,25,False
2004-11-01,0,39,0,11,32,False
2004-12-01,0,59,0,10,20,False
2005-01-01,0,37,0,0,29,False
2005-02-01,0,46,0,0,23,False
2005-03-01,0,46,0,8,18,False
2005-04-01,0,40,0,0,23,False
2005-05-01,0,23,0,7,25,False
2005-06-01,0,19,0,0,28,False
2005-07-01,0,13,0,0,23,False
2005-08-01,0,20,0,7,20,False
2005-09-01,7,36,0,0,27,False
2005-10-01,0,32,0,6,25,False
2005-11-01,0,27,0,6,25,False
2005-12-01,0,25,0,0,21,False
2006-01-01,0,23,0,5,16,False
2006-02-01,0,37,0,6,21,False
2006-03-01,0,32,0,5,35,False
2006-04-01,0,28,0,5,22,False
2006-05-01,0,58,0,5,22,False
2006-06-01,0,10,0,5,25,False
2006-07-01,0,21,0,7,30,False
2006-08-01,0,12,0,0,18,False
2006-09-01,0,19,0,4,16,False
2006-10-01,0,20,0,4,25,False
2006-11-01,0,16,0,4,23,False
2006-12-01,0,26,0,24,20,False
2007-01-01,0,15,0,3,26,False
2007-02-01,0,18,0,4,22,False
2007-03-01,0,32,0,48,36,False
2007-04-01,0,21,0,3,24,False
2007-05-01,0,21,0,7,23,False
2007-06-01,0,14,0,10,25,False
2007-07-01,0,12,0,3,21,False
2007-08-01,0,8,0,3,16,False
2007-09-01,0,14,0,5,30,False
2007-10-01,0,30,0,2,22,False
2007-11-01,0,21,0,3,19,False
2007-12-01,0,15,0,0,26,False
2008-01-01,0,23,0,2,17,False
2008-02-01,0,26,0,2,27,False
2008-03-01,0,17,0,2,24,False
2008-04-01,0,16,0,3,25,False
2008-05-01,0,20,0,0,25,False
2008-06-01,0,17,0,2,22,False
2008-07-01,0,9,0,5,14,False
2008-08-01,0,13,0,2,30,False
2008-09-01,0,19,0,2,33,False
2008-10-01,0,19,0,3,28,False
2008-11-01,0,15,0,4,29,False
2008-12-01,0,14,0,4,23,False
2009-01-01,0,16,0,3,28,False
2009-02-01,0,18,0,5,32,False
2009-03-01,0,24,0,7,23,False
2009-04-01,0,23,0,7,29,False
2009-05-01,0,13,0,2,37,False
2009-06-01,0,14,0,4,25,False
2009-07-01,2,8,0,5,24,False
2009-08-01,0,6,0,2,30,False
2009-09-01,0,16,0,3,36,False
2009-10-01,0,19,0,3,26,False
2009-11-01,0,18,0,1,34,False
2009-12-01,0,17,0,2,25,False
2010-01-01,1,24,0,4,32,False
2010-02-01,0,22,0,3,17,False
2010-03-01,0,24,0,1,24,False
2010-04-01,0,17,0,6,26,False
2010-05-01,0,20,0,4,22,False
2010-06-01,0,11,0,3,27,False
2010-07-01,0,8,0,4,19,False
2010-08-01,0,11,0,3,25,False
2010-09-01,0,13,0,3,30,False
2010-10-01,0,17,0,2,32,False
2010-11-01,1,19,0,1,39,False
2010-12-01,0,15,0,2,32,False
2011-01-01,1,17,0,1,26,False
2011-02-01,0,22,0,3,35,False
2011-03-01,1,22,0,2,43,False
