date,TED staff,Allan Adams,Bill and Melinda Gates,Jennifer Golbeck,Iraola,isPartial
2004-01-01,2,2,22,0,3,False
2004-02-01,2,3,18,0,9,False
2004-03-01,0,0,8,0,3,False
2004-04-01,2,2,12,0,3,False
2004-05-01,2,0,10,0,3,False
2004-06-01,2,0,9,4,3,False
2004-07-01,0,2,26,0,3,False
2004-08-01,0,2,12,2,3,False
2004-09-01,3,2,15,0,4,False
2004-10-01,2,4,10,0,4,False
2004-11-01,2,3,12,0,5,False
2004-12-01,2,2,24,0,3,False
2005-01-01,4,3,23,0,5,False
2005-02-01,0,0,15,1,4,False
2005-03-01,2,1,17,0,3,False
2005-04-01,1,0,12,0,4,False
2005-05-01,1,1,13,0,4,False
2005-06-01,1,2,13,0,4,False
2005-07-01,2,0,18,0,4,False
2005-08-01,1,2,14,0,3,False
2005-09-01,1,2,12,0,4,False
2005-10-01,2,1,13,0,4,False
2005-11-01,1,1,22,1,4,False
2005-12-01,1,1,24,0,3,False
2006-01-01,1,2,16,0,3,False
2006-02-01,0,2,17,0,3,False
2006-03-01,1,2,17,0,6,False
2006-04-01,1,1,20,1,4,False
2006-05-01,0,1,18,0,4,False
2006-06-01,1,1,100,1,4,False
2006-07-01,0,1,52,0,5,False
2006-08-01,1,1,38,0,3,False
2006-09-01,1,1,25,0,3,False
2006-10-01,1,1,23,0,4,False
2006-11-01,1,2,25,0,4,False
2006-12-01,1,0,21,1,3,False
2007-01-01,1,1,20,0,4,False
2007-02-01,1,1,24,1,4,False
2007-03-01,1,1,19,0,6,False
2007-04-01,1,1,19,0,4,False
2007-05-01,1,1,18,0,4,False
2007-06-01,1,1,16,0,4,False
2007-07-01,0,1,16,0,3,False
2007-08-01,1,1,16,0,3,False
2007-09-01,1,1,15,0,5,False
2007-10-01,1,1,14,0,4,False
2007-11-01,0,1,14,1,3,False
2007-12-01,1,3,13,0,4,False
2008-01-01,1,1,18,0,3,False
2008-02-01,0,1,16,0,4,False
2008-03-01,1,1,17,0,4,False
2008-04-01,0,1,16,0,4,False
2008-05-01,0,1,16,0,4,False
2008-06-01,0,0,22,0,4,False
2008-07-01,1,2,16,0,2,False
2008-08-01,1,1,12,0,5,False
2008-09-01,1,1,16,0,5,False
2008-10-01,0,1,17,0,5,False
2008-11-01,0,1,16,0,5,False
2008-12-01,0,1,14,0,4,False
2009-01-01,0,1,14,0,5,False
2009-02-01,0,1,15,0,5,False
2009-03-01,0,1,16,0,4,False
2009-04-01,1,1,15,0,5,False
2009-05-01,0,1,13,0,6,False
2009-06-01,0,1,13,0,4,False
2009-07-01,0,1,12,0,4,False
2009-08-01,3,1,12,0,5,False
2009-09-01,0,1,13,0,6,False
2009-10-01,1,1,14,0,4,False
2009-11-01,1,1,15,0,6,False
2009-12-01,1,1,12,0,4,False
2010-01-01,0,1,19,0,5,False
2010-02-01,0,1,13,0,3,False
2010-03-01,0,1,13,0,4,False
2010-04-01,1,0,15,0,4,False
2010-05-01,0,1,14,0,4,False
2010-06-01,0,1,13,0,4,False
2010-07-01,1,0,11,0,3,False
2010-08-01,1,1,14,0,4,False
2010-09-01,1,0,13,0,5,False
2010-10-01,1,1,17,0,5,False
2010-11-01,0,0,12,0,6,False
2010-12-01,0,1,11,0,5,False
2011-01-01,1,1,12,0,4,False
2011-02-01,1,1,12,0,6,False
2011-03-01,0,1,14,0,7,False
