date,Angela Belcher,Mike Matas,Arvind Gupta,Eli Pariser,Iraola,isPartial
2009-11-01,2,2,5,3,36,False
2009-12-01,4,3,7,1,27,False
2010-01-01,3,3,12,3,35,False
2010-02-01,0,2,7,1,18,False
2010-03-01,3,5,8,1,26,False
2010-04-01,12,3,8,1,27,False
2010-05-01,3,2,13,1,24,False
2010-06-01,4,2,6,3,29,False
2010-07-01,4,3,14,0,20,False
2010-08-01,2,1,9,2,27,False
2010-09-01,2,3,11,1,32,False
2010-10-01,4,2,10,2,34,False
2010-11-01,3,2,12,1,42,False
2010-12-01,2,1,15,1,34,False
2011-01-01,2,2,8,1,28,False
2011-02-01,2,3,11,1,38,False
2011-03-01,2,4,11,4,46,False
2011-04-01,7,4,10,1,34,False
2011-05-01,4,12,10,42,31,False
2011-06-01,3,5,15,19,33,False
2011-07-01,3,5,12,13,28,False
2011-08-01,3,9,21,7,42,False
2011-09-01,3,4,12,7,34,False
2011-10-01,3,9,14,6,32,False
2011-11-01,3,3,13,6,28,False
2011-12-01,1,3,14,10,27,False
2012-01-01,2,5,16,8,25,False
2012-02-01,1,5,13,6,30,False
2012-03-01,2,3,14,5,54,False
2012-04-01,2,5,11,6,34,False
2012-05-01,3,3,17,4,41,False
2012-06-01,2,3,11,3,32,False
2012-07-01,2,2,22,2,23,False
2012-08-01,1,2,24,3,24,False
2012-09-01,1,4,21,4,26,False
2012-10-01,2,3,16,5,25,False
2012-11-01,2,2,15,4,27,False
2012-12-01,2,3,20,4,23,False
2013-01-01,4,4,18,2,24,False
2013-02-01,1,3,20,2,25,False
2013-03-01,2,3,23,2,23,False
2013-04-01,1,3,17,3,25,False
2013-05-01,2,4,17,2,21,False
2013-06-01,2,3,17,3,23,False
2013-07-01,1,2,24,3,23,False
2013-08-01,2,3,28,2,24,False
2013-09-01,2,2,20,3,30,False
2013-10-01,2,2,22,5,26,False
2013-11-01,1,3,29,3,24,False
2013-12-01,1,2,37,3,25,False
2014-01-01,2,2,22,3,22,False
2014-02-01,2,7,27,3,25,False
2014-03-01,2,3,28,4,28,False
2014-04-01,2,2,19,3,22,False
2014-05-01,1,1,25,3,25,False
2014-06-01,1,2,26,2,21,False
2014-07-01,1,1,27,3,26,False
2014-08-01,2,2,30,1,34,False
2014-09-01,1,1,25,1,35,False
2014-10-01,2,1,21,5,27,False
2014-11-01,1,2,28,3,26,False
2014-12-01,1,1,31,1,22,False
2015-01-01,1,1,26,3,21,False
2015-02-01,1,1,29,2,26,False
2015-03-01,1,0,19,2,37,False
2015-04-01,2,1,21,2,38,False
2015-05-01,2,2,19,2,100,False
2015-06-01,2,2,22,1,44,False
2015-07-01,1,1,22,2,50,False
2015-08-01,1,2,45,2,34,False
2015-09-01,1,1,24,2,30,False
2015-10-01,2,1,27,3,24,False
2015-11-01,1,2,23,3,23,False
2015-12-01,1,1,22,1,20,False
2016-01-01,2,1,27,2,24,False
2016-02-01,1,1,29,2,23,False
2016-03-01,1,1,18,3,26,False
2016-04-01,1,1,16,2,18,False
2016-05-01,1,0,20,2,32,False
2016-06-01,1,1,21,2,26,False
2016-07-01,1,3,20,1,28,False
2016-08-01,1,1,18,1,18,False
2016-09-01,1,1,19,2,25,False
2016-10-01,1,1,22,2,24,False
2016-11-01,1,0,24,4,33,False
2016-12-01,1,1,29,4,19,False
2017-01-01,1,1,23,3,18,False
2017-02-01,1,1,23,3,21,False
2017-03-01,1,1,14,3,18,False
2017-04-01,1,1,13,4,19,False
2017-05-01,1,1,12,3,24,False
2017-06-01,1,1,15,5,19,False
2017-07-01,1,1,17,2,20,False
2017-08-01,1,0,12,2,18,False
2017-09-01,1,0,12,2,18,False
2017-10-01,1,1,14,3,16,False
2017-11-01,1,1,19,4,14,False
2017-12-01,1,1,16,3,14,False
2018-01-01,1,1,23,3,19,False
2018-02-01,1,1,22,3,17,False
2018-03-01,1,1,16,3,14,False
2018-04-01,0,0,16,3,16,False
2018-05-01,0,2,15,4,17,False
2018-06-01,1,1,16,1,17,False
2018-07-01,1,0,14,1,16,False
2018-08-01,1,0,16,1,17,False
2018-09-01,1,1,15,1,18,False
2018-10-01,0,1,17,3,20,False
2018-11-01,0,0,15,2,17,False
2018-12-01,0,0,15,2,16,False
2019-01-01,1,1,15,2,16,False
2019-02-01,1,1,18,2,19,False
2019-03-01,1,1,12,3,15,False
2019-04-01,0,0,13,2,19,False
2019-05-01,1,1,12,2,16,False
2019-06-01,1,0,11,2,17,False
2019-07-01,1,0,13,1,24,False
