date,John McWhorter,Robert Gordon,Erik Brynjolfsson,Michael Stevens,Iraola,isPartial
2004-01-01,5,100,5,15,7,False
2004-02-01,8,81,0,15,20,False
2004-03-01,18,85,0,14,6,False
2004-04-01,14,60,5,19,6,False
2004-05-01,12,80,6,15,5,False
2004-06-01,16,89,4,20,6,False
2004-07-01,15,82,4,28,6,False
2004-08-01,5,96,0,22,7,False
2004-09-01,9,85,4,32,9,False
2004-10-01,7,81,7,26,9,False
2004-11-01,5,76,0,17,11,False
2004-12-01,3,72,0,19,7,False
2005-01-01,6,71,3,20,10,False
2005-02-01,5,88,6,19,8,False
2005-03-01,5,83,0,16,6,False
2005-04-01,9,84,3,23,8,False
2005-05-01,6,68,0,21,9,False
2005-06-01,5,69,3,24,10,False
2005-07-01,5,74,3,18,8,False
2005-08-01,8,79,5,15,7,False
2005-09-01,6,88,0,17,9,False
2005-10-01,10,79,0,22,9,False
2005-11-01,6,82,2,17,9,False
2005-12-01,6,64,2,15,7,False
2006-01-01,12,80,2,14,6,False
2006-02-01,8,72,2,20,7,False
2006-03-01,5,75,0,19,12,False
2006-04-01,4,69,0,15,8,False
2006-05-01,7,54,2,14,8,False
2006-06-01,6,52,0,17,9,False
2006-07-01,5,59,0,18,10,False
2006-08-01,4,75,2,15,6,False
2006-09-01,5,65,0,12,6,False
2006-10-01,2,61,3,14,9,False
2006-11-01,4,64,3,13,8,False
2006-12-01,5,51,1,16,7,False
2007-01-01,5,50,0,14,9,False
2007-02-01,5,55,1,15,8,False
2007-03-01,5,59,1,14,13,False
2007-04-01,5,61,2,13,8,False
2007-05-01,2,58,2,9,8,False
2007-06-01,2,59,1,13,9,False
2007-07-01,3,54,1,14,7,False
2007-08-01,3,64,1,16,6,False
2007-09-01,3,63,1,11,10,False
2007-10-01,4,56,1,15,8,False
2007-11-01,4,57,0,13,7,False
2007-12-01,2,53,1,14,9,False
2008-01-01,4,52,1,17,6,False
2008-02-01,4,57,0,13,9,False
2008-03-01,10,54,1,13,8,False
2008-04-01,4,57,0,15,9,False
2008-05-01,3,50,1,14,9,False
2008-06-01,3,48,1,15,8,False
2008-07-01,3,45,1,13,5,False
2008-08-01,3,50,1,16,10,False
2008-09-01,6,56,1,12,12,False
2008-10-01,5,49,1,15,10,False
2008-11-01,5,48,1,13,10,False
2008-12-01,3,46,0,13,8,False
2009-01-01,3,46,1,12,10,False
2009-02-01,4,45,1,15,11,False
2009-03-01,5,49,0,13,8,False
2009-04-01,4,47,1,13,10,False
2009-05-01,3,46,1,12,13,False
2009-06-01,2,41,1,19,9,False
2009-07-01,4,47,1,25,9,False
2009-08-01,2,54,1,16,10,False
2009-09-01,3,48,1,12,12,False
2009-10-01,4,49,0,16,9,False
2009-11-01,4,50,1,17,12,False
2009-12-01,4,39,1,12,9,False
2010-01-01,4,47,1,15,11,False
2010-02-01,3,43,1,13,6,False
2010-03-01,3,45,1,13,8,False
2010-04-01,4,44,0,14,9,False
2010-05-01,2,44,0,14,8,False
2010-06-01,2,43,0,12,9,False
2010-07-01,3,41,0,13,7,False
2010-08-01,3,50,1,14,9,False
2010-09-01,3,45,0,13,10,False
2010-10-01,4,43,1,13,11,False
2010-11-01,1,45,0,12,14,False
2010-12-01,3,39,0,13,11,False
2011-01-01,3,42,0,14,9,False
2011-02-01,2,40,1,12,12,False
2011-03-01,2,43,0,11,15,False
2011-04-01,2,35,0,11,11,False
2011-05-01,1,36,0,10,10,False
2011-06-01,1,39,0,12,11,False
2011-07-01,2,39,0,11,9,False
2011-08-01,2,45,1,10,14,False
2011-09-01,3,43,0,10,11,False
2011-10-01,2,40,1,9,10,False
2011-11-01,2,41,0,11,9,False
2011-12-01,1,39,1,14,9,False
2012-01-01,1,42,1,10,8,False
2012-02-01,1,38,1,10,10,False
2012-03-01,2,38,0,10,18,False
2012-04-01,2,43,1,11,11,False
2012-05-01,3,42,1,12,13,False
2012-06-01,2,41,1,10,10,False
2012-07-01,2,42,1,10,7,False
2012-08-01,1,47,1,12,8,False
2012-09-01,1,47,0,12,8,False
2012-10-01,1,40,1,13,8,False
2012-11-01,2,39,0,13,9,False
2012-12-01,1,36,1,14,8,False
2013-01-01,1,44,1,14,8,False
2013-02-01,1,39,1,15,8,False
2013-03-01,1,39,1,16,8,False
2013-04-01,2,40,1,15,8,False
2013-05-01,2,35,1,11,7,False
2013-06-01,2,36,1,12,8,False
2013-07-01,3,34,0,11,8,False
2013-08-01,2,42,1,14,8,False
2013-09-01,2,38,1,12,10,False
2013-10-01,1,36,1,11,8,False
2013-11-01,1,36,1,11,8,False
2013-12-01,1,33,0,17,8,False
2014-01-01,2,32,1,16,7,False
2014-02-01,2,34,1,13,8,False
2014-03-01,3,33,2,14,9,False
2014-04-01,2,33,1,16,7,False
2014-05-01,2,34,1,16,8,False
2014-06-01,1,31,1,18,7,False
2014-07-01,2,35,1,16,8,False
2014-08-01,1,36,1,16,11,False
2014-09-01,1,36,1,13,11,False
2014-10-01,2,31,1,12,9,False
2014-11-01,2,32,1,15,8,False
2014-12-01,2,28,1,14,7,False
2015-01-01,2,34,1,12,7,False
2015-02-01,2,34,0,14,9,False
2015-03-01,2,30,1,13,12,False
2015-04-01,2,30,1,13,12,False
2015-05-01,3,27,1,13,33,False
2015-06-01,1,31,1,13,14,False
2015-07-01,2,29,1,12,16,False
2015-08-01,2,33,1,13,11,False
2015-09-01,4,31,0,14,10,False
2015-10-01,2,29,1,14,8,False
2015-11-01,4,29,1,13,7,False
2015-12-01,3,33,1,14,7,False
2016-01-01,2,35,1,12,8,False
2016-02-01,2,33,1,13,8,False
2016-03-01,2,33,1,12,8,False
2016-04-01,2,31,1,12,6,False
2016-05-01,2,29,1,10,10,False
2016-06-01,1,26,1,11,8,False
2016-07-01,3,26,0,11,9,False
2016-08-01,2,33,0,10,6,False
2016-09-01,3,34,1,13,8,False
2016-10-01,3,27,1,10,8,False
2016-11-01,4,28,1,11,11,False
2016-12-01,2,25,1,15,6,False
2017-01-01,4,26,0,17,6,False
2017-02-01,2,24,1,16,7,False
2017-03-01,3,28,1,14,6,False
2017-04-01,2,26,1,12,6,False
2017-05-01,3,28,1,9,8,False
2017-06-01,2,25,1,9,6,False
2017-07-01,3,23,1,9,6,False
2017-08-01,3,25,1,11,6,False
2017-09-01,3,28,1,8,6,False
2017-10-01,4,27,1,9,5,False
2017-11-01,2,25,1,12,5,False
2017-12-01,3,27,1,13,4,False
2018-01-01,3,25,1,11,6,False
2018-02-01,4,25,1,11,5,False
2018-03-01,4,24,0,13,4,False
2018-04-01,3,24,1,10,5,False
2018-05-01,2,22,1,10,6,False
2018-06-01,3,23,1,9,6,False
2018-07-01,4,21,1,9,5,False
2018-08-01,4,26,1,10,6,False
2018-09-01,4,27,1,8,6,False
2018-10-01,2,23,0,10,6,False
2018-11-01,2,24,1,7,5,False
2018-12-01,4,22,1,12,5,False
2019-01-01,2,25,2,11,5,False
2019-02-01,5,24,1,10,6,False
2019-03-01,3,24,1,11,5,False
2019-04-01,5,22,1,8,6,False
2019-05-01,2,22,0,7,5,False
2019-06-01,3,21,1,11,5,False
2019-07-01,3,22,0,9,8,False
2019-08-01,3,24,0,7,6,False
2019-09-01,4,27,1,7,6,False
2019-10-01,2,25,1,11,5,False
2019-11-01,2,25,0,8,5,False
2019-12-01,4,22,0,9,6,False
2020-01-01,3,26,0,9,9,False
2020-02-01,3,25,1,10,17,False
2020-03-01,2,20,0,8,7,False
2020-04-01,3,20,0,8,6,False
2020-05-01,3,23,1,9,4,False
2020-06-01,22,22,0,10,5,False
2020-07-01,21,23,0,9,11,False
2020-08-01,9,27,0,9,9,False
2020-09-01,21,28,0,8,6,False
