date,Katrina Spade,Sharon Terry, Sofi Tukker,Jim Yong Kim,Iraola,isPartial
2017-10-01,0,2,32,5,6,False
2017-11-01,0,3,69,3,6,False
2017-12-01,0,2,82,3,5,False
2018-01-01,0,1,100,3,8,False
2018-02-01,0,1,80,4,7,False
2018-03-01,0,1,62,3,5,False
2018-04-01,0,1,92,3,6,False
2018-05-01,0,2,92,3,7,False
2018-06-01,1,1,58,2,7,False
2018-07-01,0,2,58,4,6,False
2018-08-01,0,2,52,2,7,False
2018-09-01,0,1,49,4,7,False
2018-10-01,0,2,34,4,8,False
2018-11-01,0,1,66,3,7,False
2018-12-01,0,1,29,3,6,False
2019-01-01,0,1,32,18,6,False
2019-02-01,0,1,31,4,7,False
2019-03-01,0,1,33,2,6,False
2019-04-01,1,2,35,3,8,False
2019-05-01,1,2,30,2,6,False
2019-06-01,0,2,32,1,7,False
2019-07-01,0,2,33,2,10,False
2019-08-01,0,3,40,2,8,False
2019-09-01,0,2,49,2,7,False
2019-10-01,1,2,57,2,6,False
2019-11-01,0,2,55,1,6,False
2019-12-01,1,2,48,1,7,False
2020-01-01,0,2,59,1,11,False
2020-02-01,0,2,61,1,21,False
2020-03-01,0,2,43,1,8,False
2020-04-01,1,3,73,5,7,False
2020-05-01,0,2,45,2,5,False
2020-06-01,0,2,37,1,6,False
2020-07-01,0,1,39,1,13,False
2020-08-01,0,1,37,1,11,False
2020-09-01,1,2,33,1,8,False
2020-10-01,1,2,32,1,8,False
