date,Siyanda Mohutsiwa,Alex Kipman,Angélica Dass,Dan Gross,Iraola,isPartial
2004-01-01,0,0,0,15,23,False
2004-02-01,0,0,0,23,60,False
2004-03-01,0,0,0,19,18,False
2004-04-01,0,0,0,14,19,False
2004-05-01,0,0,0,12,17,False
2004-06-01,0,0,0,12,19,False
2004-07-01,0,0,0,39,17,False
2004-08-01,0,0,0,0,20,False
2004-09-01,0,0,0,22,28,False
2004-10-01,0,0,0,11,26,False
2004-11-01,0,0,0,23,34,False
2004-12-01,0,0,0,21,21,False
2005-01-01,0,0,0,9,31,False
2005-02-01,0,0,0,10,24,False
2005-03-01,0,0,0,14,19,False
2005-04-01,0,0,0,0,24,False
2005-05-01,0,0,0,12,27,False
2005-06-01,0,0,0,13,29,False
2005-07-01,0,0,0,12,25,False
2005-08-01,0,0,0,13,21,False
2005-09-01,0,0,0,14,29,False
2005-10-01,0,0,0,10,27,False
2005-11-01,0,0,0,7,27,False
2005-12-01,0,0,0,13,22,False
2006-01-01,0,0,0,6,17,False
2006-02-01,0,0,0,9,22,False
2006-03-01,0,0,0,13,38,False
2006-04-01,0,0,0,6,24,False
2006-05-01,0,5,0,15,24,False
2006-06-01,0,0,0,7,27,False
2006-07-01,0,0,0,11,32,False
2006-08-01,0,0,0,7,20,False
2006-09-01,0,0,0,12,17,False
2006-10-01,0,0,0,4,27,False
2006-11-01,0,0,0,4,25,False
2006-12-01,0,0,0,12,22,False
2007-01-01,0,0,0,4,27,False
2007-02-01,0,0,0,9,24,False
2007-03-01,0,0,0,7,39,False
2007-04-01,0,0,0,7,25,False
2007-05-01,0,0,0,8,25,False
2007-06-01,0,3,0,8,27,False
2007-07-01,0,0,0,7,22,False
2007-08-01,0,0,0,12,17,False
2007-09-01,0,0,0,18,32,False
2007-10-01,0,0,0,10,24,False
2007-11-01,0,0,0,12,21,False
2007-12-01,0,0,0,11,28,False
2008-01-01,0,0,0,13,18,False
2008-02-01,0,0,0,19,29,False
2008-03-01,0,0,0,8,25,False
2008-04-01,0,0,0,9,27,False
2008-05-01,0,0,0,10,27,False
2008-06-01,0,0,0,16,24,False
2008-07-01,0,0,0,13,15,False
2008-08-01,0,0,0,8,32,False
2008-09-01,0,0,0,10,35,False
2008-10-01,0,0,0,8,30,False
2008-11-01,0,2,0,8,31,False
2008-12-01,0,0,0,7,25,False
2009-01-01,0,0,0,7,30,False
2009-02-01,0,0,0,9,35,False
2009-03-01,0,0,0,6,24,False
2009-04-01,0,0,0,6,32,False
2009-05-01,0,0,0,8,39,False
2009-06-01,0,4,0,5,27,False
2009-07-01,0,2,0,7,26,False
2009-08-01,0,4,0,7,32,False
2009-09-01,0,2,0,6,38,False
2009-10-01,0,4,0,7,28,False
2009-11-01,0,2,0,6,36,False
2009-12-01,0,6,0,9,27,False
2010-01-01,0,3,0,8,35,False
2010-02-01,0,1,0,8,18,False
2010-03-01,0,3,0,7,26,False
2010-04-01,0,0,0,7,27,False
2010-05-01,0,1,0,10,24,False
2010-06-01,0,3,0,9,29,False
2010-07-01,0,1,0,3,20,False
2010-08-01,0,2,1,6,27,False
2010-09-01,0,2,0,7,32,False
2010-10-01,0,3,0,7,34,False
2010-11-01,0,10,0,7,42,False
2010-12-01,0,3,0,5,34,False
2011-01-01,0,3,0,4,28,False
2011-02-01,0,1,0,7,38,False
2011-03-01,0,2,0,7,46,False
2011-04-01,0,2,0,8,34,False
2011-05-01,0,2,0,6,31,False
2011-06-01,0,1,0,4,33,False
2011-07-01,0,3,0,7,28,False
2011-08-01,0,1,0,5,42,False
2011-09-01,0,1,0,6,34,False
2011-10-01,0,5,0,7,32,False
2011-11-01,0,1,0,4,28,False
2011-12-01,0,2,0,6,27,False
