date,Shai Reshef,Hubertus Knabe,Janet Iwasa,Megan Washington,Iraola,isPartial
2008-09-01,0,2,1,11,20,False
2008-10-01,0,2,0,8,17,False
2008-11-01,0,2,0,13,17,False
2008-12-01,1,1,0,9,14,False
2009-01-01,2,1,1,11,17,False
2009-02-01,1,2,0,12,19,False
2009-03-01,0,4,0,18,13,False
2009-04-01,0,8,0,15,17,False
2009-05-01,2,6,1,12,22,False
2009-06-01,2,3,0,18,15,False
2009-07-01,1,3,1,18,15,False
2009-08-01,1,2,0,18,18,False
2009-09-01,1,2,2,9,21,False
2009-10-01,1,2,1,87,15,False
2009-11-01,1,2,0,32,20,False
2009-12-01,0,2,1,26,15,False
2010-01-01,1,1,0,19,19,False
2010-02-01,1,3,0,19,10,False
2010-03-01,1,1,0,20,14,False
2010-04-01,1,1,1,16,15,False
2010-05-01,0,1,0,19,13,False
2010-06-01,0,1,0,18,16,False
2010-07-01,1,1,0,40,11,False
2010-08-01,1,1,0,53,15,False
2010-09-01,0,5,1,41,18,False
2010-10-01,1,1,1,28,19,False
2010-11-01,0,1,1,44,23,False
2010-12-01,0,1,1,27,19,False
2011-01-01,1,1,0,23,16,False
2011-02-01,1,1,1,16,21,False
2011-03-01,0,1,0,22,25,False
2011-04-01,0,1,0,18,19,False
2011-05-01,1,1,0,19,17,False
2011-06-01,1,1,0,15,18,False
2011-07-01,1,2,0,15,15,False
2011-08-01,2,3,1,18,23,False
2011-09-01,1,1,0,11,19,False
2011-10-01,1,1,0,10,18,False
2011-11-01,0,0,0,22,16,False
2011-12-01,0,1,0,12,15,False
2012-01-01,0,1,0,18,14,False
2012-02-01,0,1,0,11,17,False
2012-03-01,0,0,0,13,30,False
2012-04-01,0,1,0,32,19,False
2012-05-01,1,1,1,100,22,False
2012-06-01,1,0,0,18,18,False
2012-07-01,0,1,0,26,13,False
2012-08-01,0,0,0,14,13,False
2012-09-01,1,0,0,12,14,False
2012-10-01,0,0,0,13,14,False
2012-11-01,1,0,0,9,15,False
2012-12-01,0,1,0,10,13,False
2013-01-01,0,0,0,14,13,False
2013-02-01,1,1,0,9,14,False
2013-03-01,0,0,0,9,13,False
2013-04-01,0,1,0,10,14,False
2013-05-01,0,1,0,9,12,False
2013-06-01,0,1,0,8,13,False
2013-07-01,0,0,0,10,13,False
2013-08-01,0,0,1,9,13,False
2013-09-01,1,0,0,10,17,False
2013-10-01,0,1,0,12,14,False
2013-11-01,0,0,0,14,13,False
2013-12-01,0,0,0,8,14,False
2014-01-01,0,2,0,12,12,False
2014-02-01,1,1,0,10,14,False
2014-03-01,0,1,1,14,16,False
2014-04-01,0,1,0,13,12,False
2014-05-01,0,1,0,17,14,False
2014-06-01,0,0,0,28,11,False
2014-07-01,0,0,0,45,14,False
2014-08-01,2,2,1,24,19,False
2014-09-01,1,0,1,22,20,False
2014-10-01,0,0,1,18,15,False
2014-11-01,0,1,0,21,14,False
2014-12-01,0,1,0,16,12,False
2015-01-01,0,1,0,15,12,False
2015-02-01,0,0,1,17,15,False
2015-03-01,0,1,0,12,20,False
2015-04-01,0,1,0,9,21,False
2015-05-01,0,1,0,9,55,False
2015-06-01,0,0,0,11,24,False
2015-07-01,1,0,0,19,28,False
2015-08-01,0,1,0,23,19,False
2015-09-01,0,0,0,14,17,False
2015-10-01,0,1,1,10,13,False
2015-11-01,1,0,0,14,13,False
2015-12-01,0,0,0,12,11,False
2016-01-01,0,0,0,8,13,False
2016-02-01,1,0,0,9,13,False
2016-03-01,1,1,0,9,14,False
2016-04-01,0,1,0,8,10,False
2016-05-01,1,1,0,12,18,False
2016-06-01,0,0,0,7,14,False
2016-07-01,0,0,0,6,15,False
2016-08-01,1,0,0,8,10,False
2016-09-01,0,0,0,7,14,False
2016-10-01,0,1,0,7,13,False
2016-11-01,0,1,0,11,18,False
2016-12-01,0,1,1,7,11,False
2017-01-01,0,1,0,8,10,False
2017-02-01,0,0,1,5,12,False
2017-03-01,0,0,0,8,10,False
2017-04-01,0,0,0,6,10,False
2017-05-01,0,1,0,9,13,False
2017-06-01,0,0,0,7,10,False
2017-07-01,0,0,0,8,11,False
2017-08-01,0,0,0,6,10,False
2017-09-01,0,1,0,16,10,False
2017-10-01,0,1,0,10,9,False
2017-11-01,0,1,0,7,8,False
2017-12-01,0,1,0,5,8,False
2018-01-01,0,0,0,6,11,False
2018-02-01,0,1,0,7,9,False
2018-03-01,0,1,0,8,8,False
2018-04-01,0,1,0,7,9,False
2018-05-01,0,1,0,8,9,False
2018-06-01,0,0,0,6,10,False
2018-07-01,0,1,1,5,9,False
2018-08-01,0,0,0,5,10,False
2018-09-01,1,11,1,6,10,False
2018-10-01,0,7,0,7,11,False
2018-11-01,0,6,0,9,9,False
2018-12-01,0,5,0,6,9,False
2019-01-01,1,1,0,5,9,False
2019-02-01,1,2,0,7,10,False
2019-03-01,0,1,0,6,9,False
2019-04-01,0,1,0,6,11,False
2019-05-01,1,1,0,7,9,False
2019-06-01,0,2,0,7,9,False
2019-07-01,0,1,0,10,13,False
2019-08-01,0,1,0,6,11,False
2019-09-01,0,1,0,6,10,False
2019-10-01,0,1,0,6,9,False
2019-11-01,0,2,0,6,9,False
2019-12-01,0,1,0,6,10,False
2020-01-01,1,1,0,7,16,False
2020-02-01,0,2,0,6,30,False
2020-03-01,1,1,0,7,12,False
2020-04-01,0,1,0,5,9,False
2020-05-01,1,1,0,7,8,False
2020-06-01,0,1,0,8,9,False
2020-07-01,0,0,0,10,19,False
2020-08-01,1,1,0,11,15,False
2020-09-01,1,1,0,8,11,False
2020-10-01,0,1,0,5,12,False
