date,Giorgia Lupi,Ari Wallach,Jonathan Marks,Todd Scott,Iraola,isPartial
2004-01-01,0,0,9,100,14,False
2004-02-01,0,0,9,75,36,False
2004-03-01,0,0,15,60,11,False
2004-04-01,0,0,0,61,12,False
2004-05-01,0,0,8,40,10,False
2004-06-01,0,0,11,45,11,False
2004-07-01,0,0,31,52,10,False
2004-08-01,0,0,15,75,12,False
2004-09-01,0,0,11,35,17,False
2004-10-01,0,0,7,32,16,False
2004-11-01,0,0,14,25,21,False
2004-12-01,6,6,19,32,13,False
2005-01-01,0,0,6,48,19,False
2005-02-01,0,0,6,37,15,False
2005-03-01,0,0,5,62,11,False
2005-04-01,0,0,11,37,15,False
2005-05-01,0,0,5,43,16,False
2005-06-01,0,0,5,37,18,False
2005-07-01,5,5,12,35,15,False
2005-08-01,0,0,6,44,13,False
2005-09-01,0,0,10,32,17,False
2005-10-01,0,0,4,43,16,False
2005-11-01,4,0,11,35,16,False
2005-12-01,0,0,8,41,13,False
2006-01-01,0,0,5,44,10,False
2006-02-01,0,0,5,45,13,False
2006-03-01,3,0,3,33,23,False
2006-04-01,0,0,8,43,15,False
2006-05-01,0,0,6,25,14,False
2006-06-01,0,0,6,35,16,False
2006-07-01,0,0,5,35,19,False
2006-08-01,0,0,10,32,12,False
2006-09-01,0,0,9,32,10,False
2006-10-01,0,0,4,33,16,False
2006-11-01,0,2,6,22,15,False
2006-12-01,0,0,3,29,13,False
2007-01-01,0,0,9,33,17,False
2007-02-01,0,0,2,25,14,False
2007-03-01,0,0,5,34,23,False
2007-04-01,0,0,5,31,15,False
2007-05-01,0,0,8,27,15,False
2007-06-01,0,0,6,32,16,False
2007-07-01,0,0,5,23,13,False
2007-08-01,0,0,4,34,10,False
2007-09-01,0,0,6,33,19,False
2007-10-01,0,0,5,24,14,False
2007-11-01,0,0,7,25,12,False
2007-12-01,0,0,5,31,17,False
2008-01-01,0,0,7,32,11,False
2008-02-01,0,0,4,31,17,False
2008-03-01,0,0,2,23,15,False
2008-04-01,0,0,6,29,16,False
2008-05-01,0,0,5,29,16,False
2008-06-01,1,1,7,27,14,False
2008-07-01,0,0,5,28,9,False
2008-08-01,0,0,5,26,19,False
2008-09-01,0,1,5,29,21,False
2008-10-01,0,1,5,25,18,False
2008-11-01,0,0,6,25,19,False
2008-12-01,0,0,4,21,15,False
2009-01-01,0,1,4,18,18,False
2009-02-01,1,0,5,23,21,False
2009-03-01,0,1,5,28,15,False
2009-04-01,1,0,4,30,19,False
2009-05-01,1,0,6,23,24,False
2009-06-01,0,2,3,21,16,False
2009-07-01,1,0,3,23,16,False
2009-08-01,0,0,4,19,19,False
2009-09-01,0,0,7,20,23,False
2009-10-01,0,0,8,18,17,False
2009-11-01,1,1,3,24,22,False
2009-12-01,0,0,6,21,16,False
2010-01-01,0,0,7,22,21,False
2010-02-01,0,0,4,17,11,False
2010-03-01,1,2,5,21,16,False
2010-04-01,1,1,6,20,17,False
2010-05-01,0,1,4,22,14,False
2010-06-01,1,0,5,21,18,False
2010-07-01,0,0,5,20,12,False
2010-08-01,1,0,3,23,16,False
2010-09-01,1,0,7,24,19,False
2010-10-01,1,0,6,21,21,False
2010-11-01,0,1,5,25,25,False
2010-12-01,1,1,6,22,21,False
2011-01-01,0,1,5,25,17,False
2011-02-01,1,1,5,21,23,False
2011-03-01,0,0,4,13,28,False
2011-04-01,0,0,6,20,20,False
2011-05-01,0,0,3,20,19,False
2011-06-01,0,0,3,20,20,False
2011-07-01,0,1,4,18,17,False
2011-08-01,0,0,5,23,25,False
2011-09-01,0,1,5,26,20,False
2011-10-01,1,0,6,21,19,False
2011-11-01,1,1,6,18,17,False
2011-12-01,0,0,6,19,16,False
2012-01-01,0,0,5,20,15,False
2012-02-01,0,0,5,18,18,False
2012-03-01,0,0,5,19,33,False
2012-04-01,0,0,4,18,21,False
2012-05-01,0,0,4,19,24,False
2012-06-01,0,0,3,22,19,False
2012-07-01,0,0,4,20,14,False
2012-08-01,0,0,5,31,14,False
2012-09-01,0,1,3,18,16,False
2012-10-01,0,0,5,27,15,False
2012-11-01,0,0,5,19,16,False
2012-12-01,0,0,5,17,14,False
2013-01-01,1,0,3,16,14,False
2013-02-01,0,0,5,17,15,False
2013-03-01,0,1,5,19,14,False
2013-04-01,0,0,4,17,15,False
2013-05-01,0,0,3,17,13,False
2013-06-01,0,0,2,20,14,False
2013-07-01,1,0,3,20,14,False
2013-08-01,0,0,4,22,15,False
2013-09-01,0,0,4,20,18,False
2013-10-01,1,0,6,30,16,False
2013-11-01,1,0,6,21,14,False
2013-12-01,1,0,5,16,15,False
2014-01-01,1,0,5,18,13,False
2014-02-01,1,0,3,44,15,False
2014-03-01,1,0,4,25,17,False
2014-04-01,0,0,4,23,13,False
2014-05-01,0,0,4,19,15,False
2014-06-01,0,0,3,17,12,False
2014-07-01,0,0,4,19,15,False
2014-08-01,1,0,2,15,20,False
2014-09-01,0,0,4,17,21,False
2014-10-01,0,0,3,18,17,False
2014-11-01,0,0,3,14,16,False
2014-12-01,0,0,4,17,13,False
2015-01-01,0,0,3,20,13,False
2015-02-01,0,0,3,16,16,False
2015-03-01,1,0,2,18,22,False
2015-04-01,1,0,3,15,23,False
2015-05-01,0,0,2,17,60,False
2015-06-01,0,0,5,17,27,False
2015-07-01,0,0,2,17,30,False
2015-08-01,1,0,3,17,21,False
2015-09-01,0,0,3,15,18,False
2015-10-01,1,0,5,15,15,False
2015-11-01,0,1,3,15,14,False
2015-12-01,0,0,4,19,12,False
2016-01-01,0,1,3,17,14,False
2016-02-01,1,0,3,17,14,False
2016-03-01,1,0,4,16,15,False
2016-04-01,1,0,3,16,11,False
2016-05-01,1,0,2,13,19,False
2016-06-01,1,0,3,16,15,False
2016-07-01,0,0,2,13,17,False
2016-08-01,0,0,2,13,11,False
2016-09-01,1,0,3,13,15,False
2016-10-01,1,0,3,13,14,False
2016-11-01,0,0,3,14,20,False
2016-12-01,1,1,3,14,11,False
2017-01-01,1,0,3,13,11,False
2017-02-01,1,0,2,14,13,False
2017-03-01,1,1,2,12,11,False
2017-04-01,2,1,3,15,11,False
2017-05-01,1,1,3,13,14,False
2017-06-01,1,1,2,13,11,False
2017-07-01,1,0,2,13,12,False
2017-08-01,2,0,3,12,11,False
2017-09-01,1,0,2,12,11,False
2017-10-01,1,1,3,13,10,False
2017-11-01,1,0,3,13,9,False
2017-12-01,0,0,3,14,8,False
2018-01-01,1,0,2,14,12,False
2018-02-01,1,0,3,14,10,False
2018-03-01,1,0,3,11,8,False
2018-04-01,1,0,3,15,10,False
2018-05-01,1,0,2,13,10,False
2018-06-01,1,0,2,11,10,False
2018-07-01,1,0,2,13,9,False
2018-08-01,0,0,2,14,11,False
2018-09-01,1,0,2,13,11,False
2018-10-01,1,0,3,12,12,False
2018-11-01,1,0,2,13,10,False
2018-12-01,1,1,3,13,9,False
2019-01-01,1,0,3,14,10,False
2019-02-01,1,0,3,15,11,False
2019-03-01,0,0,2,12,9,False
2019-04-01,1,0,2,13,12,False
2019-05-01,2,0,2,15,9,False
2019-06-01,1,0,2,13,10,False
2019-07-01,1,0,3,13,15,False
2019-08-01,1,0,4,12,12,False
2019-09-01,1,0,2,13,10,False
2019-10-01,1,0,2,14,10,False
2019-11-01,3,0,2,13,10,False
2019-12-01,1,0,2,13,11,False
2020-01-01,1,0,2,15,17,False
2020-02-01,2,0,2,11,32,False
2020-03-01,1,0,2,11,13,False
2020-04-01,2,0,2,13,10,False
2020-05-01,1,0,1,12,8,False
2020-06-01,1,0,2,11,10,False
2020-07-01,1,0,3,13,20,False
2020-08-01,1,0,2,12,16,False
2020-09-01,1,0,3,14,12,False
2020-10-01,0,0,2,13,13,False
