date,Dale Dougherty,Christopher McDougall,Suheir Hammad,Nigel Marsh,Iraola,isPartial
2004-01-01,0,0,38,0,23,False
2004-02-01,0,0,15,15,60,False
2004-03-01,0,0,19,0,18,False
2004-04-01,0,0,14,28,19,False
2004-05-01,12,0,17,12,17,False
2004-06-01,0,0,0,0,19,False
2004-07-01,0,13,32,13,17,False
2004-08-01,12,0,30,0,20,False
2004-09-01,0,0,22,0,28,False
2004-10-01,0,11,11,0,26,False
2004-11-01,11,0,23,11,34,False
2004-12-01,0,0,11,0,21,False
2005-01-01,0,0,14,0,31,False
2005-02-01,10,10,19,0,24,False
2005-03-01,8,0,16,0,19,False
2005-04-01,0,0,9,18,24,False
2005-05-01,0,0,8,0,27,False
2005-06-01,0,0,11,8,29,False
2005-07-01,8,0,33,8,25,False
2005-08-01,8,8,8,12,21,False
2005-09-01,7,0,7,7,29,False
2005-10-01,7,7,11,0,27,False
2005-11-01,13,7,27,0,27,False
2005-12-01,0,0,9,7,22,False
2006-01-01,0,6,6,0,17,False
2006-02-01,12,6,15,6,22,False
2006-03-01,5,0,9,5,38,False
2006-04-01,0,8,7,6,24,False
2006-05-01,8,5,15,5,24,False
2006-06-01,5,0,5,5,27,False
2006-07-01,5,5,8,7,32,False
2006-08-01,0,0,8,0,20,False
2006-09-01,5,0,10,5,17,False
2006-10-01,4,0,9,0,27,False
2006-11-01,0,0,10,4,25,False
2006-12-01,4,0,4,4,22,False
2007-01-01,4,0,7,0,27,False
2007-02-01,4,0,16,4,24,False
2007-03-01,3,3,7,3,39,False
2007-04-01,0,0,13,0,25,False
2007-05-01,3,3,11,5,25,False
2007-06-01,6,3,10,3,27,False
2007-07-01,3,0,6,6,22,False
2007-08-01,0,0,6,5,17,False
2007-09-01,3,0,7,6,32,False
2007-10-01,3,3,12,3,24,False
2007-11-01,3,3,19,3,21,False
2007-12-01,5,3,13,5,28,False
2008-01-01,0,0,6,4,18,False
2008-02-01,0,0,6,4,29,False
2008-03-01,0,0,13,5,25,False
2008-04-01,2,2,7,7,27,False
2008-05-01,2,2,10,2,27,False
2008-06-01,4,0,5,7,24,False
2008-07-01,2,2,7,4,15,False
2008-08-01,2,2,6,3,32,False
2008-09-01,0,4,5,2,35,False
2008-10-01,5,2,7,3,30,False
2008-11-01,2,0,4,6,31,False
2008-12-01,2,0,9,3,25,False
2009-01-01,3,2,8,2,30,False
2009-02-01,3,0,11,4,35,False
2009-03-01,3,3,20,4,24,False
2009-04-01,2,5,13,2,32,False
2009-05-01,2,12,13,3,39,False
2009-06-01,2,10,8,2,27,False
2009-07-01,2,13,4,3,26,False
2009-08-01,2,38,7,3,32,False
2009-09-01,2,24,6,2,38,False
2009-10-01,1,21,7,4,28,False
2009-11-01,2,20,7,4,36,False
2009-12-01,1,10,9,2,27,False
2010-01-01,1,17,6,3,35,False
2010-02-01,2,17,6,3,18,False
2010-03-01,2,19,7,2,26,False
2010-04-01,2,20,6,3,27,False
2010-05-01,3,22,5,2,24,False
2010-06-01,1,19,5,3,29,False
2010-07-01,1,19,3,5,20,False
2010-08-01,1,25,4,2,27,False
2010-09-01,1,18,6,2,32,False
2010-10-01,1,8,6,3,34,False
2010-11-01,2,18,7,1,42,False
2010-12-01,1,11,7,2,34,False
2011-01-01,2,13,4,7,28,False
2011-02-01,3,21,9,31,38,False
2011-03-01,1,14,10,9,46,False
2011-04-01,3,16,10,8,34,False
2011-05-01,1,12,9,7,31,False
2011-06-01,1,15,6,3,33,False
2011-07-01,2,14,4,2,28,False
2011-08-01,0,15,4,5,42,False
2011-09-01,1,16,5,4,34,False
2011-10-01,3,10,5,3,32,False
2011-11-01,2,17,6,3,28,False
2011-12-01,1,13,4,2,27,False
2012-01-01,1,12,3,3,25,False
2012-02-01,2,11,5,4,30,False
2012-03-01,1,11,5,4,54,False
2012-04-01,1,26,3,4,34,False
2012-05-01,2,17,4,4,41,False
2012-06-01,2,15,3,3,32,False
2012-07-01,2,17,4,2,23,False
2012-08-01,2,14,4,6,24,False
2012-09-01,1,12,4,4,26,False
2012-10-01,1,14,3,5,25,False
2012-11-01,2,9,5,4,27,False
2012-12-01,1,12,3,2,23,False
2013-01-01,2,11,4,5,24,False
2013-02-01,1,9,4,4,25,False
2013-03-01,1,7,5,8,23,False
2013-04-01,1,10,5,5,25,False
2013-05-01,2,10,4,4,21,False
2013-06-01,1,10,2,4,23,False
2013-07-01,2,9,3,5,23,False
2013-08-01,1,9,2,4,24,False
2013-09-01,2,7,3,3,30,False
2013-10-01,1,11,4,4,26,False
2013-11-01,1,9,3,5,24,False
2013-12-01,1,6,3,3,25,False
2014-01-01,2,5,4,4,22,False
2014-02-01,1,6,3,3,25,False
2014-03-01,1,4,2,3,28,False
2014-04-01,2,6,2,3,22,False
2014-05-01,1,7,2,4,25,False
2014-06-01,2,7,3,5,21,False
2014-07-01,1,7,4,5,26,False
2014-08-01,2,8,3,5,34,False
2014-09-01,1,6,2,2,35,False
2014-10-01,2,4,1,2,27,False
2014-11-01,1,4,2,4,26,False
2014-12-01,1,6,2,3,22,False
2015-01-01,1,7,2,4,21,False
2015-02-01,2,7,2,3,26,False
2015-03-01,1,7,3,4,37,False
2015-04-01,2,11,3,6,38,False
2015-05-01,1,6,1,5,100,False
2015-06-01,2,8,2,3,44,False
2015-07-01,0,5,1,4,50,False
2015-08-01,1,8,2,3,34,False
