date,Peter Eigen,Jamie Oliver,David Cameron,Philip K. Howard,Iraola,isPartial
2016-02-01,0,55,12,0,0,False
2016-03-01,0,56,9,0,0,False
2016-04-01,0,48,20,0,0,False
2016-05-01,0,44,10,0,1,False
2016-06-01,0,41,53,0,0,False
2016-07-01,0,43,25,0,0,False
2016-08-01,0,59,5,0,0,False
2016-09-01,0,43,6,0,0,False
2016-10-01,0,48,6,0,0,False
2016-11-01,0,53,5,0,1,False
2016-12-01,0,83,4,0,0,False
2017-01-01,0,55,5,0,0,False
2017-02-01,0,48,3,0,0,False
2017-03-01,0,43,4,0,0,False
2017-04-01,0,45,4,0,0,False
2017-05-01,0,40,4,0,0,False
2017-06-01,0,39,6,0,0,False
2017-07-01,0,38,2,0,0,False
2017-08-01,0,41,3,0,0,False
2017-09-01,0,48,3,0,0,False
2017-10-01,0,50,3,0,0,False
2017-11-01,0,55,3,0,0,False
2017-12-01,0,81,4,0,0,False
2018-01-01,0,55,3,0,0,False
2018-02-01,0,50,3,0,0,False
2018-03-01,0,45,3,0,0,False
2018-04-01,0,39,3,0,0,False
2018-05-01,0,37,2,0,0,False
2018-06-01,0,36,2,0,0,False
2018-07-01,0,33,3,0,0,False
2018-08-01,0,38,2,0,0,False
2018-09-01,0,38,2,0,0,False
2018-10-01,0,36,3,0,0,False
2018-11-01,0,38,4,0,0,False
2018-12-01,0,65,4,0,0,False
2019-01-01,0,42,5,0,0,False
2019-02-01,0,37,3,0,0,False
2019-03-01,0,37,5,0,0,False
2019-04-01,0,35,3,0,0,False
2019-05-01,0,44,3,0,0,False
2019-06-01,0,30,3,0,0,False
2019-07-01,0,28,3,0,0,False
2019-08-01,0,31,2,0,0,False
2019-09-01,0,31,8,0,0,False
2019-10-01,0,31,3,0,0,False
2019-11-01,0,34,3,0,0,False
2019-12-01,0,57,3,0,0,False
2020-01-01,0,34,2,0,0,False
2020-02-01,0,32,2,0,1,False
2020-03-01,0,35,2,0,0,False
2020-04-01,0,64,3,0,0,False
2020-05-01,0,49,3,0,0,False
2020-06-01,0,39,2,0,0,False
2020-07-01,0,34,2,0,1,False
2020-08-01,0,33,2,0,0,False
2020-09-01,0,36,2,0,0,False
2020-10-01,0,36,2,0,0,False
