date,Will Marshall,Nancy Frates,Joe Landolina,Rosie King,Iraola,isPartial
2004-01-01,15,0,0,30,23,False
2004-02-01,30,0,0,0,60,False
2004-03-01,25,0,0,19,18,False
2004-04-01,43,0,0,14,19,False
2004-05-01,19,0,0,25,17,False
2004-06-01,21,0,0,12,19,False
2004-07-01,22,0,0,20,17,False
2004-08-01,24,0,0,24,20,False
2004-09-01,17,0,0,11,28,False
2004-10-01,19,0,0,0,26,False
2004-11-01,28,0,0,23,34,False
2004-12-01,14,0,0,16,21,False
2005-01-01,18,0,0,14,31,False
2005-02-01,16,0,0,16,24,False
2005-03-01,16,0,0,16,19,False
2005-04-01,36,0,0,23,24,False
2005-05-01,13,0,0,8,27,False
2005-06-01,16,0,0,0,29,False
2005-07-01,12,0,0,25,25,False
2005-08-01,16,0,0,8,21,False
2005-09-01,26,0,0,14,29,False
2005-10-01,14,0,0,14,27,False
2005-11-01,25,0,0,13,27,False
2005-12-01,24,0,0,15,22,False
2006-01-01,10,0,0,9,17,False
2006-02-01,18,0,6,8,22,False
2006-03-01,20,0,0,13,38,False
2006-04-01,19,0,0,11,24,False
2006-05-01,25,0,0,7,24,False
2006-06-01,9,0,0,8,27,False
2006-07-01,21,0,0,9,32,False
2006-08-01,16,0,0,11,20,False
2006-09-01,6,0,0,6,17,False
2006-10-01,10,0,0,11,27,False
2006-11-01,6,0,0,8,25,False
2006-12-01,13,0,0,22,22,False
2007-01-01,16,0,0,11,27,False
2007-02-01,21,0,0,14,24,False
2007-03-01,24,0,0,7,39,False
2007-04-01,24,0,0,12,25,False
2007-05-01,12,0,0,20,25,False
2007-06-01,16,0,0,10,27,False
2007-07-01,14,0,0,7,22,False
2007-08-01,14,0,0,11,17,False
2007-09-01,14,0,0,12,32,False
2007-10-01,16,3,3,9,24,False
2007-11-01,17,0,0,5,21,False
2007-12-01,14,0,0,10,28,False
2008-01-01,14,0,0,7,18,False
2008-02-01,16,0,0,6,29,False
2008-03-01,16,0,0,8,25,False
2008-04-01,22,0,0,6,27,False
2008-05-01,18,0,0,5,27,False
2008-06-01,17,0,0,9,24,False
2008-07-01,16,0,0,2,15,False
2008-08-01,19,0,0,7,32,False
2008-09-01,17,0,0,9,35,False
2008-10-01,24,0,0,7,30,False
2008-11-01,16,0,0,7,31,False
2008-12-01,14,0,0,12,25,False
2009-01-01,20,2,0,8,30,False
2009-02-01,16,0,0,9,35,False
2009-03-01,22,0,0,7,24,False
2009-04-01,18,0,0,9,32,False
2009-05-01,19,0,0,6,39,False
2009-06-01,24,0,0,7,27,False
2009-07-01,19,0,0,5,26,False
2009-08-01,27,2,0,3,32,False
2009-09-01,21,0,0,8,38,False
2009-10-01,21,0,0,8,28,False
2009-11-01,21,0,0,7,36,False
2009-12-01,21,0,0,8,27,False
2010-01-01,25,0,0,8,35,False
2010-02-01,25,0,0,6,18,False
2010-03-01,29,0,0,9,26,False
2010-04-01,26,0,0,8,27,False
2010-05-01,35,0,0,6,24,False
2010-06-01,18,0,0,9,29,False
2010-07-01,17,0,0,6,20,False
2010-08-01,19,0,0,8,27,False
2010-09-01,25,0,0,9,32,False
2010-10-01,22,0,0,6,34,False
2010-11-01,19,0,0,6,42,False
2010-12-01,20,0,1,5,34,False
2011-01-01,19,0,0,6,28,False
2011-02-01,17,0,1,5,38,False
2011-03-01,25,0,0,4,46,False
2011-04-01,20,0,0,7,34,False
2011-05-01,23,0,0,10,31,False
2011-06-01,24,0,0,11,33,False
2011-07-01,23,0,0,12,28,False
2011-08-01,25,0,0,8,42,False
2011-09-01,22,0,0,5,34,False
2011-10-01,19,0,0,11,32,False
2011-11-01,20,0,0,10,28,False
2011-12-01,24,0,0,8,27,False
2012-01-01,20,0,0,11,25,False
2012-02-01,23,0,0,8,30,False
2012-03-01,39,0,1,9,54,False
2012-04-01,22,0,0,6,34,False
2012-05-01,21,0,0,13,41,False
2012-06-01,18,0,0,7,32,False
2012-07-01,17,0,0,5,23,False
2012-08-01,24,0,0,8,24,False
2012-09-01,21,1,0,9,26,False
2012-10-01,22,0,0,6,25,False
2012-11-01,25,0,0,6,27,False
2012-12-01,24,0,1,7,23,False
2013-01-01,18,0,0,6,24,False
2013-02-01,24,0,0,9,25,False
2013-03-01,28,0,3,8,23,False
2013-04-01,21,0,1,9,25,False
2013-05-01,22,0,1,7,21,False
2013-06-01,19,0,1,7,23,False
2013-07-01,18,0,1,7,23,False
2013-08-01,17,0,0,9,24,False
2013-09-01,24,0,0,6,30,False
2013-10-01,27,0,1,7,26,False
2013-11-01,30,0,1,8,24,False
2013-12-01,27,0,1,7,25,False
2014-01-01,24,0,1,6,22,False
2014-02-01,22,0,0,5,25,False
2014-03-01,24,0,1,9,28,False
2014-04-01,21,0,1,8,22,False
2014-05-01,21,0,0,7,25,False
2014-06-01,16,0,1,10,21,False
2014-07-01,19,0,0,7,26,False
2014-08-01,17,1,1,7,34,False
2014-09-01,35,1,0,8,35,False
2014-10-01,25,1,1,8,27,False
2014-11-01,31,1,7,14,26,False
2014-12-01,26,1,5,12,22,False
2015-01-01,24,1,1,13,21,False
2015-02-01,23,1,2,10,26,False
2015-03-01,22,1,1,9,37,False
2015-04-01,22,1,1,7,38,False
2015-05-01,19,0,1,9,100,False
2015-06-01,19,1,3,8,44,False
2015-07-01,16,0,1,8,50,False
2015-08-01,19,2,3,10,34,False
2015-09-01,24,0,5,9,30,False
2015-10-01,22,0,2,8,24,False
2015-11-01,24,0,1,8,23,False
2015-12-01,21,0,1,5,20,False
2016-01-01,21,1,1,9,24,False
2016-02-01,20,0,1,10,23,False
2016-03-01,22,0,1,9,26,False
2016-04-01,21,0,1,6,18,False
2016-05-01,17,0,1,9,32,False
2016-06-01,19,0,0,7,26,False
2016-07-01,27,1,1,8,28,False
2016-08-01,19,1,1,8,18,False
2016-09-01,30,0,1,7,25,False
