date,Becky  Blanton,Marcus du Sautoy,Matthew White,Stefana Broadbent,Iraola,isPartial
2004-01-01,0,0,61,0,14,False
2004-02-01,0,9,60,0,36,False
2004-03-01,0,11,67,0,11,False
2004-04-01,9,0,52,0,12,False
2004-05-01,0,8,48,0,10,False
2004-06-01,8,7,77,0,11,False
2004-07-01,0,0,70,0,10,False
2004-08-01,0,7,58,0,12,False
2004-09-01,0,0,51,0,17,False
2004-10-01,0,0,43,0,16,False
2004-11-01,0,0,50,0,21,False
2004-12-01,6,0,59,0,13,False
2005-01-01,0,0,35,0,19,False
2005-02-01,0,6,73,0,15,False
2005-03-01,5,5,67,0,11,False
2005-04-01,0,5,66,0,15,False
2005-05-01,0,5,55,0,16,False
2005-06-01,5,10,53,0,18,False
2005-07-01,0,5,48,0,15,False
2005-08-01,0,5,49,0,13,False
2005-09-01,0,7,49,0,17,False
2005-10-01,4,4,49,0,16,False
2005-11-01,0,4,47,4,16,False
2005-12-01,0,7,41,0,13,False
2006-01-01,0,3,55,0,10,False
2006-02-01,0,4,49,7,13,False
2006-03-01,0,6,51,0,23,False
2006-04-01,0,3,52,0,14,False
2006-05-01,0,3,49,0,14,False
2006-06-01,0,0,46,0,16,False
2006-07-01,0,6,43,0,19,False
2006-08-01,0,3,58,3,12,False
2006-09-01,0,3,32,0,10,False
2006-10-01,0,3,44,0,16,False
2006-11-01,3,4,43,0,15,False
2006-12-01,0,14,48,0,13,False
2007-01-01,0,5,32,0,17,False
2007-02-01,0,2,40,2,14,False
2007-03-01,0,2,42,0,23,False
2007-04-01,0,5,41,0,15,False
2007-05-01,0,3,34,0,15,False
2007-06-01,0,3,44,2,16,False
2007-07-01,0,2,39,2,13,False
2007-08-01,0,3,45,0,10,False
2007-09-01,0,0,43,0,19,False
2007-10-01,0,2,37,0,14,False
2007-11-01,0,2,35,2,12,False
2007-12-01,0,2,41,0,17,False
2008-01-01,0,3,34,0,11,False
2008-02-01,0,4,44,0,17,False
2008-03-01,0,4,40,0,15,False
2008-04-01,1,4,35,1,16,False
2008-05-01,0,3,43,0,16,False
2008-06-01,1,2,38,0,14,False
2008-07-01,1,3,37,1,9,False
2008-08-01,1,2,34,1,19,False
2008-09-01,0,3,37,0,21,False
2008-10-01,1,13,37,0,18,False
2008-11-01,1,7,39,0,19,False
2008-12-01,0,9,32,0,15,False
2009-01-01,1,8,34,0,18,False
2009-02-01,1,4,36,0,21,False
2009-03-01,1,4,35,0,15,False
2009-04-01,0,9,51,0,19,False
2009-05-01,0,7,35,0,24,False
2009-06-01,0,3,37,0,16,False
2009-07-01,0,3,43,1,16,False
2009-08-01,0,6,40,0,19,False
2009-09-01,0,2,40,0,23,False
2009-10-01,2,11,54,0,17,False
2009-11-01,3,8,63,1,22,False
2009-12-01,1,4,58,0,16,False
2010-01-01,0,8,56,1,21,False
2010-02-01,1,9,60,2,11,False
2010-03-01,1,5,62,1,16,False
2010-04-01,0,4,52,1,17,False
2010-05-01,1,5,55,1,14,False
2010-06-01,2,5,52,1,18,False
2010-07-01,1,4,49,0,12,False
2010-08-01,1,4,57,1,16,False
2010-09-01,1,7,53,0,19,False
2010-10-01,1,7,38,0,21,False
2010-11-01,0,4,42,2,25,False
2010-12-01,1,7,45,1,21,False
2011-01-01,1,3,67,1,17,False
2011-02-01,1,10,56,1,23,False
2011-03-01,0,6,59,1,27,False
2011-04-01,1,4,48,1,20,False
2011-05-01,0,4,44,1,19,False
2011-06-01,1,3,48,1,20,False
2011-07-01,1,15,50,1,17,False
2011-08-01,1,17,52,1,25,False
2011-09-01,1,8,40,1,20,False
2011-10-01,1,14,42,1,19,False
2011-11-01,1,8,42,0,17,False
2011-12-01,1,5,52,1,16,False
2012-01-01,0,3,44,0,15,False
2012-02-01,0,9,46,0,18,False
2012-03-01,0,3,40,1,33,False
2012-04-01,0,9,42,1,20,False
2012-05-01,0,12,36,1,24,False
2012-06-01,0,4,41,0,19,False
2012-07-01,1,7,51,1,14,False
2012-08-01,0,4,56,0,14,False
2012-09-01,0,5,53,0,16,False
2012-10-01,0,5,42,1,15,False
2012-11-01,0,5,47,1,16,False
2012-12-01,0,4,51,0,14,False
2013-01-01,0,4,73,1,14,False
2013-02-01,0,4,100,1,15,False
2013-03-01,0,5,48,0,14,False
2013-04-01,0,6,49,0,15,False
2013-05-01,0,6,42,0,13,False
