date,Julie Taymor,Peter van Manen,Beardyman,Daniel H. Cohen,Iraola,isPartial
2004-01-01,31,0,0,0,15,False
2004-02-01,35,0,0,0,40,False
2004-03-01,21,0,0,0,12,False
2004-04-01,20,0,0,0,13,False
2004-05-01,14,0,0,0,11,False
2004-06-01,25,0,0,0,12,False
2004-07-01,15,9,0,0,12,False
2004-08-01,12,0,0,0,14,False
2004-09-01,22,0,0,0,19,False
2004-10-01,33,8,0,0,18,False
2004-11-01,25,0,0,0,23,False
2004-12-01,12,0,0,0,14,False
2005-01-01,19,0,0,0,21,False
2005-02-01,20,0,7,0,16,False
2005-03-01,11,0,5,0,13,False
2005-04-01,31,6,0,0,16,False
2005-05-01,23,0,0,0,18,False
2005-06-01,16,0,0,0,20,False
2005-07-01,15,0,0,5,17,False
2005-08-01,16,5,5,0,14,False
2005-09-01,15,10,0,0,19,False
2005-10-01,21,0,5,0,18,False
2005-11-01,17,0,5,5,18,False
2005-12-01,24,4,4,0,15,False
2006-01-01,30,0,0,4,12,False
2006-02-01,19,0,0,0,15,False
2006-03-01,15,0,0,0,25,False
2006-04-01,12,0,4,0,16,False
2006-05-01,15,3,3,0,16,False
2006-06-01,11,0,4,0,18,False
2006-07-01,19,0,5,0,21,False
2006-08-01,12,0,0,0,13,False
2006-09-01,8,0,7,0,12,False
2006-10-01,10,0,4,0,18,False
2006-11-01,11,0,6,0,17,False
2006-12-01,15,0,15,3,15,False
2007-01-01,23,3,9,3,18,False
2007-02-01,17,3,49,0,16,False
2007-03-01,14,0,30,0,26,False
2007-04-01,19,2,13,0,17,False
2007-05-01,27,0,11,0,17,False
2007-06-01,12,0,16,0,18,False
2007-07-01,18,0,24,0,15,False
2007-08-01,19,0,16,0,11,False
2007-09-01,73,2,8,0,22,False
2007-10-01,58,0,15,0,16,False
2007-11-01,40,2,24,2,14,False
2007-12-01,25,0,10,0,19,False
2008-01-01,21,2,8,0,12,False
2008-02-01,41,0,11,2,19,False
2008-03-01,29,0,10,0,17,False
2008-04-01,22,2,16,0,18,False
2008-05-01,15,0,10,0,18,False
2008-06-01,19,0,14,0,16,False
2008-07-01,18,0,19,0,10,False
2008-08-01,11,0,25,0,22,False
2008-09-01,14,1,27,0,24,False
2008-10-01,16,0,20,0,20,False
2008-11-01,10,0,38,0,21,False
2008-12-01,12,0,26,0,17,False
2009-01-01,9,1,21,0,20,False
2009-02-01,12,0,22,1,23,False
2009-03-01,14,1,24,0,16,False
2009-04-01,11,1,56,0,21,False
2009-05-01,14,0,96,0,26,False
2009-06-01,14,0,53,0,18,False
2009-07-01,9,0,42,0,18,False
2009-08-01,14,0,46,1,22,False
2009-09-01,12,1,50,0,26,False
2009-10-01,14,1,50,0,19,False
2009-11-01,11,1,32,1,24,False
2009-12-01,11,1,34,0,18,False
2010-01-01,11,0,43,0,23,False
2010-02-01,11,1,47,0,12,False
2010-03-01,11,1,38,0,18,False
2010-04-01,12,1,51,0,18,False
2010-05-01,9,0,54,0,16,False
2010-06-01,10,0,48,0,20,False
2010-07-01,7,0,66,0,14,False
2010-08-01,13,0,59,0,18,False
2010-09-01,16,0,56,0,22,False
2010-10-01,20,1,59,0,23,False
2010-11-01,46,0,52,0,28,False
2010-12-01,62,1,48,0,23,False
2011-01-01,20,1,79,0,19,False
2011-02-01,20,1,76,0,25,False
2011-03-01,75,1,76,0,31,False
2011-04-01,24,1,71,0,23,False
2011-05-01,23,0,100,0,21,False
2011-06-01,35,0,59,0,22,False
2011-07-01,12,0,55,0,19,False
2011-08-01,10,1,67,0,28,False
2011-09-01,12,0,58,0,23,False
2011-10-01,12,0,52,0,21,False
2011-11-01,19,1,52,0,19,False
2011-12-01,11,0,44,0,18,False
2012-01-01,13,0,37,0,17,False
2012-02-01,15,0,28,1,20,False
2012-03-01,15,0,35,0,36,False
2012-04-01,9,1,32,0,23,False
2012-05-01,12,0,28,0,27,False
2012-06-01,8,1,27,0,21,False
2012-07-01,9,1,27,0,15,False
2012-08-01,8,1,22,0,16,False
2012-09-01,8,0,26,0,17,False
2012-10-01,7,0,24,0,17,False
2012-11-01,9,0,29,0,18,False
2012-12-01,9,0,23,0,16,False
2013-01-01,8,0,22,0,16,False
2013-02-01,14,1,19,0,17,False
2013-03-01,10,0,20,0,16,False
2013-04-01,10,1,27,0,17,False
2013-05-01,7,0,26,0,14,False
2013-06-01,8,0,20,0,16,False
2013-07-01,6,0,20,0,16,False
2013-08-01,9,1,28,1,16,False
2013-09-01,8,1,17,0,20,False
2013-10-01,11,1,20,1,17,False
2013-11-01,13,0,22,0,16,False
2013-12-01,12,1,20,0,16,False
2014-01-01,10,2,15,0,15,False
2014-02-01,6,0,17,0,17,False
2014-03-01,7,1,15,0,19,False
