date,Bandi Mbubi,Ed Gavagan,Andrew McAfee,Read Montague,Iraola,isPartial
2017-11-01,0,0,5,1,14,False
2017-12-01,0,0,3,1,14,False
2018-01-01,0,0,4,1,19,False
2018-02-01,0,0,3,1,17,False
2018-03-01,0,1,4,1,14,False
2018-04-01,0,2,4,0,16,False
2018-05-01,0,1,4,2,17,False
2018-06-01,0,0,3,1,17,False
2018-07-01,0,1,3,1,16,False
2018-08-01,0,0,3,1,17,False
2018-09-01,0,1,3,1,18,False
2018-10-01,0,0,3,1,20,False
2018-11-01,0,0,4,1,17,False
2018-12-01,0,0,3,1,16,False
2019-01-01,0,1,5,1,16,False
2019-02-01,0,0,5,1,19,False
2019-03-01,0,0,3,1,15,False
2019-04-01,0,0,2,1,19,False
2019-05-01,0,1,2,1,16,False
2019-06-01,0,0,4,1,17,False
2019-07-01,0,0,4,1,24,False
2019-08-01,0,2,7,1,20,False
2019-09-01,0,0,5,1,17,False
2019-10-01,0,0,15,0,16,False
2019-11-01,0,0,7,1,16,False
2019-12-01,0,0,3,0,19,False
2020-01-01,0,0,5,1,28,False
2020-02-01,0,0,3,1,54,False
2020-03-01,0,0,2,0,21,False
2020-04-01,0,0,4,1,17,False
2020-05-01,0,0,2,1,14,False
2020-06-01,0,0,3,1,16,False
2020-07-01,0,0,2,0,34,False
2020-08-01,0,0,3,0,27,False
2020-09-01,0,0,3,1,19,False
2020-10-01,0,0,3,1,21,False
