date,Bobby McFerrin,Daniel Kahneman,Harsha Bhogle,Gary Flake,Iraola,isPartial
2004-01-01,49,11,15,6,8,False
2004-02-01,75,8,6,0,23,False
2004-03-01,37,7,7,0,7,False
2004-04-01,96,14,5,0,7,False
2004-05-01,87,14,14,0,6,False
2004-06-01,65,25,7,0,7,False
2004-07-01,55,8,5,0,7,False
2004-08-01,48,9,7,5,8,False
2004-09-01,55,7,6,0,10,False
2004-10-01,44,10,6,4,10,False
2004-11-01,62,13,4,0,13,False
2004-12-01,49,7,6,4,8,False
2005-01-01,81,9,3,3,12,False
2005-02-01,53,17,7,0,9,False
2005-03-01,65,12,6,0,7,False
2005-04-01,62,12,7,3,9,False
2005-05-01,76,13,3,3,10,False
2005-06-01,51,6,3,3,11,False
2005-07-01,66,9,3,3,9,False
2005-08-01,65,6,6,3,8,False
2005-09-01,49,7,5,0,11,False
2005-10-01,55,14,8,4,10,False
2005-11-01,57,6,8,3,10,False
2005-12-01,61,6,5,4,8,False
2006-01-01,57,5,5,2,6,False
2006-02-01,39,6,5,2,8,False
2006-03-01,50,7,6,2,14,False
2006-04-01,52,6,4,2,9,False
2006-05-01,47,6,3,3,9,False
2006-06-01,37,3,5,2,10,False
2006-07-01,42,5,2,2,12,False
2006-08-01,47,5,4,4,7,False
2006-09-01,47,7,2,2,6,False
2006-10-01,43,7,4,2,10,False
2006-11-01,53,9,4,0,9,False
2006-12-01,47,4,4,2,8,False
2007-01-01,74,7,4,2,10,False
2007-02-01,65,6,3,3,9,False
2007-03-01,50,5,4,0,15,False
2007-04-01,59,4,4,0,9,False
2007-05-01,78,6,2,1,9,False
2007-06-01,43,5,3,0,10,False
2007-07-01,42,4,4,1,8,False
2007-08-01,44,7,6,1,6,False
2007-09-01,43,5,7,2,12,False
2007-10-01,38,7,5,0,9,False
2007-11-01,40,5,2,1,8,False
2007-12-01,47,4,4,1,11,False
2008-01-01,42,5,11,1,7,False
2008-02-01,60,5,7,1,11,False
2008-03-01,52,4,5,1,10,False
2008-04-01,55,5,6,0,10,False
2008-05-01,65,5,3,1,10,False
2008-06-01,49,4,4,3,9,False
2008-07-01,52,5,3,0,6,False
2008-08-01,34,3,3,1,12,False
2008-09-01,51,4,2,1,13,False
2008-10-01,38,7,4,1,11,False
2008-11-01,40,4,5,1,12,False
2008-12-01,48,4,4,1,9,False
2009-01-01,56,5,5,1,11,False
2009-02-01,49,6,4,0,13,False
2009-03-01,44,5,3,1,9,False
2009-04-01,44,3,7,1,12,False
2009-05-01,48,5,7,1,15,False
2009-06-01,40,3,9,1,10,False
2009-07-01,36,3,4,1,10,False
2009-08-01,84,4,6,1,12,False
2009-09-01,46,4,7,1,14,False
2009-10-01,51,5,8,0,10,False
2009-11-01,59,5,8,1,14,False
