date,Jake Wood,Gary Greenberg,Georgette Mulheir,Jeff Hancock,Iraola,isPartial
2004-01-01,11,11,0,22,16,False
2004-02-01,0,11,0,11,43,False
2004-03-01,20,13,0,13,13,False
2004-04-01,10,10,0,16,14,False
2004-05-01,9,9,0,0,12,False
2004-06-01,15,18,0,9,13,False
2004-07-01,19,28,0,19,12,False
2004-08-01,13,17,0,17,14,False
2004-09-01,12,8,0,8,20,False
2004-10-01,8,0,0,12,19,False
2004-11-01,11,16,0,8,24,False
2004-12-01,8,11,0,8,15,False
2005-01-01,9,13,0,7,22,False
2005-02-01,7,0,0,7,18,False
2005-03-01,8,0,0,12,14,False
2005-04-01,7,7,0,7,17,False
2005-05-01,6,9,0,11,19,False
2005-06-01,9,6,0,0,21,False
2005-07-01,6,6,0,6,18,False
2005-08-01,6,9,0,11,15,False
2005-09-01,0,10,0,10,21,False
2005-10-01,10,0,0,5,19,False
2005-11-01,5,6,0,10,19,False
2005-12-01,11,5,0,5,16,False
2006-01-01,11,0,0,4,12,False
2006-02-01,9,0,0,4,16,False
2006-03-01,7,4,0,4,27,False
2006-04-01,16,4,0,4,17,False
2006-05-01,14,7,0,4,17,False
2006-06-01,13,10,0,8,19,False
2006-07-01,23,6,0,4,23,False
2006-08-01,12,9,0,7,14,False
2006-09-01,10,10,0,3,12,False
2006-10-01,12,3,0,3,19,False
2006-11-01,16,9,0,5,18,False
2006-12-01,9,0,0,3,16,False
2007-01-01,11,4,0,3,20,False
2007-02-01,14,5,0,3,17,False
2007-03-01,14,4,0,4,28,False
2007-04-01,10,8,0,3,18,False
2007-05-01,15,4,0,7,18,False
2007-06-01,8,3,0,2,19,False
2007-07-01,11,3,0,5,16,False
2007-08-01,17,2,0,6,12,False
2007-09-01,10,4,0,6,23,False
2007-10-01,9,3,0,5,17,False
2007-11-01,13,2,0,4,15,False
2007-12-01,14,5,0,4,20,False
2008-01-01,17,7,0,5,13,False
2008-02-01,20,6,0,4,21,False
2008-03-01,34,2,0,3,18,False
2008-04-01,11,7,0,4,19,False
2008-05-01,8,4,0,4,19,False
2008-06-01,10,4,0,5,17,False
2008-07-01,11,3,0,4,11,False
2008-08-01,16,2,0,5,23,False
2008-09-01,7,5,0,5,26,False
2008-10-01,21,3,0,5,22,False
2008-11-01,12,4,1,2,22,False
2008-12-01,8,3,0,5,18,False
2009-01-01,13,3,0,5,22,False
2009-02-01,12,4,0,3,25,False
2009-03-01,7,2,0,1,17,False
2009-04-01,9,4,0,3,23,False
2009-05-01,12,3,1,5,28,False
2009-06-01,13,2,0,2,19,False
2009-07-01,12,4,0,4,19,False
2009-08-01,7,5,0,4,23,False
2009-09-01,11,4,0,3,28,False
2009-10-01,10,3,0,2,20,False
2009-11-01,13,3,0,2,26,False
2009-12-01,10,2,0,4,19,False
2010-01-01,15,4,0,2,25,False
2010-02-01,19,3,0,4,13,False
2010-03-01,15,8,0,3,19,False
2010-04-01,13,4,0,4,20,False
2010-05-01,17,3,0,6,17,False
2010-06-01,18,3,0,5,21,False
2010-07-01,11,3,1,3,15,False
2010-08-01,12,2,0,3,19,False
2010-09-01,11,2,1,2,23,False
2010-10-01,12,2,0,3,25,False
2010-11-01,11,2,0,2,30,False
2010-12-01,14,2,0,3,25,False
2011-01-01,13,1,0,3,20,False
2011-02-01,10,2,0,5,27,False
2011-03-01,10,4,0,2,33,False
2011-04-01,23,3,0,4,24,False
2011-05-01,9,3,1,3,22,False
2011-06-01,9,1,1,1,23,False
2011-07-01,12,6,1,2,20,False
2011-08-01,27,2,0,3,30,False
2011-09-01,12,4,1,3,24,False
2011-10-01,16,2,0,3,23,False
2011-11-01,20,3,0,3,20,False
2011-12-01,14,2,0,2,19,False
2012-01-01,11,4,0,2,18,False
2012-02-01,11,3,1,2,22,False
2012-03-01,12,3,0,2,39,False
2012-04-01,12,1,0,2,24,False
2012-05-01,14,2,0,3,29,False
2012-06-01,15,2,0,2,23,False
2012-07-01,13,3,0,1,16,False
2012-08-01,11,1,1,3,17,False
2012-09-01,12,3,0,2,19,False
2012-10-01,10,3,0,1,18,False
2012-11-01,15,4,0,2,19,False
2012-12-01,18,3,1,1,17,False
2013-01-01,23,3,0,3,17,False
2013-02-01,18,3,0,3,18,False
2013-03-01,19,1,0,3,17,False
2013-04-01,25,3,0,4,18,False
2013-05-01,25,5,0,2,15,False
2013-06-01,16,4,0,2,17,False
2013-07-01,18,3,0,1,17,False
2013-08-01,17,2,0,3,17,False
2013-09-01,19,3,0,2,22,False
2013-10-01,11,3,0,1,19,False
2013-11-01,17,2,0,3,17,False
2013-12-01,14,3,0,1,18,False
2014-01-01,13,7,0,1,16,False
2014-02-01,14,2,0,2,18,False
2014-03-01,12,3,0,3,20,False
2014-04-01,18,2,0,3,16,False
2014-05-01,28,3,1,2,18,False
2014-06-01,14,2,0,3,15,False
2014-07-01,11,3,0,3,18,False
2014-08-01,28,3,0,3,24,False
2014-09-01,32,2,0,1,25,False
2014-10-01,100,2,1,3,20,False
2014-11-01,54,2,0,2,19,False
2014-12-01,46,3,0,2,16,False
2015-01-01,28,2,0,3,15,False
2015-02-01,38,2,0,3,19,False
2015-03-01,14,2,0,2,26,False
2015-04-01,15,1,0,2,27,False
2015-05-01,14,2,0,1,72,False
2015-06-01,11,2,0,2,32,False
2015-07-01,16,2,0,2,36,False
2015-08-01,13,1,0,2,25,False
2015-09-01,18,2,0,1,21,False
2015-10-01,21,2,0,2,17,False
2015-11-01,19,2,0,2,16,False
2015-12-01,15,2,0,2,14,False
2016-01-01,13,2,0,1,17,False
2016-02-01,12,2,0,2,17,False
2016-03-01,11,2,0,1,18,False
2016-04-01,12,2,0,1,13,False
2016-05-01,16,2,0,1,23,False
2016-06-01,12,1,0,0,18,False
2016-07-01,11,2,0,2,20,False
2016-08-01,11,1,0,1,13,False
2016-09-01,9,1,0,2,18,False
2016-10-01,11,2,1,2,17,False
2016-11-01,9,2,0,2,24,False
2016-12-01,13,2,0,1,14,False
2017-01-01,15,2,0,2,13,False
2017-02-01,14,2,0,1,15,False
2017-03-01,9,2,0,2,13,False
2017-04-01,11,2,0,1,13,False
2017-05-01,9,1,0,1,17,False
2017-06-01,12,1,0,1,13,False
2017-07-01,13,1,0,2,14,False
2017-08-01,13,2,1,1,13,False
2017-09-01,16,1,0,3,13,False
2017-10-01,13,2,1,2,11,False
2017-11-01,11,1,0,2,10,False
2017-12-01,31,1,0,1,10,False
2018-01-01,17,1,0,2,14,False
2018-02-01,12,1,0,2,12,False
2018-03-01,10,2,0,1,10,False
2018-04-01,14,2,0,1,12,False
2018-05-01,12,1,0,1,12,False
2018-06-01,12,1,0,2,12,False
2018-07-01,29,1,0,1,11,False
2018-08-01,13,1,0,1,13,False
2018-09-01,10,2,0,1,13,False
2018-10-01,9,2,0,2,14,False
2018-11-01,11,2,0,1,12,False
2018-12-01,23,2,0,1,11,False
2019-01-01,11,1,0,2,11,False
2019-02-01,9,1,0,2,13,False
2019-03-01,10,1,0,2,11,False
2019-04-01,18,1,0,1,14,False
2019-05-01,9,2,0,1,11,False
2019-06-01,9,1,0,1,12,False
2019-07-01,11,2,0,1,17,False
2019-08-01,13,1,0,2,14,False
2019-09-01,13,1,0,2,12,False
2019-10-01,8,1,0,2,12,False
2019-11-01,11,1,0,2,12,False
2019-12-01,10,1,0,1,13,False
2020-01-01,9,1,0,2,20,False
2020-02-01,14,1,0,2,38,False
2020-03-01,12,1,0,2,15,False
2020-04-01,15,3,0,2,12,False
2020-05-01,9,1,0,1,10,False
2020-06-01,12,1,0,2,11,False
2020-07-01,11,1,0,2,24,False
2020-08-01,11,2,0,1,19,False
2020-09-01,16,1,0,1,14,False
2020-10-01,9,1,0,1,15,False
