date,Keolu Fox,Seema Bansal,Brian Little,Tom Hulme,Iraola,isPartial
2016-02-01,1,1,40,1,23,False
2016-03-01,0,0,37,1,25,False
2016-04-01,0,0,36,1,18,False
2016-05-01,0,1,33,1,32,False
2016-06-01,1,2,33,2,25,False
2016-07-01,1,1,32,1,27,False
2016-08-01,0,2,34,3,18,False
2016-09-01,1,2,33,3,25,False
2016-10-01,0,1,34,2,24,False
2016-11-01,0,1,34,1,33,False
2016-12-01,0,1,26,2,19,False
2017-01-01,0,0,30,2,18,False
2017-02-01,0,1,33,1,21,False
2017-03-01,0,1,31,1,18,False
2017-04-01,0,1,33,2,19,False
2017-05-01,0,1,29,1,24,False
2017-06-01,0,1,31,2,19,False
2017-07-01,0,1,29,1,20,False
2017-08-01,0,0,34,1,18,False
2017-09-01,0,1,33,1,18,False
2017-10-01,0,1,33,1,16,False
2017-11-01,0,3,30,1,14,False
2017-12-01,0,1,31,1,14,False
2018-01-01,0,1,27,1,19,False
2018-02-01,0,1,41,1,17,False
2018-03-01,0,1,34,1,13,False
2018-04-01,1,1,35,0,16,False
2018-05-01,0,1,37,1,17,False
2018-06-01,0,0,29,0,17,False
2018-07-01,0,0,30,1,16,False
2018-08-01,0,2,28,1,17,False
2018-09-01,0,1,29,1,18,False
2018-10-01,0,1,31,0,20,False
2018-11-01,0,1,35,1,17,False
2018-12-01,1,2,37,1,16,False
2019-01-01,1,1,38,1,16,False
2019-02-01,1,2,31,1,19,False
2019-03-01,0,2,28,1,15,False
2019-04-01,0,1,30,1,19,False
2019-05-01,0,1,24,1,16,False
2019-06-01,0,2,28,1,17,False
2019-07-01,0,1,32,1,24,False
2019-08-01,0,2,38,1,20,False
2019-09-01,1,1,30,1,17,False
2019-10-01,1,1,27,1,16,False
2019-11-01,0,1,36,1,16,False
2019-12-01,0,1,31,1,19,False
2020-01-01,0,1,32,1,28,False
2020-02-01,0,1,32,1,53,False
2020-03-01,0,0,29,1,21,False
2020-04-01,0,1,41,1,17,False
2020-05-01,0,1,34,1,14,False
2020-06-01,1,2,33,1,16,False
2020-07-01,1,1,29,1,34,False
2020-08-01,0,1,28,1,26,False
2020-09-01,1,1,26,0,19,False
2020-10-01,1,1,26,0,21,False
