date,Natalie MacMaster,Sergey Brin + Larry Page,Stew,James Howard Kunstler,Iraola,isPartial
2004-01-01,3,2,54,0,1,False
2004-02-01,1,4,43,0,1,False
2004-03-01,2,3,45,1,0,False
2004-04-01,1,6,33,0,0,False
2004-05-01,1,4,31,0,0,False
2004-06-01,2,3,27,0,0,False
2004-07-01,1,3,26,0,0,False
2004-08-01,1,5,31,0,0,False
2004-09-01,2,4,37,0,1,False
2004-10-01,1,5,53,1,1,False
2004-11-01,1,2,54,0,1,False
2004-12-01,1,4,52,0,0,False
2005-01-01,1,4,56,1,1,False
2005-02-01,1,3,45,0,1,False
2005-03-01,1,3,45,1,0,False
2005-04-01,1,4,32,1,1,False
2005-05-01,1,4,30,1,1,False
2005-06-01,1,3,29,1,1,False
2005-07-01,1,3,30,1,1,False
2005-08-01,0,3,33,1,0,False
2005-09-01,1,5,38,1,1,False
2005-10-01,0,5,59,1,1,False
2005-11-01,0,5,56,1,1,False
2005-12-01,0,4,59,1,0,False
2006-01-01,1,9,52,1,0,False
2006-02-01,0,6,46,1,0,False
2006-03-01,1,5,46,0,1,False
2006-04-01,1,3,32,1,1,False
2006-05-01,0,5,31,1,1,False
2006-06-01,1,3,32,1,1,False
2006-07-01,0,3,33,1,1,False
2006-08-01,1,4,36,0,0,False
2006-09-01,0,4,44,0,0,False
2006-10-01,0,5,62,0,1,False
2006-11-01,0,4,58,0,1,False
2006-12-01,1,3,50,0,0,False
2007-01-01,1,3,52,0,1,False
2007-02-01,1,4,48,0,1,False
2007-03-01,0,3,42,0,1,False
2007-04-01,0,4,33,1,1,False
2007-05-01,0,5,28,0,1,False
2007-06-01,0,3,27,0,1,False
2007-07-01,0,3,28,0,0,False
2007-08-01,0,3,29,1,0,False
2007-09-01,0,5,39,1,1,False
2007-10-01,0,4,52,1,1,False
2007-11-01,0,8,55,0,0,False
2007-12-01,0,9,58,0,1,False
2008-01-01,0,4,60,1,0,False
2008-02-01,1,4,47,1,1,False
2008-03-01,0,3,47,1,1,False
2008-04-01,0,4,34,1,1,False
2008-05-01,0,6,31,1,1,False
2008-06-01,0,4,29,1,1,False
2008-07-01,0,3,29,1,0,False
2008-08-01,0,2,32,1,1,False
2008-09-01,0,7,43,1,1,False
2008-10-01,0,3,59,1,1,False
2008-11-01,0,3,61,0,1,False
2008-12-01,0,3,63,1,1,False
2009-01-01,0,3,68,1,1,False
2009-02-01,0,2,53,1,1,False
2009-03-01,0,4,51,1,1,False
2009-04-01,0,3,38,0,1,False
2009-05-01,0,4,35,0,1,False
2009-06-01,0,3,32,1,1,False
2009-07-01,0,2,33,0,1,False
2009-08-01,0,3,39,1,1,False
2009-09-01,0,3,48,0,1,False
2009-10-01,0,4,69,0,1,False
2009-11-01,0,4,64,0,1,False
2009-12-01,0,3,63,0,1,False
2010-01-01,0,4,71,0,1,False
2010-02-01,0,4,56,1,0,False
2010-03-01,0,5,49,0,1,False
2010-04-01,0,3,37,0,1,False
2010-05-01,0,3,35,0,1,False
2010-06-01,0,3,33,0,1,False
2010-07-01,0,2,34,0,0,False
2010-08-01,0,3,40,0,1,False
2010-09-01,0,3,50,0,1,False
2010-10-01,0,4,68,0,1,False
2010-11-01,0,3,72,0,1,False
2010-12-01,0,3,69,0,1,False
2011-01-01,0,11,77,0,1,False
2011-02-01,0,4,61,0,1,False
2011-03-01,0,3,54,0,1,False
2011-04-01,0,6,42,0,1,False
2011-05-01,0,4,41,0,1,False
2011-06-01,0,3,39,0,1,False
2011-07-01,0,6,36,0,1,False
2011-08-01,0,6,40,0,1,False
2011-09-01,0,5,53,0,1,False
2011-10-01,0,7,72,0,1,False
2011-11-01,0,5,73,0,1,False
2011-12-01,0,3,74,0,1,False
2012-01-01,0,4,82,0,1,False
2012-02-01,0,4,65,0,1,False
2012-03-01,0,3,56,0,1,False
2012-04-01,0,6,44,0,1,False
2012-05-01,0,5,39,0,1,False
2012-06-01,0,5,37,0,1,False
2012-07-01,0,4,39,0,1,False
2012-08-01,0,3,42,0,1,False
2012-09-01,0,4,59,0,1,False
2012-10-01,0,4,79,0,1,False
2012-11-01,0,3,74,0,1,False
2012-12-01,0,3,73,0,1,False
2013-01-01,0,7,84,0,1,False
2013-02-01,0,5,70,0,1,False
2013-03-01,0,5,66,0,1,False
2013-04-01,0,5,48,0,1,False
2013-05-01,0,8,41,0,0,False
2013-06-01,0,4,40,0,1,False
2013-07-01,0,4,39,0,1,False
2013-08-01,0,8,42,0,1,False
2013-09-01,0,8,62,0,1,False
2013-10-01,0,6,82,0,1,False
2013-11-01,0,6,84,0,1,False
2013-12-01,0,5,78,0,1,False
2014-01-01,0,5,89,0,0,False
2014-02-01,0,5,73,0,1,False
