date,Dave Brain,Monica Araya,James Green,Gonzalo Vilariño,Iraola,isPartial
2017-10-01,1,0,28,0,2,False
2017-11-01,1,0,25,0,2,False
2017-12-01,1,0,29,0,2,False
2018-01-01,1,0,30,0,3,False
2018-02-01,1,0,28,0,3,False
2018-03-01,1,0,27,0,2,False
2018-04-01,1,0,28,0,3,False
2018-05-01,1,0,39,0,3,False
2018-06-01,1,0,37,0,3,False
2018-07-01,1,0,26,0,2,False
2018-08-01,1,0,25,0,3,False
2018-09-01,1,0,23,0,3,False
2018-10-01,1,0,23,0,3,False
2018-11-01,0,0,28,0,3,False
2018-12-01,0,0,25,0,2,False
2019-01-01,1,0,29,0,2,False
2019-02-01,1,0,30,0,3,False
2019-03-01,1,0,25,0,2,False
2019-04-01,1,0,26,0,3,False
2019-05-01,1,0,32,0,2,False
2019-06-01,1,0,24,0,3,False
2019-07-01,1,0,24,0,4,False
2019-08-01,1,0,23,0,3,False
2019-09-01,1,0,24,0,3,False
2019-10-01,1,0,27,0,3,False
2019-11-01,1,0,29,0,3,False
2019-12-01,1,0,28,0,3,False
2020-01-01,1,0,28,0,4,False
2020-02-01,1,0,29,0,8,False
2020-03-01,1,0,23,0,3,False
2020-04-01,1,0,24,0,3,False
2020-05-01,1,0,26,0,2,False
2020-06-01,1,0,24,0,2,False
2020-07-01,1,0,24,0,5,False
2020-08-01,1,0,28,0,4,False
2020-09-01,1,0,31,0,3,False
2020-10-01,1,0,29,0,3,False
