date,Antony Gormley,Jonathan Trent,Kent Larson,Scott Fraser,Iraola,isPartial
2004-01-01,22,22,0,22,15,False
2004-02-01,45,15,0,22,45,False
2004-03-01,55,0,18,73,18,False
2004-04-01,99,0,29,21,21,False
2004-05-01,49,0,18,12,12,False
2004-06-01,31,0,25,37,18,False
2004-07-01,32,13,13,38,13,False
2004-08-01,18,0,24,48,18,False
2004-09-01,60,11,11,49,27,False
2004-10-01,17,11,11,22,17,False
2004-11-01,45,0,11,22,28,False
2004-12-01,47,10,31,47,21,False
2005-01-01,50,0,18,23,27,False
2005-02-01,63,10,43,19,24,False
2005-03-01,28,8,32,24,16,False
2005-04-01,32,9,9,23,27,False
2005-05-01,55,0,32,20,32,False
2005-06-01,36,8,16,12,32,False
2005-07-01,65,8,24,28,20,False
2005-08-01,27,23,12,51,16,False
2005-09-01,50,7,11,21,25,False
2005-10-01,64,7,13,20,33,False
2005-11-01,37,0,17,37,33,False
2005-12-01,19,7,23,33,26,False
2006-01-01,49,6,14,23,17,False
2006-02-01,30,18,18,18,21,False
2006-03-01,23,5,20,28,35,False
2006-04-01,25,5,25,44,22,False
2006-05-01,27,5,15,32,32,False
2006-06-01,40,10,16,40,29,False
2006-07-01,26,5,8,24,29,False
2006-08-01,10,10,12,58,19,False
2006-09-01,28,5,19,30,12,False
2006-10-01,55,4,8,49,19,False
2006-11-01,47,6,10,27,31,False
2006-12-01,28,4,9,28,24,False
2007-01-01,41,4,9,41,22,False
2007-02-01,27,6,8,23,21,False
2007-03-01,41,5,5,29,36,False
2007-04-01,18,5,11,44,27,False
2007-05-01,90,3,11,34,21,False
2007-06-01,74,5,11,27,22,False
2007-07-01,54,6,12,26,26,False
2007-08-01,71,9,9,28,18,False
2007-09-01,57,3,6,30,29,False
2007-10-01,44,4,3,31,21,False
2007-11-01,41,3,8,25,20,False
2007-12-01,30,4,9,23,27,False
2008-01-01,27,4,7,25,21,False
2008-02-01,27,6,6,21,33,False
2008-03-01,30,5,10,32,18,False
2008-04-01,38,4,11,41,28,False
2008-05-01,38,6,3,22,30,False
2008-06-01,44,7,7,34,22,False
2008-07-01,22,2,6,34,14,False
2008-08-01,21,2,7,29,32,False
2008-09-01,41,2,4,23,35,False
2008-10-01,27,4,4,30,31,False
2008-11-01,35,6,5,24,33,False
2008-12-01,22,4,7,32,25,False
2009-01-01,29,5,4,19,25,False
2009-02-01,46,4,3,25,39,False
2009-03-01,39,2,3,41,29,False
2009-04-01,30,2,4,49,35,False
2009-05-01,34,2,7,30,42,False
2009-06-01,20,0,8,32,25,False
2009-07-01,44,5,8,34,24,False
2009-08-01,46,2,2,28,32,False
2009-09-01,47,5,3,30,43,False
2009-10-01,70,3,4,33,24,False
2009-11-01,71,6,8,30,36,False
2009-12-01,48,4,1,33,25,False
2010-01-01,54,5,5,28,35,False
2010-02-01,50,7,3,28,17,False
2010-03-01,82,4,6,26,24,False
2010-04-01,71,5,6,25,30,False
2010-05-01,48,6,4,36,21,False
2010-06-01,64,5,6,30,29,False
2010-07-01,49,5,5,34,21,False
2010-08-01,46,3,4,27,25,False
2010-09-01,41,3,3,31,29,False
2010-10-01,37,3,3,38,30,False
2010-11-01,37,3,4,24,37,False
2010-12-01,23,4,3,33,38,False
2011-01-01,41,2,4,26,24,False
2011-02-01,42,2,4,22,39,False
2011-03-01,36,4,7,33,45,False
2011-04-01,37,1,6,15,30,False
2011-05-01,39,6,3,26,32,False
2011-06-01,33,5,5,24,35,False
2011-07-01,27,3,4,24,26,False
2011-08-01,30,8,5,24,36,False
2011-09-01,35,4,4,21,37,False
2011-10-01,42,2,2,23,33,False
2011-11-01,46,5,4,24,27,False
2011-12-01,30,3,3,29,26,False
2012-01-01,36,4,5,22,26,False
2012-02-01,36,3,3,28,30,False
2012-03-01,31,2,6,25,50,False
2012-04-01,26,2,3,23,35,False
2012-05-01,47,1,4,20,38,False
2012-06-01,34,1,4,17,30,False
2012-07-01,29,4,3,22,22,False
2012-08-01,37,6,6,17,21,False
2012-09-01,46,10,6,21,23,False
2012-10-01,40,3,5,21,26,False
2012-11-01,37,3,4,20,24,False
2012-12-01,25,6,4,26,23,False
2013-01-01,36,2,3,24,23,False
2013-02-01,31,4,5,24,26,False
2013-03-01,35,3,4,20,23,False
2013-04-01,25,3,4,20,23,False
2013-05-01,27,3,2,23,17,False
2013-06-01,24,4,2,21,24,False
2013-07-01,16,3,2,23,20,False
2013-08-01,19,3,3,18,22,False
2013-09-01,27,3,4,21,28,False
2013-10-01,34,3,4,21,24,False
2013-11-01,35,3,3,21,22,False
2013-12-01,22,2,4,24,25,False
2014-01-01,29,3,3,24,21,False
2014-02-01,32,2,2,24,25,False
2014-03-01,43,3,1,17,29,False
2014-04-01,33,2,3,18,21,False
2014-05-01,20,2,3,23,25,False
2014-06-01,27,3,3,13,20,False
2014-07-01,17,1,3,17,27,False
2014-08-01,26,3,2,19,33,False
2014-09-01,28,4,3,19,35,False
2014-10-01,29,3,2,21,27,False
2014-11-01,30,4,3,18,30,False
2014-12-01,21,3,2,20,23,False
2015-01-01,25,3,2,17,23,False
2015-02-01,23,2,2,20,25,False
2015-03-01,33,3,3,18,37,False
2015-04-01,33,3,3,20,39,False
2015-05-01,35,4,2,16,100,False
2015-06-01,31,3,3,16,40,False
2015-07-01,25,1,5,23,48,False
2015-08-01,22,3,2,17,37,False
