date,Steve Jurvetson,Roy Gould + Curtis Wong,Alan Kay,Jill Bolte Taylor,Iraola,isPartial
2004-01-01,0,10,53,0,15,False
2004-02-01,0,10,53,10,40,False
2004-03-01,12,0,33,0,12,False
2004-04-01,10,10,51,0,13,False
2004-05-01,0,17,30,0,11,False
2004-06-01,0,8,36,0,12,False
2004-07-01,9,9,40,0,12,False
2004-08-01,0,8,45,0,13,False
2004-09-01,11,7,29,0,18,False
2004-10-01,8,8,55,0,18,False
2004-11-01,8,0,40,0,23,False
2004-12-01,7,0,26,0,14,False
2005-01-01,6,6,43,0,20,False
2005-02-01,7,0,35,0,16,False
2005-03-01,5,5,47,0,13,False
2005-04-01,0,6,30,0,16,False
2005-05-01,5,5,23,0,18,False
2005-06-01,5,5,32,0,20,False
2005-07-01,0,5,65,5,16,False
2005-08-01,0,10,28,5,14,False
2005-09-01,5,7,32,0,19,False
2005-10-01,4,4,30,0,18,False
2005-11-01,9,4,34,0,18,False
2005-12-01,4,0,31,0,15,False
2006-01-01,4,4,28,0,12,False
2006-02-01,6,4,33,4,15,False
2006-03-01,3,3,31,0,25,False
2006-04-01,4,4,22,0,16,False
2006-05-01,3,3,26,0,16,False
2006-06-01,4,5,21,0,18,False
2006-07-01,4,4,21,0,21,False
2006-08-01,4,3,23,0,13,False
2006-09-01,0,3,35,0,11,False
2006-10-01,3,3,26,0,18,False
2006-11-01,3,3,13,0,17,False
2006-12-01,3,3,23,0,14,False
2007-01-01,0,6,35,2,18,False
2007-02-01,3,4,27,0,16,False
2007-03-01,6,2,29,0,26,False
2007-04-01,4,2,20,0,17,False
2007-05-01,2,5,23,2,16,False
2007-06-01,2,3,23,0,18,False
2007-07-01,0,6,15,2,15,False
2007-08-01,2,2,19,0,11,False
2007-09-01,3,2,10,2,21,False
2007-10-01,2,2,17,0,16,False
2007-11-01,2,2,22,0,14,False
2007-12-01,2,4,21,2,19,False
2008-01-01,2,2,27,0,12,False
2008-02-01,2,7,19,0,19,False
2008-03-01,3,2,14,46,17,False
2008-04-01,2,4,17,53,18,False
2008-05-01,1,1,15,100,18,False
2008-06-01,2,2,17,71,16,False
2008-07-01,2,2,12,40,10,False
2008-08-01,1,3,24,26,21,False
2008-09-01,1,3,22,24,24,False
2008-10-01,1,4,26,43,20,False
2008-11-01,2,3,18,31,21,False
2008-12-01,3,2,17,24,17,False
2009-01-01,1,2,20,23,20,False
2009-02-01,2,3,16,28,23,False
2009-03-01,1,2,19,30,16,False
2009-04-01,4,2,16,26,21,False
2009-05-01,2,0,18,35,26,False
2009-06-01,3,3,17,24,18,False
2009-07-01,1,3,16,23,17,False
2009-08-01,2,1,16,21,21,False
2009-09-01,0,3,15,27,26,False
2009-10-01,1,1,16,30,19,False
2009-11-01,3,2,16,21,24,False
2009-12-01,1,1,17,20,18,False
2010-01-01,1,1,15,15,23,False
2010-02-01,2,3,17,28,12,False
2010-03-01,2,2,11,18,17,False
2010-04-01,1,1,20,22,18,False
2010-05-01,3,2,14,17,16,False
2010-06-01,2,2,15,13,19,False
2010-07-01,1,3,10,14,14,False
2010-08-01,1,3,14,14,18,False
2010-09-01,1,1,15,19,21,False
2010-10-01,1,3,10,16,23,False
2010-11-01,1,2,12,14,28,False
2010-12-01,1,2,16,15,23,False
2011-01-01,2,1,14,11,19,False
2011-02-01,1,2,9,15,25,False
2011-03-01,1,2,12,14,30,False
2011-04-01,1,2,13,13,23,False
2011-05-01,1,1,12,20,21,False
2011-06-01,1,1,11,15,22,False
2011-07-01,2,2,12,12,18,False
2011-08-01,1,2,14,10,28,False
2011-09-01,1,1,9,18,23,False
2011-10-01,1,1,20,13,21,False
2011-11-01,1,2,20,18,19,False
2011-12-01,1,1,13,11,18,False
2012-01-01,1,1,15,16,17,False
2012-02-01,1,2,14,14,20,False
2012-03-01,1,1,13,16,36,False
2012-04-01,1,2,15,15,23,False
2012-05-01,1,2,12,13,27,False
2012-06-01,2,2,20,15,21,False
2012-07-01,1,1,16,16,15,False
2012-08-01,1,2,13,15,16,False
2012-09-01,1,1,14,13,17,False
2012-10-01,1,2,13,12,17,False
2012-11-01,2,1,14,14,18,False
2012-12-01,0,1,13,12,15,False
2013-01-01,1,1,13,15,16,False
2013-02-01,1,1,10,15,16,False
2013-03-01,1,1,16,14,15,False
2013-04-01,2,2,15,13,17,False
2013-05-01,1,1,12,14,14,False
2013-06-01,1,2,11,12,15,False
2013-07-01,2,1,10,10,16,False
2013-08-01,1,1,16,11,16,False
2013-09-01,1,1,12,11,20,False
2013-10-01,2,1,14,12,17,False
2013-11-01,1,1,13,11,16,False
2013-12-01,1,1,11,11,16,False
2014-01-01,2,1,12,14,15,False
2014-02-01,2,2,11,9,17,False
2014-03-01,2,2,8,10,19,False
2014-04-01,2,1,11,9,15,False
2014-05-01,1,1,9,10,16,False
2014-06-01,2,2,10,6,14,False
2014-07-01,1,2,10,10,17,False
2014-08-01,3,1,8,9,22,False
2014-09-01,1,1,8,9,23,False
2014-10-01,2,1,8,10,18,False
2014-11-01,1,1,11,9,17,False
2014-12-01,2,1,9,8,14,False
2015-01-01,1,1,11,8,14,False
2015-02-01,2,1,10,10,18,False
2015-03-01,1,2,9,10,24,False
2015-04-01,1,1,8,9,25,False
2015-05-01,2,2,8,7,67,False
2015-06-01,2,1,11,7,29,False
2015-07-01,2,1,9,8,33,False
2015-08-01,2,1,26,6,23,False
2015-09-01,2,1,12,7,20,False
2015-10-01,3,1,11,8,16,False
2015-11-01,3,1,10,9,15,False
2015-12-01,3,1,13,5,13,False
2016-01-01,3,1,9,5,16,False
2016-02-01,1,1,8,10,16,False
2016-03-01,2,0,10,5,17,False
2016-04-01,3,2,14,6,12,False
2016-05-01,2,1,16,5,21,False
2016-06-01,1,1,20,4,17,False
2016-07-01,1,1,14,4,18,False
2016-08-01,2,1,9,5,12,False
2016-09-01,1,1,10,5,17,False
2016-10-01,2,1,8,6,16,False
2016-11-01,2,1,10,4,22,False
2016-12-01,2,1,11,4,13,False
2017-01-01,2,1,12,5,12,False
2017-02-01,2,1,9,6,14,False
2017-03-01,1,1,10,6,12,False
2017-04-01,3,0,10,4,12,False
2017-05-01,1,1,11,4,16,False
2017-06-01,1,1,11,4,12,False
2017-07-01,1,2,9,3,13,False
2017-08-01,2,1,8,5,12,False
2017-09-01,3,1,9,6,12,False
2017-10-01,5,1,8,5,11,False
2017-11-01,15,1,8,7,9,False
2017-12-01,3,1,8,6,9,False
2018-01-01,11,1,8,5,13,False
2018-02-01,4,1,9,5,11,False
2018-03-01,1,1,8,4,9,False
2018-04-01,3,1,8,5,11,False
2018-05-01,1,1,7,4,11,False
2018-06-01,7,1,7,6,11,False
2018-07-01,4,1,8,4,10,False
2018-08-01,2,1,9,3,12,False
2018-09-01,2,1,9,4,12,False
2018-10-01,1,1,10,5,13,False
2018-11-01,1,1,9,5,11,False
2018-12-01,2,1,7,4,10,False
2019-01-01,1,1,8,4,11,False
2019-02-01,2,1,9,4,12,False
2019-03-01,1,1,6,5,10,False
2019-04-01,1,1,8,4,13,False
2019-05-01,1,1,10,3,10,False
2019-06-01,1,1,8,4,11,False
2019-07-01,1,1,7,3,16,False
2019-08-01,1,1,10,2,13,False
2019-09-01,1,1,7,4,12,False
2019-10-01,1,1,7,5,11,False
2019-11-01,1,1,10,3,11,False
2019-12-01,1,1,8,3,12,False
2020-01-01,1,1,8,4,19,False
2020-02-01,1,1,7,4,36,False
2020-03-01,2,1,6,3,14,False
2020-04-01,1,1,7,3,11,False
2020-05-01,1,1,10,5,9,False
2020-06-01,2,1,11,3,11,False
2020-07-01,1,1,14,3,22,False
2020-08-01,1,1,12,2,18,False
2020-09-01,1,1,8,4,13,False
2020-10-01,1,1,8,3,14,False
