date,Frans Lanting,Sheila Patek,Jill Sobule,Caroline Lavelle,Iraola,isPartial
2015-06-01,6,0,6,2,44,False
2015-07-01,3,0,4,1,50,False
2015-08-01,3,1,4,1,34,False
2015-09-01,4,0,2,1,30,False
2015-10-01,7,0,4,3,24,False
2015-11-01,5,0,3,1,23,False
2015-12-01,6,0,4,1,20,False
2016-01-01,6,0,4,2,24,False
2016-02-01,4,0,5,1,23,False
2016-03-01,4,0,7,2,26,False
2016-04-01,4,0,4,1,18,False
2016-05-01,4,2,4,1,32,False
2016-06-01,12,0,4,1,26,False
2016-07-01,7,0,5,1,28,False
2016-08-01,9,1,3,1,18,False
2016-09-01,7,0,3,1,25,False
2016-10-01,11,0,3,2,24,False
2016-11-01,5,0,3,1,33,False
2016-12-01,4,0,3,2,19,False
2017-01-01,4,0,3,1,18,False
2017-02-01,5,0,3,1,21,False
2017-03-01,5,0,4,3,18,False
2017-04-01,4,0,5,1,19,False
2017-05-01,5,0,3,1,24,False
2017-06-01,3,1,3,0,19,False
2017-07-01,3,0,3,2,20,False
2017-08-01,8,1,2,2,18,False
2017-09-01,6,0,2,1,18,False
2017-10-01,9,0,2,0,16,False
2017-11-01,23,1,3,1,14,False
2017-12-01,5,0,3,1,14,False
2018-01-01,4,1,3,1,19,False
2018-02-01,4,0,3,1,17,False
2018-03-01,3,0,3,1,14,False
2018-04-01,5,0,3,1,16,False
2018-05-01,4,1,4,1,17,False
2018-06-01,3,0,3,1,17,False
2018-07-01,2,0,3,1,16,False
2018-08-01,4,1,3,1,17,False
2018-09-01,6,1,4,1,18,False
2018-10-01,9,0,7,1,20,False
2018-11-01,7,1,3,1,17,False
2018-12-01,7,0,3,1,16,False
2019-01-01,7,0,4,0,16,False
2019-02-01,8,0,3,1,19,False
2019-03-01,5,0,2,2,15,False
2019-04-01,5,0,2,1,19,False
2019-05-01,4,0,2,1,16,False
2019-06-01,3,0,2,1,17,False
2019-07-01,3,0,2,2,24,False
2019-08-01,4,0,3,1,20,False
2019-09-01,5,0,2,1,17,False
2019-10-01,6,0,2,1,16,False
2019-11-01,5,0,4,1,16,False
2019-12-01,6,0,3,1,19,False
2020-01-01,4,0,3,1,28,False
2020-02-01,6,0,3,2,54,False
2020-03-01,8,0,2,0,21,False
2020-04-01,3,0,3,1,17,False
2020-05-01,2,0,1,1,14,False
2020-06-01,2,0,2,0,16,False
2020-07-01,2,0,3,1,34,False
2020-08-01,3,0,2,1,27,False
2020-09-01,4,0,1,1,19,False
2020-10-01,3,0,3,1,21,False
