date,Fawn Qiu,Hector Garcia,Kimberlé Crenshaw,Bettina Warburg,Iraola,isPartial
2013-08-01,0,39,1,0,24,False
2013-09-01,0,45,1,0,30,False
2013-10-01,0,41,1,0,26,False
2013-11-01,1,39,1,1,24,False
2013-12-01,0,32,1,0,25,False
2014-01-01,0,38,1,0,22,False
2014-02-01,2,44,1,1,25,False
2014-03-01,0,40,1,0,28,False
2014-04-01,0,43,0,1,22,False
2014-05-01,0,50,1,1,25,False
2014-06-01,0,38,1,1,21,False
2014-07-01,0,34,1,0,26,False
2014-08-01,1,35,1,1,34,False
2014-09-01,0,40,1,0,35,False
2014-10-01,0,40,1,1,27,False
2014-11-01,0,37,1,1,26,False
2014-12-01,0,30,2,0,22,False
2015-01-01,0,43,1,1,21,False
2015-02-01,0,42,1,0,26,False
2015-03-01,0,40,1,0,37,False
2015-04-01,0,42,1,0,38,False
2015-05-01,0,43,1,0,100,False
2015-06-01,0,30,1,0,44,False
2015-07-01,0,37,1,0,50,False
2015-08-01,0,39,1,0,34,False
2015-09-01,0,37,1,0,30,False
2015-10-01,0,36,2,0,24,False
2015-11-01,0,40,1,0,23,False
2015-12-01,0,32,1,0,20,False
2016-01-01,0,37,2,0,24,False
2016-02-01,0,41,1,0,23,False
2016-03-01,0,35,1,0,26,False
2016-04-01,0,46,1,0,18,False
2016-05-01,0,44,1,0,32,False
2016-06-01,0,35,1,1,26,False
2016-07-01,0,31,1,1,28,False
2016-08-01,0,35,1,0,18,False
2016-09-01,0,33,1,0,25,False
2016-10-01,0,39,2,0,24,False
2016-11-01,2,32,3,11,33,False
2016-12-01,1,24,2,7,19,False
2017-01-01,1,31,2,3,18,False
2017-02-01,1,39,3,2,21,False
2017-03-01,1,37,3,3,18,False
2017-04-01,0,40,2,3,19,False
2017-05-01,0,38,2,2,24,False
2017-06-01,0,27,1,4,19,False
2017-07-01,0,28,1,3,20,False
2017-08-01,0,30,3,7,18,False
2017-09-01,0,28,1,6,18,False
2017-10-01,0,33,2,4,16,False
2017-11-01,0,29,2,8,14,False
2017-12-01,0,29,2,20,14,False
2018-01-01,0,28,2,15,19,False
2018-02-01,0,39,2,6,17,False
2018-03-01,0,35,2,6,14,False
2018-04-01,0,40,3,4,16,False
2018-05-01,0,37,2,4,17,False
2018-06-01,0,31,1,3,17,False
2018-07-01,0,26,1,4,16,False
2018-08-01,0,33,2,3,17,False
2018-09-01,0,32,3,4,18,False
2018-10-01,0,34,2,2,20,False
2018-11-01,0,25,2,2,17,False
2018-12-01,0,21,1,2,16,False
2019-01-01,0,33,2,1,16,False
2019-02-01,0,35,2,1,19,False
2019-03-01,0,32,3,1,15,False
2019-04-01,0,37,2,1,19,False
2019-05-01,0,38,3,2,16,False
2019-06-01,0,74,2,2,17,False
2019-07-01,0,62,2,1,24,False
2019-08-01,0,42,1,2,20,False
2019-09-01,0,31,3,2,17,False
2019-10-01,0,28,3,2,16,False
2019-11-01,0,29,2,2,16,False
2019-12-01,0,27,2,1,19,False
2020-01-01,0,26,2,3,28,False
2020-02-01,0,30,3,2,54,False
2020-03-01,0,25,3,1,21,False
2020-04-01,0,28,3,1,17,False
2020-05-01,0,31,3,2,14,False
2020-06-01,0,31,7,1,16,False
2020-07-01,0,26,5,1,34,False
2020-08-01,0,26,5,2,27,False
2020-09-01,0,26,5,1,19,False
2020-10-01,0,27,5,1,21,False
