date,Aicha el-Wafi + Phyllis Rodriguez,Carlo Ratti,Suzanne Lee,Sean Carroll,Iraola,isPartial
2004-01-01,0,0,23,23,23,False
2004-02-01,0,15,55,30,60,False
2004-03-01,0,0,56,28,18,False
2004-04-01,0,0,38,38,19,False
2004-05-01,0,0,29,46,17,False
2004-06-01,0,12,62,31,19,False
2004-07-01,0,0,39,30,17,False
2004-08-01,0,12,32,36,20,False
2004-09-01,0,11,33,39,28,False
2004-10-01,0,11,17,42,26,False
2004-11-01,0,0,30,11,34,False
2004-12-01,0,10,39,32,21,False
2005-01-01,0,9,31,25,31,False
2005-02-01,0,0,29,59,24,False
2005-03-01,0,8,29,20,19,False
2005-04-01,0,0,46,30,24,False
2005-05-01,0,8,16,37,27,False
2005-06-01,0,12,29,19,29,False
2005-07-01,0,8,25,25,25,False
2005-08-01,0,8,26,11,21,False
2005-09-01,0,7,12,19,29,False
2005-10-01,0,0,36,29,27,False
2005-11-01,0,10,16,27,27,False
2005-12-01,0,7,20,13,22,False
2006-01-01,0,6,25,29,17,False
2006-02-01,0,0,10,24,22,False
2006-03-01,0,5,22,20,38,False
2006-04-01,0,11,26,18,24,False
2006-05-01,0,5,15,10,24,False
2006-06-01,0,5,20,23,27,False
2006-07-01,0,0,14,16,32,False
2006-08-01,0,0,20,15,20,False
2006-09-01,0,5,20,11,17,False
2006-10-01,0,9,17,38,27,False
2006-11-01,0,0,11,28,25,False
2006-12-01,0,4,14,16,22,False
2007-01-01,0,4,16,12,27,False
2007-02-01,0,4,25,33,24,False
2007-03-01,0,3,14,9,39,False
2007-04-01,0,8,14,18,25,False
2007-05-01,0,0,21,14,25,False
2007-06-01,0,10,12,13,27,False
2007-07-01,0,6,9,23,22,False
2007-08-01,0,4,17,10,17,False
2007-09-01,0,3,11,11,32,False
2007-10-01,0,4,17,10,24,False
2007-11-01,0,3,15,12,21,False
2007-12-01,0,4,15,19,28,False
2008-01-01,0,2,24,24,18,False
2008-02-01,0,2,17,14,29,False
2008-03-01,0,5,19,12,25,False
2008-04-01,0,3,18,19,27,False
2008-05-01,0,4,21,13,27,False
2008-06-01,0,6,13,23,24,False
2008-07-01,0,2,20,14,15,False
2008-08-01,0,2,15,13,32,False
2008-09-01,0,4,22,9,35,False
2008-10-01,0,3,13,19,30,False
2008-11-01,0,4,18,17,31,False
2008-12-01,0,3,15,22,25,False
2009-01-01,0,3,16,18,30,False
2009-02-01,0,5,12,21,35,False
2009-03-01,0,4,18,15,24,False
2009-04-01,0,3,12,14,32,False
2009-05-01,0,5,12,11,39,False
2009-06-01,0,3,15,13,27,False
2009-07-01,0,4,18,9,26,False
2009-08-01,0,4,20,15,32,False
2009-09-01,0,4,17,16,38,False
2009-10-01,0,4,20,20,28,False
2009-11-01,0,5,14,14,36,False
2009-12-01,0,5,12,17,27,False
2010-01-01,0,5,12,22,35,False
2010-02-01,0,3,12,27,18,False
2010-03-01,0,4,8,24,26,False
2010-04-01,0,3,19,40,27,False
2010-05-01,0,3,10,20,24,False
2010-06-01,0,2,12,15,29,False
2010-07-01,0,1,15,13,20,False
2010-08-01,0,2,12,13,27,False
2010-09-01,0,3,13,22,32,False
2010-10-01,0,3,13,13,34,False
2010-11-01,0,3,13,14,42,False
2010-12-01,0,3,15,9,34,False
2011-01-01,0,3,15,15,28,False
2011-02-01,0,2,12,15,38,False
2011-03-01,0,3,12,14,46,False
2011-04-01,0,2,9,15,34,False
2011-05-01,0,8,13,19,31,False
2011-06-01,0,7,14,14,33,False
2011-07-01,0,5,12,16,28,False
2011-08-01,0,3,14,16,42,False
2011-09-01,0,2,17,17,34,False
2011-10-01,0,4,17,18,32,False
2011-11-01,0,5,18,19,28,False
2011-12-01,0,2,11,18,27,False
2012-01-01,0,5,9,13,25,False
2012-02-01,0,4,11,13,30,False
2012-03-01,0,5,12,12,54,False
2012-04-01,0,10,12,15,34,False
2012-05-01,0,6,14,15,41,False
2012-06-01,0,4,13,14,32,False
2012-07-01,0,4,15,14,23,False
2012-08-01,0,4,10,16,24,False
2012-09-01,0,5,13,15,26,False
2012-10-01,0,6,9,18,25,False
2012-11-01,0,3,7,23,27,False
2012-12-01,0,4,8,24,23,False
2013-01-01,0,2,10,21,24,False
2013-02-01,0,2,8,18,25,False
2013-03-01,0,3,12,20,23,False
2013-04-01,0,3,12,20,25,False
2013-05-01,0,3,14,16,21,False
2013-06-01,0,6,8,18,23,False
2013-07-01,0,4,9,15,23,False
2013-08-01,0,1,11,18,24,False
2013-09-01,0,5,9,18,30,False
2013-10-01,0,3,11,20,26,False
2013-11-01,0,4,14,17,24,False
2013-12-01,0,5,11,14,25,False
2014-01-01,0,5,9,19,22,False
2014-02-01,0,4,10,35,25,False
2014-03-01,0,4,10,31,28,False
2014-04-01,0,3,11,21,22,False
2014-05-01,0,3,9,22,25,False
2014-06-01,0,3,10,25,21,False
2014-07-01,0,3,8,18,26,False
2014-08-01,0,2,9,19,34,False
2014-09-01,0,4,9,19,35,False
2014-10-01,0,5,9,17,27,False
2014-11-01,0,4,7,19,26,False
2014-12-01,0,4,10,19,22,False
2015-01-01,0,5,10,18,21,False
2015-02-01,0,4,11,20,26,False
2015-03-01,0,5,8,19,37,False
2015-04-01,0,5,11,17,38,False
2015-05-01,0,5,11,18,100,False
2015-06-01,0,3,11,15,44,False
2015-07-01,0,3,8,18,50,False
2015-08-01,0,3,9,18,34,False
2015-09-01,0,4,12,12,30,False
2015-10-01,0,5,12,16,24,False
2015-11-01,0,3,9,16,23,False
2015-12-01,0,4,8,13,20,False
2016-01-01,0,2,8,16,24,False
2016-02-01,0,5,9,19,23,False
2016-03-01,0,5,8,18,26,False
2016-04-01,0,8,8,17,18,False
2016-05-01,0,6,8,28,32,False
2016-06-01,0,7,6,22,26,False
2016-07-01,0,4,7,14,28,False
2016-08-01,0,4,7,18,18,False
2016-09-01,0,3,8,16,25,False
2016-10-01,0,5,11,19,24,False
2016-11-01,0,4,11,23,33,False
2016-12-01,0,6,9,16,19,False
2017-01-01,0,5,6,19,18,False
2017-02-01,0,4,10,21,21,False
2017-03-01,0,5,6,23,18,False
2017-04-01,0,5,7,19,19,False
2017-05-01,0,7,7,16,24,False
2017-06-01,0,7,5,17,19,False
2017-07-01,0,5,6,13,20,False
2017-08-01,0,3,6,47,18,False
2017-09-01,0,4,5,26,18,False
2017-10-01,0,5,7,19,16,False
2017-11-01,0,9,9,21,14,False
2017-12-01,0,5,6,20,14,False
2018-01-01,0,6,9,23,19,False
2018-02-01,0,8,6,20,17,False
2018-03-01,0,4,6,19,14,False
2018-04-01,0,12,5,26,16,False
2018-05-01,0,5,7,22,17,False
2018-06-01,0,4,8,16,17,False
2018-07-01,0,5,4,22,16,False
2018-08-01,0,5,6,65,17,False
2018-09-01,0,6,8,21,18,False
2018-10-01,0,7,5,23,20,False
2018-11-01,0,6,6,22,17,False
2018-12-01,0,3,7,24,16,False
2019-01-01,0,5,6,24,16,False
2019-02-01,0,5,6,21,19,False
2019-03-01,0,6,5,19,15,False
2019-04-01,0,5,5,17,19,False
2019-05-01,0,5,6,22,16,False
2019-06-01,0,5,6,26,17,False
2019-07-01,0,4,9,25,24,False
2019-08-01,0,4,5,20,20,False
2019-09-01,0,4,6,74,17,False
2019-10-01,0,5,8,38,16,False
2019-11-01,0,5,6,29,16,False
2019-12-01,0,4,4,31,19,False
2020-01-01,0,4,9,31,28,False
2020-02-01,0,2,6,36,54,False
2020-03-01,0,5,6,23,21,False
2020-04-01,0,6,7,24,17,False
2020-05-01,0,5,6,33,14,False
2020-06-01,0,4,5,32,16,False
2020-07-01,0,3,7,26,34,False
2020-08-01,0,3,5,27,27,False
2020-09-01,0,4,4,23,19,False
2020-10-01,0,3,6,26,21,False
