date,Ben Goldacre,Danielle de Niese,Yang Lan,Christoph Adami,Iraola,isPartial
2004-01-01,0,0,11,0,11,False
2004-02-01,0,0,0,7,29,False
2004-03-01,0,0,18,0,9,False
2004-04-01,0,0,7,7,9,False
2004-05-01,0,6,12,6,8,False
2004-06-01,0,0,12,0,9,False
2004-07-01,0,0,8,0,8,False
2004-08-01,9,0,8,0,10,False
2004-09-01,0,5,13,0,13,False
2004-10-01,5,0,5,0,13,False
2004-11-01,5,5,22,0,16,False
2004-12-01,0,0,7,0,10,False
2005-01-01,4,0,4,0,15,False
2005-02-01,5,5,8,5,12,False
2005-03-01,4,4,4,0,9,False
2005-04-01,0,4,4,0,12,False
2005-05-01,0,6,11,0,13,False
2005-06-01,0,0,0,0,14,False
2005-07-01,0,8,6,0,12,False
2005-08-01,4,4,0,0,10,False
2005-09-01,13,0,3,0,14,False
2005-10-01,3,3,4,0,13,False
2005-11-01,10,3,3,0,13,False
2005-12-01,6,0,11,0,11,False
2006-01-01,4,3,8,0,8,False
2006-02-01,5,3,4,0,10,False
2006-03-01,5,5,4,0,18,False
2006-04-01,5,0,4,0,11,False
2006-05-01,5,6,5,0,11,False
2006-06-01,3,5,6,3,13,False
2006-07-01,5,3,5,0,15,False
2006-08-01,2,7,6,2,9,False
2006-09-01,4,3,4,2,8,False
2006-10-01,2,4,0,0,13,False
2006-11-01,3,2,3,0,12,False
2006-12-01,3,5,5,0,10,False
2007-01-01,5,3,5,2,13,False
2007-02-01,11,4,3,0,11,False
2007-03-01,5,5,5,0,19,False
2007-04-01,5,2,3,2,12,False
2007-05-01,5,1,4,0,12,False
2007-06-01,3,0,5,0,13,False
2007-07-01,4,4,4,0,11,False
2007-08-01,7,4,9,0,8,False
2007-09-01,6,6,7,0,15,False
2007-10-01,5,15,1,0,11,False
2007-11-01,9,7,7,0,10,False
2007-12-01,6,8,3,0,14,False
2008-01-01,7,7,7,0,9,False
2008-02-01,5,7,7,1,14,False
2008-03-01,4,3,5,0,12,False
2008-04-01,1,7,9,0,13,False
2008-05-01,7,11,5,0,13,False
2008-06-01,3,10,6,0,11,False
2008-07-01,4,7,7,0,7,False
2008-08-01,6,8,6,0,15,False
2008-09-01,8,4,4,0,17,False
2008-10-01,7,7,4,0,15,False
2008-11-01,8,3,7,0,15,False
2008-12-01,7,5,6,0,12,False
2009-01-01,15,6,8,0,14,False
2009-02-01,13,3,6,1,17,False
2009-03-01,11,4,8,0,12,False
2009-04-01,12,5,6,0,15,False
2009-05-01,15,10,7,0,19,False
2009-06-01,10,5,7,0,13,False
2009-07-01,13,6,8,1,13,False
2009-08-01,19,16,9,1,15,False
2009-09-01,17,13,6,0,18,False
2009-10-01,14,8,9,0,13,False
2009-11-01,13,8,7,0,17,False
2009-12-01,12,6,6,0,13,False
2010-01-01,18,9,7,0,17,False
2010-02-01,17,6,7,0,9,False
2010-03-01,15,4,6,0,12,False
2010-04-01,12,3,9,1,13,False
2010-05-01,9,15,8,0,11,False
2010-06-01,11,8,9,0,14,False
2010-07-01,16,9,9,1,10,False
2010-08-01,10,7,9,1,13,False
2010-09-01,12,4,8,0,15,False
2010-10-01,12,4,14,0,16,False
2010-11-01,16,3,10,1,20,False
2010-12-01,11,7,11,0,16,False
2011-01-01,17,5,9,0,13,False
2011-02-01,10,7,8,0,18,False
2011-03-01,11,4,7,0,22,False
2011-04-01,10,3,10,0,16,False
2011-05-01,13,6,9,0,15,False
2011-06-01,9,6,7,0,16,False
2011-07-01,8,5,9,0,13,False
2011-08-01,12,8,8,0,20,False
2011-09-01,13,4,10,0,16,False
2011-10-01,16,5,21,2,15,False
2011-11-01,42,3,12,0,14,False
2011-12-01,13,3,12,0,13,False
2012-01-01,20,11,11,0,12,False
2012-02-01,11,5,8,0,14,False
2012-03-01,12,3,13,0,26,False
2012-04-01,8,2,10,0,16,False
2012-05-01,9,11,8,0,19,False
2012-06-01,9,6,7,0,15,False
2012-07-01,9,3,9,0,11,False
2012-08-01,10,2,8,0,11,False
2012-09-01,23,4,14,0,12,False
2012-10-01,21,4,15,0,12,False
2012-11-01,18,5,15,0,13,False
2012-12-01,13,3,13,0,11,False
2013-01-01,16,3,13,0,11,False
2013-02-01,20,3,8,0,12,False
2013-03-01,12,2,12,0,11,False
2013-04-01,14,4,10,0,12,False
2013-05-01,10,2,10,0,10,False
2013-06-01,10,3,11,0,11,False
2013-07-01,9,2,9,0,11,False
2013-08-01,10,3,9,0,12,False
2013-09-01,9,2,16,0,14,False
2013-10-01,9,5,22,0,12,False
2013-11-01,9,2,15,0,11,False
2013-12-01,9,3,19,0,12,False
2014-01-01,12,3,12,0,11,False
2014-02-01,9,2,12,0,12,False
2014-03-01,9,3,16,0,13,False
2014-04-01,9,6,10,0,10,False
2014-05-01,8,3,11,0,12,False
2014-06-01,6,2,11,0,10,False
2014-07-01,5,3,7,0,12,False
2014-08-01,6,2,13,0,16,False
2014-09-01,6,3,21,0,17,False
