date,Seth Shostak,David Birch,Diane Kelly,Damian Palin,Iraola,isPartial
2004-01-01,0,30,45,0,23,False
2004-02-01,0,30,35,0,60,False
2004-03-01,19,37,37,0,18,False
2004-04-01,29,22,29,0,19,False
2004-05-01,0,29,25,0,17,False
2004-06-01,0,31,37,0,19,False
2004-07-01,13,32,30,0,17,False
2004-08-01,12,28,32,0,20,False
2004-09-01,11,17,33,0,28,False
2004-10-01,11,30,45,0,26,False
2004-11-01,11,23,11,0,34,False
2004-12-01,0,11,28,0,21,False
2005-01-01,9,28,37,0,31,False
2005-02-01,10,15,33,0,24,False
2005-03-01,8,8,41,0,19,False
2005-04-01,9,24,21,0,24,False
2005-05-01,0,12,19,0,27,False
2005-06-01,8,8,56,0,29,False
2005-07-01,0,19,44,0,25,False
2005-08-01,0,24,37,0,21,False
2005-09-01,7,14,22,0,29,False
2005-10-01,0,17,23,0,27,False
2005-11-01,0,9,34,0,27,False
2005-12-01,7,10,15,0,22,False
2006-01-01,6,14,19,0,17,False
2006-02-01,0,22,28,0,22,False
2006-03-01,5,14,27,0,38,False
2006-04-01,5,24,22,0,24,False
2006-05-01,5,15,30,0,24,False
2006-06-01,5,20,34,0,27,False
2006-07-01,16,16,42,0,32,False
2006-08-01,5,18,26,0,20,False
2006-09-01,5,20,16,0,17,False
2006-10-01,4,10,23,0,27,False
2006-11-01,6,10,26,0,25,False
2006-12-01,0,6,27,0,22,False
2007-01-01,0,14,25,0,27,False
2007-02-01,5,9,36,0,24,False
2007-03-01,3,15,30,0,39,False
2007-04-01,4,16,31,0,25,False
2007-05-01,3,9,29,0,25,False
2007-06-01,4,12,23,0,27,False
2007-07-01,3,14,26,0,22,False
2007-08-01,3,10,35,0,17,False
2007-09-01,9,8,16,3,32,False
2007-10-01,7,13,19,3,24,False
2007-11-01,3,14,27,3,21,False
2007-12-01,4,17,19,0,28,False
2008-01-01,5,9,18,0,18,False
2008-02-01,2,6,31,0,29,False
2008-03-01,2,15,25,0,25,False
2008-04-01,5,8,21,0,27,False
2008-05-01,3,12,27,2,27,False
2008-06-01,7,12,25,0,24,False
2008-07-01,3,19,27,0,15,False
2008-08-01,4,7,31,0,32,False
2008-09-01,4,10,24,2,35,False
2008-10-01,2,11,25,3,30,False
2008-11-01,2,12,20,6,31,False
2008-12-01,3,10,24,0,25,False
2009-01-01,2,8,21,0,30,False
2009-02-01,8,13,26,0,35,False
2009-03-01,2,11,25,0,24,False
2009-04-01,5,10,22,0,32,False
2009-05-01,8,6,24,2,39,False
2009-06-01,2,10,20,2,27,False
2009-07-01,3,11,28,2,26,False
2009-08-01,2,9,39,0,32,False
2009-09-01,18,9,26,0,38,False
2009-10-01,2,17,20,0,28,False
2009-11-01,3,12,16,1,36,False
2009-12-01,4,6,28,1,27,False
2010-01-01,5,14,30,1,35,False
2010-02-01,5,14,26,0,18,False
2010-03-01,2,8,29,0,26,False
2010-04-01,3,8,26,0,27,False
