date,Andras Forgacs,Benjamin Barber,Elizabeth Loftus,Stuart Firestein,Iraola,isPartial
2008-06-01,0,15,8,0,24,False
2008-07-01,0,7,6,2,15,False
2008-08-01,0,4,7,2,32,False
2008-09-01,0,15,17,0,35,False
2008-10-01,0,18,15,3,30,False
2008-11-01,0,12,22,0,31,False
2008-12-01,2,12,11,2,25,False
2009-01-01,0,17,12,4,30,False
2009-02-01,0,11,13,2,35,False
2009-03-01,0,11,12,2,24,False
2009-04-01,0,9,9,3,32,False
2009-05-01,0,9,7,0,39,False
2009-06-01,0,6,9,2,27,False
2009-07-01,0,7,8,0,26,False
2009-08-01,0,5,11,2,32,False
2009-09-01,2,9,15,0,38,False
2009-10-01,0,14,15,1,28,False
2009-11-01,0,8,18,1,36,False
2009-12-01,0,9,10,0,27,False
2010-01-01,0,6,8,0,35,False
2010-02-01,0,9,20,1,18,False
2010-03-01,0,9,12,1,26,False
2010-04-01,0,11,13,3,27,False
2010-05-01,0,10,14,0,24,False
2010-06-01,1,8,11,0,29,False
2010-07-01,0,10,5,3,20,False
2010-08-01,0,5,6,1,27,False
2010-09-01,0,10,16,1,32,False
2010-10-01,0,11,12,1,34,False
2010-11-01,0,7,15,0,42,False
2010-12-01,0,9,13,0,34,False
2011-01-01,0,4,9,1,28,False
2011-02-01,0,10,11,0,38,False
2011-03-01,0,19,14,0,46,False
2011-04-01,0,7,13,1,34,False
2011-05-01,0,8,11,1,31,False
2011-06-01,0,8,8,0,33,False
2011-07-01,0,5,7,1,28,False
2011-08-01,0,7,5,1,42,False
2011-09-01,0,6,14,1,34,False
2011-10-01,0,9,17,1,32,False
2011-11-01,1,6,15,1,28,False
2011-12-01,0,7,9,1,27,False
2012-01-01,0,7,12,0,25,False
2012-02-01,0,6,11,1,30,False
2012-03-01,1,8,10,1,54,False
2012-04-01,1,6,9,1,34,False
2012-05-01,0,8,11,1,41,False
2012-06-01,1,4,5,2,32,False
2012-07-01,0,3,7,1,23,False
2012-08-01,1,4,8,2,24,False
2012-09-01,1,8,16,2,26,False
2012-10-01,0,5,14,0,25,False
2012-11-01,0,8,11,1,27,False
2012-12-01,1,7,8,1,23,False
2013-01-01,0,6,11,1,24,False
2013-02-01,1,8,12,1,25,False
2013-03-01,1,5,13,1,23,False
2013-04-01,1,6,9,1,25,False
2013-05-01,1,5,9,1,21,False
2013-06-01,1,4,8,1,23,False
