date,Kate Stafford,Shah Rukh Khan,Stuart Russell,Lucy Kalanithi,Iraola,isPartial
2004-01-01,0,48,8,0,4,False
2004-02-01,0,39,7,0,11,False
2004-03-01,0,40,11,0,3,False
2004-04-01,0,42,9,0,4,False
2004-05-01,5,58,2,0,3,False
2004-06-01,2,44,6,0,3,False
2004-07-01,0,49,7,0,3,False
2004-08-01,0,51,5,0,4,False
2004-09-01,2,60,2,0,5,False
2004-10-01,0,51,10,0,5,False
2004-11-01,0,66,4,0,6,False
2004-12-01,2,83,5,0,4,False
2005-01-01,2,76,8,0,6,False
2005-02-01,0,65,6,0,5,False
2005-03-01,0,93,6,0,4,False
2005-04-01,2,89,6,0,5,False
2005-05-01,4,99,4,0,5,False
2005-06-01,0,81,5,0,6,False
2005-07-01,0,77,7,0,5,False
2005-08-01,1,75,7,0,4,False
2005-09-01,1,82,8,0,5,False
2005-10-01,0,100,8,0,5,False
2005-11-01,0,95,3,0,5,False
2005-12-01,1,79,3,0,4,False
2006-01-01,2,65,4,0,3,False
2006-02-01,1,80,3,0,4,False
2006-03-01,2,81,6,0,7,False
2006-04-01,2,72,7,0,5,False
2006-05-01,2,73,7,0,4,False
2006-06-01,1,65,5,0,5,False
2006-07-01,1,62,3,0,6,False
2006-08-01,1,78,6,0,4,False
2006-09-01,1,52,4,0,3,False
2006-10-01,1,66,3,0,5,False
2006-11-01,1,68,6,0,5,False
2006-12-01,2,55,4,0,4,False
2007-01-01,1,50,5,0,5,False
2007-02-01,1,51,4,0,4,False
2007-03-01,0,47,3,0,7,False
2007-04-01,1,52,3,0,5,False
2007-05-01,1,43,5,0,5,False
2007-06-01,1,48,3,0,5,False
2007-07-01,1,46,3,0,4,False
2007-08-01,1,50,2,1,3,False
2007-09-01,1,47,3,0,6,False
2007-10-01,1,46,3,0,4,False
2007-11-01,1,59,4,0,4,False
2007-12-01,1,53,3,0,5,False
2008-01-01,1,54,5,0,3,False
2008-02-01,1,66,3,0,5,False
2008-03-01,1,54,4,0,5,False
2008-04-01,0,60,3,0,5,False
2008-05-01,1,63,3,0,5,False
2008-06-01,1,52,4,0,4,False
2008-07-01,0,51,4,0,3,False
2008-08-01,0,51,4,0,6,False
2008-09-01,1,42,3,0,7,False
2008-10-01,1,50,3,0,6,False
2008-11-01,0,43,3,0,6,False
2008-12-01,0,58,2,0,5,False
2009-01-01,1,61,3,0,6,False
2009-02-01,0,51,2,0,6,False
2009-03-01,1,42,3,0,5,False
2009-04-01,1,41,2,0,6,False
2009-05-01,2,42,3,0,7,False
2009-06-01,1,37,3,0,5,False
2009-07-01,1,36,2,0,5,False
2009-08-01,1,82,2,0,6,False
2009-09-01,1,29,3,0,7,False
2009-10-01,1,34,3,0,5,False
2009-11-01,1,24,3,0,7,False
2009-12-01,0,24,3,0,5,False
2010-01-01,1,28,4,0,7,False
2010-02-01,1,54,2,0,3,False
2010-03-01,0,30,3,0,5,False
2010-04-01,1,33,3,0,5,False
2010-05-01,0,26,3,0,4,False
2010-06-01,1,27,2,0,5,False
2010-07-01,0,29,2,0,4,False
2010-08-01,0,24,3,0,5,False
2010-09-01,1,23,3,0,6,False
2010-10-01,0,25,3,0,6,False
2010-11-01,0,25,3,0,8,False
2010-12-01,0,25,3,0,6,False
2011-01-01,1,26,2,0,5,False
2011-02-01,0,21,2,0,7,False
2011-03-01,0,24,2,0,9,False
2011-04-01,1,38,2,0,6,False
2011-05-01,1,32,3,0,6,False
2011-06-01,1,34,2,0,6,False
2011-07-01,0,35,2,0,5,False
2011-08-01,1,37,2,0,8,False
2011-09-01,1,34,2,0,6,False
2011-10-01,1,49,3,0,6,False
2011-11-01,0,48,3,0,5,False
2011-12-01,0,46,2,0,5,False
2012-01-01,0,39,3,0,5,False
2012-02-01,1,32,2,0,6,False
2012-03-01,1,26,2,0,10,False
2012-04-01,0,36,2,0,6,False
2012-05-01,1,40,2,0,8,False
2012-06-01,0,30,2,0,6,False
2012-07-01,0,22,2,0,4,False
2012-08-01,1,23,3,0,4,False
2012-09-01,1,25,3,0,5,False
2012-10-01,1,26,3,0,5,False
2012-11-01,0,38,3,0,5,False
2012-12-01,1,50,2,0,4,False
2013-01-01,1,34,2,0,4,False
2013-02-01,1,25,3,0,5,False
2013-03-01,0,24,2,0,4,False
2013-04-01,1,26,2,0,5,False
2013-05-01,1,22,3,0,4,False
2013-06-01,0,27,2,0,4,False
2013-07-01,1,34,2,0,4,False
2013-08-01,0,45,2,0,5,False
2013-09-01,1,29,2,0,6,False
2013-10-01,0,28,3,0,5,False
2013-11-01,1,28,3,0,4,False
2013-12-01,0,29,3,0,5,False
2014-01-01,1,32,2,0,4,False
2014-02-01,0,29,3,0,5,False
2014-03-01,1,28,3,0,5,False
2014-04-01,0,27,3,0,4,False
2014-05-01,1,33,3,0,5,False
2014-06-01,0,30,2,0,4,False
2014-07-01,0,30,2,0,5,False
2014-08-01,0,35,2,0,6,False
2014-09-01,1,37,2,0,7,False
2014-10-01,1,59,2,0,5,False
2014-11-01,0,45,2,0,5,False
2014-12-01,1,36,2,0,4,False
2015-01-01,1,34,3,0,4,False
2015-02-01,0,29,2,0,5,False
2015-03-01,1,28,2,2,7,False
2015-04-01,1,32,2,0,7,False
2015-05-01,0,31,2,0,19,False
2015-06-01,0,30,2,0,8,False
2015-07-01,0,35,2,0,9,False
2015-08-01,0,34,3,0,6,False
2015-09-01,0,31,2,0,6,False
2015-10-01,1,34,2,0,5,False
2015-11-01,0,51,2,0,4,False
2015-12-01,0,56,2,0,4,False
2016-01-01,0,56,2,4,4,False
2016-02-01,1,43,2,3,4,False
2016-03-01,0,39,2,1,5,False
2016-04-01,0,55,2,1,3,False
2016-05-01,0,43,2,1,6,False
2016-06-01,0,38,2,1,5,False
2016-07-01,0,44,2,1,5,False
2016-08-01,0,45,2,1,3,False
2016-09-01,1,37,1,1,5,False
2016-10-01,0,38,2,1,4,False
2016-11-01,0,48,2,1,6,False
2016-12-01,0,50,2,1,4,False
2017-01-01,0,52,2,1,3,False
2017-02-01,0,43,3,1,4,False
2017-03-01,0,46,2,1,3,False
2017-04-01,0,39,2,1,4,False
2017-05-01,0,45,2,1,4,False
2017-06-01,0,42,2,1,4,False
2017-07-01,0,41,2,1,4,False
2017-08-01,0,40,2,1,3,False
2017-09-01,0,27,2,1,3,False
2017-10-01,0,32,2,1,3,False
2017-11-01,0,40,3,1,3,False
2017-12-01,0,35,2,1,3,False
2018-01-01,0,46,3,3,4,False
2018-02-01,0,48,2,1,3,False
2018-03-01,0,47,2,1,3,False
2018-04-01,0,49,2,1,3,False
2018-05-01,0,45,2,1,3,False
2018-06-01,0,42,2,1,3,False
2018-07-01,0,47,2,1,3,False
2018-08-01,0,49,2,1,3,False
2018-09-01,0,38,2,1,3,False
2018-10-01,0,38,2,1,4,False
2018-11-01,0,67,2,1,3,False
2018-12-01,0,94,2,1,3,False
2019-01-01,0,57,2,1,3,False
2019-02-01,0,48,2,1,4,False
2019-03-01,0,47,2,1,3,False
2019-04-01,0,52,2,0,4,False
2019-05-01,0,40,2,1,3,False
2019-06-01,1,50,2,0,3,False
2019-07-01,0,48,1,1,5,False
2019-08-01,0,48,2,1,4,False
2019-09-01,0,44,2,1,3,False
2019-10-01,0,58,3,1,3,False
2019-11-01,0,69,2,0,3,False
2019-12-01,0,46,2,1,4,False
2020-01-01,0,47,2,1,5,False
2020-02-01,0,42,3,0,10,False
