date,David Pizarro,Lemn Sissay,Doris Kim Sung,Sanjay Pradhan,Iraola,isPartial
2004-01-01,10,0,0,10,15,False
2004-02-01,10,14,0,0,41,False
2004-03-01,25,13,0,0,13,False
2004-04-01,13,10,0,10,13,False
2004-05-01,14,9,0,9,11,False
2004-06-01,14,0,0,0,13,False
2004-07-01,18,0,0,9,12,False
2004-08-01,14,8,0,0,14,False
2004-09-01,18,8,0,0,19,False
2004-10-01,12,15,0,0,18,False
2004-11-01,10,8,0,8,23,False
2004-12-01,29,0,0,0,14,False
2005-01-01,15,0,0,0,21,False
2005-02-01,17,7,0,0,17,False
2005-03-01,19,6,0,0,13,False
2005-04-01,10,9,0,6,17,False
2005-05-01,16,0,0,0,18,False
2005-06-01,27,0,0,0,20,False
2005-07-01,84,0,0,0,17,False
2005-08-01,38,0,0,0,14,False
2005-09-01,25,0,0,0,20,False
2005-10-01,17,9,0,5,18,False
2005-11-01,12,5,0,0,18,False
2005-12-01,11,0,0,0,15,False
2006-01-01,12,16,0,4,12,False
2006-02-01,14,4,0,4,15,False
2006-03-01,14,7,0,0,26,False
2006-04-01,9,4,0,0,16,False
2006-05-01,11,3,0,0,16,False
2006-06-01,13,7,0,0,18,False
2006-07-01,8,7,0,4,22,False
2006-08-01,28,3,0,3,13,False
2006-09-01,25,3,0,0,12,False
2006-10-01,13,11,0,0,18,False
2006-11-01,8,6,0,0,17,False
2006-12-01,10,6,0,0,15,False
2007-01-01,13,0,0,0,19,False
2007-02-01,5,5,0,0,16,False
2007-03-01,9,3,0,2,27,False
2007-04-01,6,4,0,0,17,False
2007-05-01,6,4,0,2,17,False
2007-06-01,10,3,0,2,18,False
2007-07-01,11,2,0,2,15,False
2007-08-01,9,5,0,4,12,False
2007-09-01,6,2,0,0,22,False
2007-10-01,8,4,0,3,16,False
2007-11-01,5,5,0,0,14,False
2007-12-01,6,6,0,4,19,False
2008-01-01,4,2,0,2,13,False
2008-02-01,6,2,0,2,20,False
2008-03-01,7,3,0,0,17,False
2008-04-01,9,3,0,2,18,False
