date,John Lloyd,Oliver Sacks,Imogen Heap,Jonathan Zittrain,Iraola,isPartial
2004-01-01,13,7,2,1,1,False
2004-02-01,12,13,3,1,3,False
2004-03-01,10,10,3,0,1,False
2004-04-01,10,8,1,0,1,False
2004-05-01,12,6,1,0,1,False
2004-06-01,10,6,2,0,1,False
2004-07-01,10,8,2,0,1,False
2004-08-01,9,8,3,1,1,False
2004-09-01,10,6,3,0,2,False
2004-10-01,10,6,1,0,1,False
2004-11-01,10,3,2,0,2,False
2004-12-01,10,13,6,1,1,False
2005-01-01,12,4,5,0,2,False
2005-02-01,13,5,5,0,2,False
2005-03-01,11,6,5,1,1,False
2005-04-01,10,7,9,1,2,False
2005-05-01,12,7,75,1,2,False
2005-06-01,17,6,56,1,2,False
2005-07-01,10,4,52,0,1,False
2005-08-01,9,3,47,0,1,False
2005-09-01,10,5,43,0,2,False
2005-10-01,11,8,56,0,2,False
2005-11-01,8,5,80,1,2,False
2005-12-01,10,4,80,0,2,False
2006-01-01,11,5,95,0,1,False
2006-02-01,10,4,75,0,1,False
2006-03-01,11,5,70,0,2,False
2006-04-01,10,4,76,0,1,False
2006-05-01,11,6,100,0,2,False
2006-06-01,14,5,84,0,2,False
2006-07-01,7,3,80,0,2,False
2006-08-01,10,2,71,0,1,False
2006-09-01,7,4,78,0,1,False
2006-10-01,10,4,84,0,1,False
2006-11-01,9,4,85,0,2,False
2006-12-01,8,3,88,0,2,False
2007-01-01,10,3,73,0,1,False
2007-02-01,10,2,82,0,1,False
2007-03-01,9,4,58,0,2,False
2007-04-01,8,4,74,0,2,False
2007-05-01,11,3,66,0,1,False
2007-06-01,11,4,54,0,1,False
2007-07-01,11,3,49,0,2,False
2007-08-01,8,4,51,0,1,False
2007-09-01,7,5,56,0,2,False
2007-10-01,10,10,55,0,1,False
2007-11-01,11,8,49,0,1,False
2007-12-01,9,6,51,0,2,False
2008-01-01,8,5,44,0,1,False
2008-02-01,10,5,47,0,2,False
2008-03-01,8,5,38,0,1,False
2008-04-01,9,5,40,1,2,False
2008-05-01,9,3,35,1,2,False
2008-06-01,8,6,34,0,1,False
2008-07-01,10,3,32,0,1,False
2008-08-01,12,4,37,0,2,False
2008-09-01,12,5,38,0,2,False
2008-10-01,9,5,34,0,2,False
2008-11-01,11,4,31,0,2,False
2008-12-01,9,4,34,0,2,False
2009-01-01,8,4,30,0,2,False
2009-02-01,12,4,29,0,3,False
2009-03-01,13,4,29,0,2,False
2009-04-01,11,5,27,0,2,False
2009-05-01,11,3,31,0,3,False
2009-06-01,14,5,28,0,2,False
2009-07-01,14,5,45,0,2,False
2009-08-01,11,3,80,0,2,False
2009-09-01,13,5,83,0,3,False
2009-10-01,10,4,80,0,2,False
2009-11-01,11,4,78,0,2,False
2009-12-01,10,3,69,0,2,False
2010-01-01,11,4,60,0,2,False
2010-02-01,12,3,58,0,1,False
2010-03-01,12,4,44,0,2,False
2010-04-01,11,4,40,0,2,False
2010-05-01,10,3,41,0,1,False
2010-06-01,13,4,39,0,2,False
2010-07-01,10,3,32,0,1,False
2010-08-01,9,3,29,0,2,False
2010-09-01,45,5,28,0,2,False
2010-10-01,15,5,28,0,2,False
2010-11-01,14,5,31,0,3,False
2010-12-01,12,4,27,0,3,False
2011-01-01,12,5,28,0,2,False
2011-02-01,9,4,26,0,3,False
2011-03-01,9,5,23,0,3,False
2011-04-01,11,4,31,0,2,False
2011-05-01,8,3,29,0,2,False
2011-06-01,11,4,21,0,2,False
2011-07-01,10,3,22,0,2,False
2011-08-01,10,4,21,0,2,False
2011-09-01,10,4,21,0,2,False
2011-10-01,13,3,20,0,2,False
2011-11-01,11,3,19,0,2,False
2011-12-01,9,3,18,0,2,False
2012-01-01,10,4,17,0,2,False
2012-02-01,10,3,16,0,2,False
2012-03-01,10,4,15,0,3,False
2012-04-01,9,5,15,0,2,False
2012-05-01,10,3,12,0,3,False
2012-06-01,13,3,13,0,2,False
2012-07-01,12,2,14,0,2,False
2012-08-01,14,4,13,0,1,False
2012-09-01,26,4,13,0,2,False
2012-10-01,16,4,13,0,2,False
2012-11-01,15,7,12,0,2,False
2012-12-01,10,5,13,0,2,False
2013-01-01,12,4,13,0,2,False
2013-02-01,9,5,13,0,2,False
2013-03-01,13,4,13,0,2,False
2013-04-01,19,4,9,0,2,False
2013-05-01,13,3,9,0,1,False
2013-06-01,13,3,10,0,2,False
2013-07-01,13,6,9,0,1,False
2013-08-01,11,4,9,0,1,False
2013-09-01,10,4,14,0,2,False
2013-10-01,11,4,10,0,2,False
2013-11-01,11,4,10,0,1,False
2013-12-01,16,3,9,0,2,False
2014-01-01,12,4,9,0,1,False
2014-02-01,12,3,10,0,2,False
2014-03-01,10,3,9,0,2,False
2014-04-01,11,3,11,0,1,False
2014-05-01,12,3,10,0,2,False
2014-06-01,14,2,8,0,1,False
2014-07-01,13,3,10,0,2,False
2014-08-01,19,4,14,0,2,False
2014-09-01,9,3,8,0,2,False
2014-10-01,12,3,10,0,2,False
2014-11-01,11,3,9,0,2,False
2014-12-01,10,3,9,0,2,False
2015-01-01,10,3,8,0,2,False
2015-02-01,10,30,9,0,2,False
2015-03-01,9,6,7,0,2,False
2015-04-01,12,6,7,0,3,False
2015-05-01,10,11,7,0,7,False
2015-06-01,12,8,6,0,3,False
2015-07-01,13,9,6,0,3,False
2015-08-01,10,51,6,0,2,False
2015-09-01,9,30,6,0,2,False
2015-10-01,8,8,6,0,2,False
2015-11-01,13,8,6,0,2,False
2015-12-01,12,9,6,0,1,False
2016-01-01,16,7,7,0,1,False
2016-02-01,14,7,6,0,2,False
2016-03-01,11,5,5,0,2,False
2016-04-01,11,9,5,0,1,False
2016-05-01,14,4,5,0,2,False
2016-06-01,10,4,5,0,2,False
2016-07-01,9,3,4,0,2,False
2016-08-01,8,5,4,0,1,False
2016-09-01,7,4,4,0,2,False
2016-10-01,7,4,5,0,2,False
2016-11-01,7,4,5,0,2,False
2016-12-01,7,4,5,0,1,False
2017-01-01,7,3,5,0,1,False
2017-02-01,8,4,5,0,1,False
2017-03-01,7,4,4,0,1,False
2017-04-01,7,4,4,0,1,False
2017-05-01,7,4,4,0,2,False
2017-06-01,7,3,51,0,1,False
2017-07-01,13,3,4,0,1,False
2017-08-01,11,4,3,0,1,False
2017-09-01,18,4,3,0,1,False
2017-10-01,14,4,3,0,1,False
2017-11-01,11,5,3,0,1,False
2017-12-01,8,4,4,0,1,False
2018-01-01,10,3,4,0,1,False
2018-02-01,8,3,3,0,1,False
2018-03-01,8,3,4,0,1,False
2018-04-01,8,3,4,0,1,False
2018-05-01,9,3,4,0,1,False
2018-06-01,16,3,4,0,1,False
2018-07-01,7,3,4,0,1,False
2018-08-01,6,3,5,0,1,False
2018-09-01,9,4,4,0,1,False
2018-10-01,8,3,4,0,1,False
2018-11-01,6,3,5,0,1,False
2018-12-01,6,3,4,0,1,False
2019-01-01,7,3,3,0,1,False
2019-02-01,6,3,4,0,1,False
2019-03-01,9,3,3,0,1,False
2019-04-01,10,3,4,0,1,False
2019-05-01,8,3,4,0,1,False
2019-06-01,7,3,4,0,1,False
2019-07-01,9,3,3,0,2,False
