date,Evan Grant,Steve Truglia,James Balog,Lewis Pugh,Iraola,isPartial
2004-01-01,0,0,15,15,23,False
2004-02-01,30,0,0,15,60,False
2004-03-01,0,0,18,0,18,False
2004-04-01,0,0,14,0,19,False
2004-05-01,19,0,0,0,17,False
2004-06-01,0,0,12,12,19,False
2004-07-01,0,0,0,13,17,False
2004-08-01,0,0,12,12,20,False
2004-09-01,11,0,11,11,28,False
2004-10-01,0,0,11,0,26,False
2004-11-01,11,0,11,11,34,False
2004-12-01,0,10,11,0,21,False
2005-01-01,9,0,12,9,31,False
2005-02-01,10,0,20,10,24,False
2005-03-01,16,0,8,0,19,False
2005-04-01,9,0,9,18,24,False
2005-05-01,8,0,0,8,27,False
2005-06-01,16,0,8,8,29,False
2005-07-01,16,0,8,8,25,False
2005-08-01,11,0,8,8,21,False
2005-09-01,14,0,7,14,29,False
2005-10-01,7,0,14,7,27,False
2005-11-01,7,0,7,10,27,False
2005-12-01,10,0,7,31,22,False
2006-01-01,6,6,6,15,17,False
2006-02-01,6,0,0,9,22,False
2006-03-01,5,0,5,9,38,False
2006-04-01,5,0,6,9,24,False
2006-05-01,10,0,10,13,24,False
2006-06-01,5,0,0,5,27,False
2006-07-01,11,0,0,24,32,False
2006-08-01,5,0,10,29,20,False
2006-09-01,5,9,0,5,17,False
2006-10-01,0,0,4,4,27,False
2006-11-01,4,0,0,4,25,False
2006-12-01,0,0,9,4,22,False
2007-01-01,11,0,4,4,27,False
2007-02-01,8,0,5,7,24,False
2007-03-01,3,0,0,7,39,False
2007-04-01,5,0,4,5,25,False
2007-05-01,5,0,5,7,25,False
2007-06-01,10,3,4,8,27,False
2007-07-01,5,0,3,77,22,False
2007-08-01,3,3,0,26,17,False
2007-09-01,6,6,7,6,32,False
2007-10-01,3,0,3,5,24,False
2007-11-01,4,0,7,10,21,False
2007-12-01,4,0,7,5,28,False
2008-01-01,4,2,6,7,18,False
2008-02-01,3,5,0,10,29,False
2008-03-01,4,2,6,4,25,False
2008-04-01,4,2,5,5,27,False
2008-05-01,4,6,4,6,27,False
2008-06-01,3,3,5,6,24,False
2008-07-01,4,3,2,7,15,False
2008-08-01,2,3,2,8,32,False
2008-09-01,2,0,3,22,35,False
2008-10-01,4,0,4,7,30,False
2008-11-01,12,4,3,6,31,False
2008-12-01,5,0,4,3,25,False
2009-01-01,4,0,7,4,30,False
2009-02-01,2,4,4,11,35,False
2009-03-01,9,2,15,7,24,False
2009-04-01,6,0,8,7,32,False
2009-05-01,5,12,2,4,39,False
2009-06-01,3,2,2,2,27,False
2009-07-01,7,2,2,5,26,False
2009-08-01,8,0,0,2,32,False
2009-09-01,6,4,8,12,38,False
2009-10-01,5,1,6,7,28,False
2009-11-01,5,1,5,8,36,False
2009-12-01,4,2,3,6,27,False
2010-01-01,4,3,6,9,35,False
2010-02-01,5,2,4,4,18,False
2010-03-01,7,2,4,5,26,False
2010-04-01,7,1,7,4,27,False
2010-05-01,8,2,2,16,24,False
2010-06-01,4,2,5,13,29,False
2010-07-01,4,6,1,10,20,False
2010-08-01,6,1,1,27,27,False
2010-09-01,3,2,3,7,32,False
2010-10-01,5,1,2,5,34,False
2010-11-01,9,2,2,10,42,False
2010-12-01,9,2,2,8,34,False
2011-01-01,5,2,2,8,28,False
2011-02-01,5,1,2,7,38,False
2011-03-01,6,1,2,5,46,False
2011-04-01,5,2,2,9,34,False
2011-05-01,3,1,2,6,31,False
2011-06-01,4,1,1,5,33,False
2011-07-01,5,4,3,4,28,False
2011-08-01,6,1,2,4,42,False
2011-09-01,5,1,1,7,34,False
2011-10-01,5,0,1,2,32,False
2011-11-01,5,1,2,4,28,False
2011-12-01,4,1,2,3,27,False
2012-01-01,7,2,2,5,25,False
2012-02-01,4,1,2,3,30,False
2012-03-01,4,1,2,4,54,False
2012-04-01,5,1,3,5,34,False
2012-05-01,4,1,2,3,41,False
2012-06-01,3,1,2,4,32,False
2012-07-01,5,1,1,5,23,False
2012-08-01,3,0,2,5,24,False
2012-09-01,10,0,4,3,26,False
2012-10-01,5,3,7,3,25,False
2012-11-01,6,1,21,3,27,False
2012-12-01,8,2,21,5,23,False
2013-01-01,2,1,8,3,24,False
2013-02-01,3,1,8,3,25,False
2013-03-01,3,0,5,4,23,False
2013-04-01,5,1,15,3,25,False
2013-05-01,5,1,4,4,21,False
2013-06-01,5,1,9,7,23,False
2013-07-01,6,1,9,6,23,False
2013-08-01,7,1,7,4,24,False
2013-09-01,6,0,10,2,30,False
2013-10-01,4,1,9,2,26,False
2013-11-01,5,1,8,4,24,False
2013-12-01,7,1,7,5,25,False
